"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",14.25,14.3,13.9,NA,NA,NA,NA
"1998-03-24",14.1,14.1,13.9,14,14,9700,1.36
"1998-03-25",14.5,14.9,14.25,14.8,14.8,5900,0.87
"1998-03-26",14.3,14.4,14.2,14.3,14.3,4000,0.57
"1998-03-27",14.25,14.6,14.1,14.3,14.3,3600,0.52
"1998-03-30",14.7,15,14.2,14.2,14.2,3100,0.45
"1998-03-31",14,14.05,13.8,13.8,13.8,3100,0.43
"1998-04-01",14.2,14.2,14.2,14.2,14.2,100,0.01
"1998-04-02",14,14.25,14,14.25,14.25,3600,0.51
"1998-04-03",13.55,14,13.5,14,14,3600,0.5
"1998-04-06",14,14.3,13.75,14.05,14.05,1600,0.22
"1998-04-07",14.05,14.05,13.7,14.05,14.05,4400,0.62
"1998-04-09",14,14.3,14,14.2,14.2,6000,0.85
"1998-04-10",14.75,15,14.35,15,15,5300,0.78
"1998-04-13",14.9,14.95,14.4,14.95,14.95,3400,0.5
"1998-04-15",16,16.45,15.1,16.45,16.45,8500,1.36
"1998-04-16",17,17,16,16.2,16.2,5700,0.93
"1998-04-17",15.75,16.95,15.75,16.4,16.4,5700,0.93
"1998-04-20",16,16.75,16,16,16,5200,0.85
"1998-04-21",16.25,16.8,16,16.2,16.25,6900,1.12
"1998-04-22",16.5,16.5,16.1,16.25,16.25,2800,0.45
"1998-04-23",15.1,15.35,15,15.35,15.15,2300,0.35
"1998-04-24",15,15.95,15,15.7,15.7,3200,0.49
"1998-04-27",15.25,16,15.25,15.5,15.5,3700,0.58
"1998-04-28",15,15.9,14.8,15,15,5100,0.78
"1998-04-29",15.3,15.5,15.3,15.5,15.5,300,0.05
"1998-04-30",15,15.25,15,15.25,15.25,1200,0.18
"1998-05-04",15.4,15.4,15,15,15,2000,0.3
"1998-05-05",15.15,15.25,15,15.2,15.2,2600,0.4
"1998-05-06",14.9,14.9,14.75,14.75,14.75,1000,0.15
"1998-05-08",14.05,14.9,14.05,14.8,14.8,600,0.09
"1998-05-11",14.65,15,14.65,15,15,1700,0.25
"1998-05-12",14.75,15,14.25,15,15,3600,0.53
"1998-05-13",14,14.75,14,14.75,14.75,800,0.12
"1998-05-14",15.25,15.5,15,15,15,1400,0.21
"1998-05-15",15,15,14.5,14.75,14.75,1300,0.19
"1998-05-18",14.8,14.8,14.8,14.8,14.8,200,0.03
"1998-05-19",14.55,15.5,14.55,15,15,1700,0.26
"1998-05-20",15,15.5,14.95,15.5,15.5,2100,0.32
"1998-05-21",16,16,15.35,15.35,15.35,2200,0.35
"1998-05-22",15.15,15.5,15.15,15.5,15.5,1500,0.23
"1998-05-25",15.25,15.4,15.15,15.15,15.15,1600,0.24
"1998-05-26",16.65,16.65,15.5,16,15.85,7300,1.17
"1998-05-27",17.45,17.45,15.1,15.3,15.3,4000,0.64
"1998-05-28",15.3,16,15.25,15.25,15.25,1600,0.25
"1998-05-29",15.15,15.5,15.15,15.3,15.3,1100,0.17
"1998-06-01",16.45,16.85,16,16.1,16.1,15100,2.52
"1998-06-02",17.75,17.75,16,16.15,16.15,10000,1.63
"1998-06-03",17,17.75,16.55,17,17,8500,1.46
"1998-06-04",17.15,17.25,16.5,16.5,16.85,6300,1.07
"1998-06-05",16.5,16.9,16.15,16.25,16.25,3700,0.61
"1998-06-08",15.75,15.75,14.9,15.25,15.25,6200,0.93
"1998-06-09",15.5,16,15.25,15.75,15.85,4300,0.67
"1998-06-10",16,16,15.5,15.9,15.9,500,0.08
