"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-02-01",261,261,181,181,181,213242,387.93
"2008-02-04",156.55,199,156.55,192,191.45,185908,348.86
"2008-02-05",192,197,184,190.6,192.25,115340,222.99
"2008-02-06",185,192,185,187,186.55,33737,63.62
"2008-02-07",182,191.65,171.5,176.5,175.7,115873,213.23
"2008-02-08",166.95,174.6,159.2,160,161.35,33306,54.86
"2008-02-11",156.35,163.95,137.05,137.1,140,49334,72.66
"2008-02-12",133.95,149.9,133.95,143.05,143.15,24710,34.91
"2008-02-13",140.1,147.95,134,136,135.35,12039,16.8
"2008-02-14",125,143,125,140,141.45,12377,17.46
"2008-02-15",136,149,136,146,146.65,10373,15.08
"2008-02-18",135.2,151.1,135.2,151,149.95,7720,11.45
"2008-02-19",145.05,152.5,145.05,146,146.15,12157,17.99
"2008-02-20",135.2,149,135.2,144.5,143.15,16847,23.89
"2008-02-21",140.3,146.8,140.3,145,145,13261,19.18
"2008-02-22",135.2,147.65,135.2,145.85,144.95,4330,6.25
"2008-02-25",145,147.5,140,147.5,146.6,8109,11.72
"2008-02-26",136.2,157,136.2,145,145.3,39232,58.82
"2008-02-27",146.4,149.75,136.95,143.35,143.7,13746,19.96
"2008-02-28",140.2,147.4,140.2,143,142.3,22235,32.01
"2008-02-29",138.2,147,137.05,140,139.45,9287,13.16
"2008-03-03",137,139,131.05,132.5,132.3,17207,23.24
"2008-03-04",107.65,138.35,107.65,128.9,127.5,46810,57.9
"2008-03-05",125,127.95,122,125,124.7,7107,8.87
"2008-03-07",114.95,132.25,114.95,125,125.4,46341,57.08
"2008-03-10",115.95,144.8,115.05,141.1,140.3,70066,92.37
"2008-03-11",141.25,148.95,136.25,141,140,111011,159.58
"2008-03-12",140.1,142.95,130,132.7,131.65,37463,52.03
"2008-03-13",123.95,128.95,120,121,121.05,43171,52.77
"2008-03-14",113.95,121,113.95,115.5,115.75,283607,333.11
"2008-03-17",110,114,104.25,107,105.8,33448,36.34
"2008-03-18",96.65,106.95,96.65,100.9,100.3,21016,21.33
"2008-03-19",103,104,94.15,94.15,97.05,17528,17.61
"2008-03-24",85.55,101.6,85.55,98,97.95,119512,118.37
"2008-03-25",94.5,101.8,92.1,95.85,95.45,248366,235.92
"2008-03-26",92,97.95,92,96,95.05,299568,287.12
"2008-03-27",90.5,98,90.5,97.5,95.7,33101,31.81
"2008-03-28",93.05,103.4,93.05,101.5,101.85,32651,32.97
"2008-03-31",94.1,117.9,94.1,108.25,109.25,122366,136.97
"2008-04-01",106.7,115.5,105,105.1,105.65,59411,65.13
"2008-04-02",102,112.4,102,103.5,103.25,61618,64.55
