"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",624,633.75,624,NA,NA,NA,NA
"1998-03-23",628,630,626,626,626,300,1.88
"1998-03-24",640,652,626.25,633,632.7,6900,43.75
"1998-03-25",644,695,642.05,692,686,9650,65.27
"1998-03-26",679,700,678,693,691.1,11150,76.98
"1998-03-27",694,700.8,687.05,695,694.45,16100,111.9
"1998-03-30",695,700,671,671,673.3,11650,80.31
"1998-03-31",670,680,661,677.8,671.9,4800,32.13
"1998-04-01",685,688,677.5,680,680.2,9750,66.4
"1998-04-02",690,701,680.5,695,696.25,44350,308.33
"1998-04-03",689,730,682,682.1,725.9,13350,95.96
"1998-04-06",724.95,724.95,687,702.5,700.45,4800,33.48
"1998-04-07",706,720,696,720,712.45,7550,53.56
"1998-04-09",725,743,718,743,737.1,9250,67.42
"1998-04-10",732,735,712,720,716.1,6650,48.14
"1998-04-13",701,750,700,738.05,737.7,9500,69.66
"1998-04-15",765,811.5,765,811.5,811.5,22900,180.37
"1998-04-16",824,865,821.05,835,832.95,29850,252.45
"1998-04-17",838,915.3,838,915.3,899.3,48950,424.36
"1998-04-20",915,921.45,825,854,860.5,19500,173.92
"1998-04-21",869,889,860,870.05,874.15,10750,93.85
"1998-04-22",908,949,872,872,874,27250,247.99
"1998-04-23",855,862.85,787,796,796,10950,91.16
"1998-04-24",800.05,810,750,760,757.55,15050,114.93
"1998-04-27",799.5,800,760,780,777.15,15850,122.25
"1998-04-28",776,776,755,756,757.5,18600,142.59
"1998-04-29",791,791,750,761.6,761.5,4350,33.55
"1998-04-30",751.25,763,745,758,760.05,3000,22.65
"1998-05-04",756,836.1,756,836.1,835.9,8550,68.34
"1998-05-05",850,850,795,800,801.55,4800,38.77
"1998-05-06",811,811,780,785,783.3,4050,32.15
"1998-05-08",774,780,752,760,760,5550,42.2
"1998-05-11",760,800,760,788.5,785.05,16950,132.53
"1998-05-12",765,777.9,753,765,765.05,10250,78.12
"1998-05-13",760,775,753.1,755,759.6,8650,65.94
"1998-05-14",730,780,730,780,770.9,4950,37.4
"1998-05-15",780,804,765.5,800,796.3,9150,71.87
"1998-05-18",800,810,790,792,793.35,2950,23.6
"1998-05-19",815,840,810,818,820.6,8050,66.3
"1998-05-20",840,859,825.6,838,830.4,9450,79.83
"1998-05-21",838.5,843.5,835,843.5,840.8,9700,81.39
"1998-05-22",835.25,840.05,830.25,835,833.5,3400,28.48
"1998-05-25",835,849,832,845,847.65,6200,52.23
"1998-05-26",841.1,845,830,832,832.65,7850,65.88
"1998-05-27",840,851,835,849.5,839.1,24000,201.55
"1998-05-28",864,899,850,878,875.25,22200,193.37
"1998-05-29",898.75,898.75,840,875,874.45,23000,198.59
"1998-06-01",887,897,865,872,868.5,24400,215.14
"1998-06-02",856,865,839,839,844.05,18750,159.16
"1998-06-03",844,854,832,845,840.55,23550,197.43
"1998-06-04",845,849.9,826,826,827.6,2550,21.41
"1998-06-05",825,825,750,755,753.95,19350,151.98
"1998-06-08",710,730.25,678.75,705,711.35,5650,39.94
"1998-06-09",705,770,705,751,749.9,6200,45.8
"1998-06-10",750,757,715,715,720.85,5800,42.55
"1998-06-11",715,735,695,735,733.95,2600,18.69
"1998-06-12",748.1,760,740.05,752.05,752,4900,36.91
"1998-06-15",730.25,731,705,705.05,706.65,3150,22.59
"1998-06-16",701,720,670,717,716.35,9300,65.33
"1998-06-17",745,761.75,744,761.75,756.3,2750,20.63
"1998-06-18",780,780,740.5,740.5,744.05,1700,12.79
"1998-06-19",740,740,727.5,728.25,731,3900,28.54
"1998-06-22",691,699.5,675,699.5,691.8,6750,46.49
"1998-06-23",678,680,652.1,680,676,5200,34.89
"1998-06-24",695,726.9,695,710,711.8,2800,20.03
"1998-06-25",739,750,700,700,700.85,10350,74.3
