"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2013-01-09",194.05,205,194,200,200,24307,48.68
"2013-01-10",200.15,201.05,188.65,194.95,194.95,16965,33.17
"2013-01-11",197.9,197.9,183.55,187,187.4,11699,21.93
"2013-01-14",193.9,193.9,185,187.1,187.6,17166,31.94
"2013-01-15",189.8,193.7,187,192.6,190.8,5425,10.26
"2013-01-16",187.05,194.85,187,188,187.5,5790,10.85
"2013-01-17",194,194,185.3,187,187,3544,6.62
"2013-01-18",193.95,193.95,184,184,184.4,7101,13.25
"2013-01-21",187,193,184,187,187.45,14777,27.8
"2013-01-22",190,191,187.1,189,188.5,4260,8.1
"2013-01-23",188.95,190,178.05,187.9,181.35,26600,48.82
"2013-01-24",182.25,184,179.35,183.3,182.05,7218,13.08
"2013-01-25",179.05,185.95,177.35,182.85,182.65,1769,3.23
"2013-01-28",185,185,180,182.15,182.2,1796,3.3
"2013-01-29",180,184.8,179.2,182,180.1,1620,2.94
"2013-01-30",179.05,184,173.8,182,180.1,4333,7.78
"2013-01-31",179,180,175.2,180,177.5,944,1.67
"2013-02-01",176.7,184.8,176.65,181,179.3,2139,3.87
"2013-02-04",187,187,176.5,178,177.65,558,0.99
"2013-02-05",178,180.95,176.15,176.15,176.15,1254,2.24
"2013-02-06",176,178,175,175,175.05,3839,6.78
"2013-02-07",187,187,160.5,170,170.1,7213,12.09
"2013-02-08",176.4,176.4,161.1,166.95,166.15,6605,11.23
"2013-02-11",164.05,166,156.5,157,158.3,8298,13.36
"2013-02-12",160,164,156.2,158.15,159.85,2079,3.34
"2013-02-13",160,161,154.05,155.95,156.15,12778,20.3
"2013-02-14",160.9,160.9,150.1,150.1,151.95,6498,9.89
"2013-02-15",160.95,160.95,149,156,155.05,2279,3.47
"2013-02-18",152.9,179,152.9,160,159.7,4281,6.85
"2013-02-19",156.05,160,145,153.05,150.05,21265,32.12
"2013-02-20",155.5,163.7,153,160.55,161.45,3772,6.01
"2013-02-21",163.9,165,157.5,161.5,161.95,1333,2.17
"2013-02-22",158.4,167.9,157.8,167,163.55,2143,3.48
"2013-02-25",173.85,173.9,160.05,170.65,170.3,2707,4.52
"2013-02-26",164,170.95,155.65,164.9,163.5,2263,3.69
"2013-02-27",161.5,164.8,161,161,162,434,0.71
"2013-02-28",168.8,168.8,159.1,165,163.45,1364,2.21
"2013-03-01",160,160,154.55,158,157.55,3152,4.96
"2013-03-04",173.5,173.5,151,151.05,153.6,1795,2.74
"2013-03-05",159,159,149.8,153.15,151.6,11301,17.88
"2013-03-06",157.5,157.85,152.8,154.5,154.85,8792,13.5
"2013-03-07",158.8,159,153.75,156.95,156.05,2898,4.54
"2013-03-08",157.5,162,157,157.1,158.1,4318,6.86
"2013-03-11",161.8,163.65,157.2,160.55,160.55,4909,7.85
"2013-03-12",156.8,164,156.8,163,162.95,2879,4.65
"2013-03-13",163.95,164,158,162.5,162.7,4476,7.14
"2013-03-14",160,164.9,156,160.9,160.7,3124,4.96
"2013-03-15",163,163,150,150.7,151.4,7469,11.64
"2013-03-18",151.4,157.75,144.65,157,156.3,12793,19.21
"2013-03-19",156.95,156.95,147.6,151.5,147.85,38834,57.69
"2013-03-20",146.05,151.8,144.6,147.65,145.95,9005,13.17
