"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",392,414.9,386,NA,NA,NA,NA
"1998-03-23",415,418,412.5,415,415,27900,116.03
"1998-03-24",420,432,410,429,428.65,152100,638.35
"1998-03-25",432,454,430.15,448.5,449.1,200800,890.64
"1998-03-26",443,452,422,425.6,425.3,101100,441.88
"1998-03-27",424,427.2,414.75,421,420.5,189300,794.84
"1998-03-30",424.4,427.9,403.5,404.1,407.9,87200,362.71
"1998-03-31",404,409.95,394,400,398.45,147600,593.34
"1998-04-01",411.5,436.5,411,428.7,427.35,112500,477.35
"1998-04-02",430,441.75,421,437.5,437.15,156400,675.35
"1998-04-03",444,456,441,446,446,92300,412.68
"1998-04-06",448,448.75,436.05,442,440.65,45700,201.91
"1998-04-07",438,452,437,440,441.2,82900,365.98
"1998-04-09",462,470,455,465,465.6,91900,424.65
"1998-04-10",469.5,470,456.5,457,457.6,50600,234.1
"1998-04-13",450,453,431,438,438.15,67900,300.48
"1998-04-15",455,462.75,454.5,458,457.55,26000,119.02
"1998-04-16",458,459,440,446.2,447.9,34300,154.8
"1998-04-17",447.9,448.25,442.15,447.25,446.3,28800,128.47
"1998-04-20",450,490,450,474.1,475.9,159000,754.67
"1998-04-21",475,489.7,475,484,485.35,128200,620.64
"1998-04-22",509,533.9,509,515,516.8,328900,1732.59
"1998-04-23",500.25,521,481.15,486.25,485.05,191700,961.12
"1998-04-24",490,503,460,492.1,492.2,211700,1030.47
"1998-04-27",499,515,471.3,487,484.4,360400,1778.62
"1998-04-28",488,498.7,437,454,449.65,347800,1610.12
"1998-04-29",468,493,462,466,465.8,262000,1247.31
"1998-04-30",463,474,452.5,468.1,470.7,145600,677.52
"1998-05-04",474,489,470.1,487,485.95,218900,1050.91
"1998-05-05",490,490.9,474,482,477.45,167300,802.16
"1998-05-06",489,493,468,471.4,469.15,74400,355.41
"1998-05-08",469.5,471,455,463,463.15,109500,507.75
"1998-05-11",465,465,459.25,462.75,461.65,15400,71.03
"1998-05-12",458.75,458.75,415.75,446,441,131200,577.64
"1998-05-13",440,444.9,417.15,420,421,93800,405.02
"1998-05-14",415,460,415,459,457.4,184700,819.99
"1998-05-15",460,461.8,444,446,445.6,77900,351.35
"1998-05-18",452.75,475,450,465,464.65,127000,590.47
"1998-05-19",465,480,462,480,474,91800,429.99
"1998-05-20",487,489,475.1,482.3,483.95,82100,397.28
"1998-05-21",484,492,466,473.6,472.35,87800,421.3
"1998-05-22",467,474.95,466,471.5,473.45,36400,171.53
"1998-05-25",475,475,466,469,470.5,38800,182.73
"1998-05-26",468.1,470,450.55,454,454.45,77700,357.44
"1998-05-27",456,464.9,451,455,454.75,36400,166.89
"1998-05-28",451.1,461,446,450,448.45,27900,126.33
"1998-05-29",446.25,460,432,460,456.6,65500,294.59
"1998-06-01",464.5,485,440.5,455.5,453.25,84900,397.35
"1998-06-02",450,453.5,432.25,438.9,435.4,45600,201.34
"1998-06-03",441,449,436,449,446.2,29900,132.27
"1998-06-04",448,450,439,439.5,439.9,14600,64.71
"1998-06-05",432,435,409,409.1,409.9,34500,145.59
"1998-06-08",405,410,370,389,385.35,42100,159.9
"1998-06-09",385,394.75,377,386,383.8,29800,115.38
"1998-06-10",380.5,380.5,370,372.25,374.15,29400,110.1
"1998-06-11",370,375,356,374,371.75,29900,109.39
"1998-06-12",381.05,387,370.25,374.1,373.85,17700,67.35
"1998-06-15",367.5,369,357.35,358.6,359.3,38600,139.28
"1998-06-16",354,354.75,337,347.55,346.95,31700,109.91
"1998-06-17",355.5,381.6,354,381.6,381.6,19400,72.23
"1998-06-18",386,404,384,390,387.8,65800,261.45
"1998-06-19",370,389,350,350,350.75,26500,95.93
"1998-06-22",325,358.95,315.75,353,347.8,50400,167.24
"1998-06-23",339.05,345,322.15,344.75,340.15,21700,73.06
"1998-06-24",349,374,348.5,374,372.9,31000,111.87
"1998-06-25",390,399.95,377,391.8,391.5,40600,157.62
"1998-06-26",395,395,375,378,376.35,28400,108.18
"1998-06-29",378.9,409.45,378.9,407,406.1,55000,218.39
"1998-06-30",409.85,414.8,397,403.5,400.9,50700,204.76
"1998-07-01",395,400,386.1,394.5,396.1,21300,83.73
"1998-07-02",388.1,396.75,388,388.3,388.65,11900,46.58
"1998-07-03",377,388.85,372.65,377,376.75,19800,75.41
"1998-07-06",380,414.35,380,414.35,413.25,49300,197.69
"1998-07-07",419.7,454.5,413,454.5,454.5,90000,393.6
"1998-07-08",488,490.8,475,490.8,490.65,178800,869.73
"1998-07-09",489.1,497,452,465,464.1,232000,1087.69
"1998-07-10",470,500,467,499.8,493.2,296600,1430.96
"1998-07-13",499.95,507,478,483,481.3,192900,945.61
"1998-07-14",482.9,492.9,477,490,488.95,112400,544.68
"1998-07-15",495.95,496,485.15,489,486.75,98600,481.74
"1998-07-16",492,504.8,485.55,500.7,501.3,276300,1377.99
"1998-07-17",503,511,495.15,506,505.85,377000,1903.42
"1998-07-20",513.9,520,501,506.5,506.65,393200,2013.92
"1998-07-21",508,515,502,509.9,508.4,217700,1106.5
"1998-07-22",510.7,513.75,489.55,499,496.85,312600,1556.14
"1998-07-23",495.1,495.85,482.1,486.95,486.7,233800,1139.06
"1998-07-24",482.5,489.95,475.1,485.3,483.85,179200,863.29
"1998-07-27",483.25,490.4,470.1,473.95,473.95,210000,1003.49
"1998-07-28",471,491,471,490.9,489.1,222600,1076.53
"1998-07-29",492,527.5,487.15,513.05,518.55,692900,3525.37
"1998-07-30",519,523,504,509,510.1,323200,1664.26
"1998-07-31",514.75,539,514.75,532.05,532.3,698200,3709.65
"1998-08-03",526,530,515,520.5,521.95,325900,1702.05
"1998-08-04",517.45,527,516.25,521.1,521.9,148900,776.41
"1998-08-05",518.1,535,510,534,533.55,576300,3022.02
"1998-08-06",534.95,546.75,531,535.5,536.3,423800,2287.65
"1998-08-07",534.5,579.2,532.5,568.35,570.3,1121800,6303.21
"1998-08-10",568,575,555,562.15,563.2,579400,3274.66
"1998-08-11",558,570,551.5,563.5,558.65,633000,3552.22
"1998-08-12",548,552,532.25,534.35,535.05,348300,1879.28
"1998-08-13",532.1,538.95,521,534.4,534.35,276900,1466
"1998-08-14",529,537,523.05,527.35,526.15,169300,898.86
"1998-08-17",531,532,484.1,484.1,484.45,493500,2468.72
"1998-08-18",480.1,492.4,470.2,487,481.7,560800,2694.38
"1998-08-19",490,509.9,484,486,488.55,434300,2159.65
"1998-08-20",485,498,471.05,491,493.25,401800,1949.72
"1998-08-21",496.7,499,482.1,489.75,487.95,359100,1766.21
"1998-08-24",489,493,476.7,485,487.15,140200,682.98
"1998-08-25",488,520,485,518,509.4,358500,1787.34
"1998-08-27",508,517,468.65,468.65,476.5,559300,2739.11
"1998-08-28",460.05,467,438.4,438.4,438.4,509200,2265.42
"1998-08-31",434.5,434.5,405,413,410.95,619100,2581.39
"1998-09-01",407,412.5,391.5,399.9,400.5,525000,2118.35
"1998-09-02",405,430.7,405,423,423.2,431600,1826.38
"1998-09-03",421,429.9,398,410.75,408.65,503200,2069.81
"1998-09-04",411.9,417,403,407,408.7,245200,1000.16
"1998-09-07",412,419.95,407,413,414.45,253000,1048.28
"1998-09-08",410,433.45,410,431.9,429.2,490300,2082.42
