"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2016-04-21",145.1,147,134.3,135.7,135.2,136250158,191232.9
"2016-04-22",136.55,140.55,136.1,138.1,138,16016315,22199.29
"2016-04-25",138.7,139.45,135.3,136.15,136.05,6635973,9068.32
"2016-04-26",136.45,141.35,135.7,138.6,138.7,8740837,12134.25
"2016-04-27",138.7,143.3,138.1,141.5,141.85,12469123,17580.77
"2016-04-28",141.75,142.8,138.3,139,138.8,5001100,7023.6
"2016-04-29",138.8,141.85,137.25,140.6,140.15,4947987,6915.5
"2016-05-02",139.4,143.8,138.55,143.45,143.1,4984758,7067.74
"2016-05-03",144.4,146.8,140.35,140.7,140.85,6655538,9592.32
"2016-05-04",140.55,142.5,139.75,140.6,140.45,2130868,3002.91
"2016-05-05",141,146.75,140.7,146.3,145.5,6707180,9654.59
"2016-05-06",146.8,148.6,142.25,145.05,145.65,6663738,9681.3
"2016-05-09",146,146.7,141.6,142.85,142.95,3813982,5458.5
"2016-05-10",143.4,145.4,137.75,142.6,142.3,5933188,8402.53
"2016-05-11",139.5,143.95,139.2,143.3,142.95,2734500,3890.16
"2016-05-12",143.5,149.6,141.8,147.8,147.75,7384329,10813.23
"2016-05-13",148.15,148.4,144.5,145.85,145.5,3281584,4809.27
"2016-05-16",146.1,150.9,144.4,149.7,150.2,4810396,7155.69
"2016-05-17",150.5,151.3,147.2,148.45,148.1,2195450,3268.97
"2016-05-18",147,147.45,144.9,145.2,145.55,1878648,2746.93
"2016-05-19",146,150.8,145.5,148.5,148.45,3377203,5025.59
"2016-05-20",149,149.25,146.9,148.7,148.1,1504588,2227.24
"2016-05-23",148.2,148.9,146,146.6,146.65,842451,1238.56
"2016-05-24",145.1,146.35,143.9,144.7,144.6,690248,999.53
"2016-05-25",145.75,150.4,145.5,149.45,149.25,1403337,2082.04
"2016-05-26",149.4,159.4,149.4,154.5,154.85,5852105,9097.2
"2016-05-27",154.9,157.7,152.5,154.35,154.9,1600647,2484.74
"2016-05-30",155,160.9,154.8,158.8,159.5,3339001,5300.57
"2016-05-31",159.4,163.45,156.5,160,161.55,3033954,4867.7
"2016-06-01",159.9,166.85,157.65,165,165,4961795,8060.87
"2016-06-02",165,167.5,163.9,166.75,167,2805265,4662.91
"2016-06-03",167.4,187.7,167.35,173.25,173.7,19710530,35237.52
"2016-06-06",174,177.4,163.2,174.8,174.7,7999021,13684.75
"2016-06-07",175.7,180.45,174.3,175.5,175.75,2811915,4985.2
"2016-06-08",176.3,179.4,175,177.3,177.45,1755424,3109.34
"2016-06-09",178.15,179.4,175.35,175.8,176.2,2031992,3597.93
"2016-06-10",176,184,174,178.6,179,4153381,7460.61
"2016-06-13",176,177.4,169.9,173.85,173.7,3042559,5282.56
"2016-06-14",174.6,176,169.4,170.5,171.2,3318343,5750.13
"2016-06-15",172,175.4,171.4,171.9,172.1,1480507,2565.5
"2016-06-16",172,177.4,171.2,172,172.15,2162224,3756.46
