"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-05-09",110,110,98.05,100,100.15,22950815,23621.02
"2007-05-10",101.6,105.9,100.1,101.55,101.65,6763044,7002.63
"2007-05-11",99,102.4,98,101,100.5,2991496,3014.28
"2007-05-14",103,103.3,100.5,100.85,100.9,1118231,1137.74
"2007-05-15",102,102,97.1,97.4,97.7,1479512,1462.16
"2007-05-16",99,99,96.6,96.95,97.15,674369,659.04
"2007-05-17",97.75,101.2,96.65,96.65,97.2,1439051,1419.23
"2007-05-18",97.5,97.5,94.55,94.6,95,706310,677.92
"2007-05-21",94,95.15,89.55,90.15,90.35,2486929,2274.4
"2007-05-22",90.5,95.4,90,92.4,92.3,2758594,2579.15
"2007-05-23",92.9,94.45,91,91.4,91.3,1081075,1002.19
"2007-05-24",91.9,93.15,90.6,91.9,91.9,1054225,968.11
"2007-05-25",91.1,93,90.5,92,91.85,740830,683.32
"2007-05-28",93.95,96.7,92.85,93.3,93.1,874379,823.88
"2007-05-29",92.6,93.9,92.05,92.3,92.25,426051,394.54
"2007-05-30",91.2,93.4,87.7,88,88.45,852585,771.46
"2007-05-31",88,91,85.75,87.75,87.65,1036438,917.19
"2007-06-01",88.1,88.95,87.5,87.7,87.8,499479,440.02
"2007-06-04",88.25,98.45,88,92.8,93,3039862,2863.14
"2007-06-05",93.8,93.8,91.8,92.2,92.1,620458,572.71
"2007-06-06",92.95,93.05,90,90.5,90.25,447408,408.74
"2007-06-07",90.95,90.95,89.1,89.8,89.7,350570,315.02
"2007-06-08",86,89.25,86,88.95,88.65,268780,238.51
"2007-06-11",90,90,88.2,88.7,88.65,220018,196.34
"2007-06-12",88.65,89.9,86.55,89.8,89.1,334058,293.82
"2007-06-13",89,89,87.5,88,87.95,148456,130.86
"2007-06-14",89.1,89.85,88.05,88.5,88.55,243004,215.78
"2007-06-15",88.7,88.95,86.75,86.95,87.2,233522,205.59
"2007-06-18",87.55,88.2,86.05,86.05,86.45,254222,221.38
