"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",115.5,117.95,115.25,NA,NA,NA,NA
"1998-03-23",117.5,118.25,117.5,118,118,1700,2
"1998-03-24",120,122,116.5,119.5,118.45,40700,48.42
"1998-03-25",121.9,126.9,121.9,124.95,124.8,65500,81.63
"1998-03-26",125.75,128,122,122.15,123.2,41600,51.78
"1998-03-27",122,124.4,121.15,123.4,123.75,18200,22.45
"1998-03-30",125.5,125.5,121.3,122,122.45,35500,43.56
"1998-03-31",121,123,118.1,120.8,119.7,74300,89.11
"1998-04-01",125.8,131.7,125.8,131.7,131.7,239900,315.77
"1998-04-02",132.9,135,126.5,127.4,127.5,105200,136.32
"1998-04-03",128.5,130,126.15,127.15,127.1,54300,69.21
"1998-04-06",128.5,128.5,125.05,126,125.75,59200,75.07
"1998-04-07",126,126,122,125,123.85,115800,143.36
"1998-04-09",128,130,124.7,126.95,126.65,85400,107.85
"1998-04-10",128.7,128.7,123.55,124,124.05,57100,71.4
"1998-04-13",122,122,116.1,117.6,117.3,67800,80.37
"1998-04-15",121,127.45,120.5,126,125.95,50800,63.87
"1998-04-16",128,128.8,123,123.85,124.05,33600,42
"1998-04-17",123.1,125.95,122.1,123,123,26500,32.65
"1998-04-20",123.5,123.5,119.75,121.05,121.6,32900,39.98
"1998-04-21",121,124.5,119.6,123.6,123.75,90700,111.24
"1998-04-22",127,127.7,124,124.7,124.7,51200,64.35
"1998-04-23",123.75,124.45,120,121,121.35,40200,49.08
"1998-04-24",119.3,121.7,116.2,120.95,119.45,27100,32.22
"1998-04-27",117.4,119,117.25,118.4,118.5,18600,22
"1998-04-28",118,118,113.05,114.7,113.55,32300,37.18
"1998-04-29",117.75,118.6,115.8,117.75,117.35,31000,36.28
"1998-04-30",114.25,119,114.05,118.7,118.55,14200,16.63
"1998-05-04",119.65,119.75,117.3,118.5,118.5,13800,16.3
"1998-05-05",117.6,119,116.25,117.85,118.05,13500,15.89
"1998-05-06",118.15,118.75,116.05,118.5,118.3,15000,17.71
"1998-05-08",118.45,119.85,116.05,119.4,119.45,15100,17.9
"1998-05-11",120,120,117.3,117.55,117.5,2700,3.18
"1998-05-12",115.5,117,113,116.1,116.15,25100,29.03
"1998-05-13",113,116.5,112.55,115.55,115.55,12700,14.61
"1998-05-14",115,116.5,112.1,114,115.4,46300,53.32
"1998-05-15",115.35,115.5,113.5,114.7,115.05,23200,26.56
"1998-05-18",115.7,118,114.8,117.5,117.35,13300,15.53
"1998-05-19",116,116.95,114.55,115.45,114.95,21300,24.58
"1998-05-20",120,120,115,115,115.2,23700,27.4
"1998-05-21",115.1,115.8,113,113,113.95,38600,44.08
"1998-05-22",112,114.9,111.9,112.15,113,26400,29.88
"1998-05-25",110,112.3,108.05,111.5,111.6,36800,41.01
"1998-05-26",109.85,111,107.65,110.55,110.65,24000,26.34
"1998-05-27",108.25,112,108.25,112,111.75,7200,7.97
"1998-05-28",112,112,109,110.5,110.35,30600,33.69
"1998-05-29",106,110,104,109.95,109.55,8100,8.69
"1998-06-01",115.75,120,111,111,111.7,38800,45.2
"1998-06-02",111,112,101.2,102.05,103.75,26000,27.58
"1998-06-03",103.75,106,101.5,103,103.2,26300,27.18
"1998-06-04",104.85,106.9,102.75,104,103.9,9100,9.46
"1998-06-05",102.05,102.25,97.35,99,98.8,17700,17.68
"1998-06-08",100,100,88.95,89.5,90.1,50500,45.51
"1998-06-09",86,92.95,82.05,90.9,91.1,18800,16.95
"1998-06-10",91.25,93.75,90.25,93.5,93.5,7600,7
"1998-06-11",91.5,95,90.75,95,94.3,4300,3.97
"1998-06-12",94.5,96.75,92,95,94.25,8100,7.61
"1998-06-15",92,95,91.05,93.65,93.8,21900,20.47
"1998-06-16",89.1,92,86.25,91.65,91.65,27100,24.73
"1998-06-17",94,95.5,90.1,93.75,93.75,7900,7.37
"1998-06-18",95,95.5,90,93.05,93.05,12800,11.88
"1998-06-19",86.25,93.5,86.25,92.5,92.8,9300,8.57
"1998-06-22",86.05,88.4,85,88.4,87.55,9300,8.1
"1998-06-23",88.45,90.8,87.4,90.5,90.4,15100,13.55
"1998-06-24",90.75,91.5,90.1,91.2,91.2,19200,17.45
"1998-06-25",92,92.5,89.9,90,90.5,51300,46.44
"1998-06-26",90.9,91,89.15,90,90.35,37100,33.45
"1998-06-29",90,94.5,88.8,93.5,92.45,14400,13.28
"1998-06-30",92,93.6,91,93.05,93.2,17400,16.12
"1998-07-01",91,92.9,90.75,92.9,92.9,2900,2.67
"1998-07-02",91.7,93,91.7,91.9,91.9,18500,17.1
"1998-07-03",90.35,90.4,89.55,89.75,89.65,22700,20.44
"1998-07-06",91,91,89.3,90,90,11600,10.48
"1998-07-07",92.4,92.45,89.1,89.9,89.5,4100,3.69
"1998-07-08",91,91.1,89,90.9,90.75,15800,14.21
"1998-07-09",91.35,91.35,90.75,91,90.85,2100,1.91
"1998-07-10",91.7,91.95,90.5,91.95,91.25,3800,3.46
"1998-07-13",92,92.8,90.5,90.95,90.5,4700,4.27
"1998-07-14",88.9,90.05,87.65,89.25,89.25,14400,12.92
"1998-07-15",91,91.8,90.1,91.8,91.45,4700,4.29
"1998-07-16",91.75,95,91.75,94,94.15,14300,13.39
"1998-07-17",93.1,97,93,93.75,93.6,67300,63.37
"1998-07-20",92.2,92.5,90.5,91.7,91.7,11500,10.56
"1998-07-21",91.75,92,90.1,91.5,91.1,13900,12.7
"1998-07-22",92,93,91,91,91.55,16900,15.48
"1998-07-23",90,91,88,88,88.7,17300,15.64
"1998-07-24",88,88,86.5,87.15,87.15,2500,2.18
"1998-07-27",89,89,85.75,85.75,85.95,16800,14.69
"1998-07-28",86,86.5,85,86.5,86.3,2700,2.31
"1998-07-29",90,90.5,87.5,90.25,90.3,2500,2.24
"1998-07-30",92,92,90,91.5,91.55,5200,4.75
"1998-07-31",90.15,92.75,90.1,92.1,92.45,5800,5.35
"1998-08-03",92,92.1,87.75,90.7,91.8,11400,10.43
"1998-08-04",90.15,92.4,90.15,92.1,92.2,15600,14.32
"1998-08-05",89.55,92.5,89.55,92.35,92.15,6200,5.65
"1998-08-06",91.65,91.65,90.5,90.55,90.55,2700,2.45
"1998-08-07",89,91,89,91,91,2200,1.98
"1998-08-10",90,90,86.75,90,89.8,2700,2.41
"1998-08-11",89.75,90,88,90,89.75,5300,4.71
"1998-08-12",89.6,90.1,88.5,90.1,90.1,1100,0.98
"1998-08-13",87.2,89,86.85,89,89,4900,4.29
