"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2000-02-10",650,1500,510,546.7,542.35,696000,3838.47
"2000-02-11",555,558,499,499,499,159450,809.21
"2000-02-14",460,477.4,459.1,459.1,459.1,14100,64.84
"2000-02-15",422.4,422.4,422.4,422.4,422.4,14500,61.25
"2000-02-16",391,415,388.65,398,395.05,158850,626.74
"2000-02-17",390.25,426.65,390.25,426.65,426.65,114650,475.43
"2000-02-18",430,460.8,405.05,430,424.25,166700,716.15
"2000-02-21",430,430,390.35,401,394.45,76200,303.55
"2000-02-22",390,400,362.9,380,379.6,99100,370.21
"2000-02-23",390,410,361.05,372.5,371.9,49750,189.9
"2000-02-24",370,393.9,357,370,368.45,39400,147.74
"2000-02-25",361.25,365,339.5,343.05,345.95,24450,85.16
"2000-02-28",330.1,335.1,318.3,321.65,323.55,33250,107.58
"2000-02-29",322,347,297.7,312,301.75,73000,240.7
"2000-03-01",280.25,323.9,280.25,306.9,306.05,57800,177.41
"2000-03-02",300.2,308.9,281.6,281.6,281.6,38900,111.91
"2000-03-03",265,295,259.1,280,267.85,80250,214.22
"2000-03-06",270.5,289.3,247.5,289.3,275.6,84350,225.04
"2000-03-07",297.65,297.65,255.25,297.65,283.95,78550,219.03
"2000-03-08",298,298,265,265,268.45,33800,93.48
"2000-03-09",265,269.95,249,268,265.8,46400,121.37
"2000-03-10",257.1,270,251,260,258.95,20700,54.07
"2000-03-13",265,278,245.75,246.05,249.65,50250,132.18
"2000-03-14",240,260,236.25,241.35,248.1,53150,132.77
"2000-03-15",259.9,267.95,250,267.95,267.95,18650,48.44
"2000-03-16",274.5,289.25,263,277.95,277.5,37400,103.16
"2000-03-21",275.5,275.5,256.2,260.1,259.2,37250,97.89
"2000-03-22",271.3,271.3,271.3,271.3,271.3,300,0.81
"2000-03-23",292.85,293,277,285,282.7,43750,125.6
"2000-03-24",273.25,286.5,267.25,279.75,279.7,21550,59.56
"2000-03-27",274,280,266.5,268.25,267.4,22650,61.91
"2000-03-28",265,267.5,254,264.5,262.3,29450,76.31
"2000-03-29",260.05,265,256.25,258.25,258.5,10350,26.85
"2000-03-30",254.9,258,252,255.1,255.75,9650,24.59
"2000-03-31",255,269,252,261.45,259.3,13600,35.27
"2000-04-03",265,265,248,248.3,250.5,19250,48.84
"2000-04-04",242,242,230.5,235.3,235.75,31600,73.81
