"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2006-08-21",216,219.5,200,210.05,210.4,13777145,29321.63
"2006-08-22",211.9,214,210,210,210.05,3013946,6364.84
"2006-08-23",211,211,210,210,210,2045718,4299.3
"2006-08-24",210.05,222.25,210.05,222,220.35,3382785,7334.75
"2006-08-25",225,230.5,220.7,225,225.05,4535140,10274.07
"2006-08-28",225.8,227.4,221.25,221.3,222.3,1072005,2407.41
"2006-08-29",224,227.35,222,224,223.35,1385158,3114.6
"2006-08-30",224.5,225.8,220.5,220.75,221.4,756615,1682.4
"2006-08-31",222.8,222.8,214,216,214.7,959952,2081.67
"2006-09-01",217.5,217.7,212.55,213.7,213.25,444118,954.03
"2006-09-04",214.9,222,213.3,221.75,221.4,1028122,2251.7
"2006-09-05",222.3,222.3,215.55,219,219.05,467217,1024.03
"2006-09-06",220,225,219.5,222.05,222.15,914871,2036.36
"2006-09-07",220.5,220.75,216.2,219.05,218.95,792502,1733.31
"2006-09-08",220,222.45,218.1,218.2,219.55,477616,1052.66
"2006-09-11",220.1,220.5,210.6,211.75,212.05,410782,881.33
"2006-09-12",212,214.3,210.35,213,212.85,331743,703.76
"2006-09-13",215.2,217.5,214,214.5,214.65,285366,615.08
"2006-09-14",215.8,219.45,214.25,217,217.15,459235,994.47
"2006-09-15",218,218,212.5,216.85,215.55,368626,793.19
"2006-09-18",215.6,218.35,214.1,216,216.4,452106,979.88
"2006-09-19",216,217.75,211.1,212,212.2,215139,463.22
"2006-09-20",212.8,214,211.05,213.55,213.15,136247,290.23
"2006-09-21",214,216.5,212,214.5,214.05,326976,701.27
"2006-09-22",214.5,214.5,210.25,211.1,211.8,346501,735.41
"2006-09-25",212,214.5,211.1,212,211.8,306464,652.79
"2006-09-26",212.5,213.5,210.65,212,212.5,379934,804.7
"2006-09-27",212.5,219.35,212,218.55,218.4,1151023,2487.04
"2006-09-28",220,227.2,215.65,226,225.55,2399872,5318.47
"2006-09-29",232,238.95,225.5,235.75,235.45,3619210,8461.94
"2006-10-03",237,239.9,234.1,234.9,235.85,890511,2108.16
"2006-10-04",237.3,237.7,227.05,228,228.65,518449,1202.35
"2006-10-05",230,236,230,231.5,231.4,951707,2210.34
"2006-10-06",232.65,239.95,232.65,236.3,238.75,1418285,3360.67
"2006-10-09",235.4,257.4,234.05,255.4,255.25,3866873,9636.42
"2006-10-10",258,258,245.65,253.1,251.5,1797967,4528.7
"2006-10-11",253.2,264.95,252.35,256,255.9,3387850,8811.27
