"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2001-06-20",58.9,59.65,50.85,50.85,50.85,32120,16.42
"2001-06-21",47,54.95,46.8,54,53.2,95288,46.97
"2001-06-22",54.35,54.35,48.95,50.5,49.95,26986,13.75
"2001-06-25",50,50,45.95,45.95,45.95,15100,6.98
"2001-06-26",46,49.65,44.5,49.65,49.65,31309,15.24
"2001-06-27",49.85,49.9,46.2,47,46.55,4540,2.17
"2001-06-28",47,47,45,46.5,46,5664,2.59
"2001-06-29",47,49.7,45.5,46.5,48.9,15716,7.58
"2001-07-02",52.4,52.4,47,47,47.55,613,0.3
"2001-07-03",46.4,46.5,46,46,46,725,0.34
"2001-07-04",44.25,45.25,44.25,45.25,45.25,585,0.26
"2001-07-05",44,45,43.2,45,45,60,0.03
"2001-07-06",43.1,44.5,43.1,44.5,44.45,7950,3.45
"2001-07-09",48.2,48.2,43,44.8,44.8,8300,3.86
"2001-07-10",43.9,45.5,43.9,44,44.35,2403,1.06
"2001-07-11",44,44.5,43,44,44,2900,1.27
"2001-07-12",44,46,44,46,46,2295,1.02
"2001-07-13",44.95,44.95,44.5,44.75,44.75,850,0.38
"2001-07-16",43.5,45.05,43.5,44,44.1,910,0.4
"2001-07-17",44.05,44.25,43.55,44.25,44.25,10427,4.59
"2001-07-18",44.5,44.5,44,44.4,44.4,397,0.18
"2001-07-19",44.6,45.4,43.5,45,45,3647,1.62
"2001-07-20",45,45.25,44.85,45.25,45.1,3150,1.42
"2001-07-23",42,42,42,42,42,150,0.06
"2001-07-24",42.1,44.95,42.1,43.05,43.05,310,0.13
"2001-07-25",42.75,43,41.95,41.95,41.95,812,0.35
"2001-07-26",42.1,42.8,40.75,42.8,41.3,1975,0.81
"2001-07-27",43.5,44.35,42.65,44.35,44.35,2148,0.94
"2001-07-30",45,47.9,45,47,47.65,5860,2.77
"2001-07-31",48,48,46,46.7,46.55,1892,0.88
"2001-08-01",46.5,47.8,45.15,47.8,47.8,5578,2.61
"2001-08-02",45.15,46.5,45.15,46.05,46,2300,1.06
"2001-08-03",46.5,47.5,46.15,46.2,46.2,645,0.3
"2001-08-06",45,50,43.5,45.25,45.3,2261,1.04
"2001-08-07",47.85,47.85,47.8,47.8,47.8,2,0
"2001-08-08",46.6,47.45,45.2,45.2,45.2,950,0.45
"2001-08-09",48,48.5,47.3,48.25,47.55,1419,0.68
"2001-08-10",48.05,50.5,48.05,50,49.75,4616,2.28
"2001-08-13",50,52.5,48.1,48.5,48.55,1857,0.91
"2001-08-14",48.75,53,48.75,53,52.3,3886,1.97
"2001-08-16",54,54,51.95,52,52,2054,1.07
"2001-08-17",54,54,51,52.5,52.5,2734,1.43
"2001-08-20",52,53.5,51.5,52.25,52.35,20035,10.51
"2001-08-21",52.25,52.8,51.6,52.4,52.4,4091,2.13
"2001-08-23",52,56.4,52,55.65,55.75,8458,4.64
"2001-08-24",56,56,53,53.5,53.55,1786,0.97
"2001-08-27",53.95,57.2,53,53,53.05,4891,2.64
"2001-08-28",55,55,52,52.4,52.45,1864,0.99
"2001-08-29",52.55,53.05,51.1,51.1,51.1,1690,0.88
"2001-08-30",50,52.8,50,52,52,393,0.2
