"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",288,293.45,287.1,NA,NA,NA,NA
"1998-03-23",300,300,293.8,293.8,293.8,3600,10.69
"1998-03-24",297,300,293.5,298.75,299,20750,61.74
"1998-03-25",307,308.8,303,304,304.2,12200,37.12
"1998-03-26",305,310,302,302,303.45,10000,30.62
"1998-03-27",303,306,301.5,305,305.05,2650,8.06
"1998-03-30",305,319.6,305,308.8,308.2,13800,43.3
"1998-03-31",309.5,310.5,306.05,306.05,308.9,8550,26.4
"1998-04-01",317.95,321,316.65,321,319.2,4100,13.06
"1998-04-02",320,322,315,315,317.2,10500,33.53
"1998-04-03",319.95,319.95,314.05,319.5,318.65,26450,83.77
"1998-04-06",317,335,317,330,328.7,18150,58.99
"1998-04-07",329.25,337.4,326.5,333.75,332.4,14850,49.63
"1998-04-09",338,360,338,348,346.8,12000,41.63
"1998-04-10",341,349,332,332,335.9,8300,28.45
"1998-04-13",332,332,312,322,317.9,14450,46.37
"1998-04-15",329,336.75,328.3,333.7,333.5,3400,11.33
"1998-04-16",340,353,328,334.05,338.3,18400,63.21
"1998-04-17",340,346,339,342,342.25,12350,42.31
"1998-04-20",340,349,339.4,339.4,339.4,9650,33.28
"1998-04-21",342.55,347.25,340.1,347.25,342.35,18250,62.54
"1998-04-22",351,375,351,360.6,361.6,34350,125.8
"1998-04-23",360.75,378.5,357.3,360.55,361.3,46150,169.9
"1998-04-24",362,363,330,351.3,352.1,21900,76.93
"1998-04-27",355,361.5,350,350,350.4,12250,43.53
"1998-04-28",346,367.4,328,347.5,347.75,61650,210.64
"1998-04-29",357,357,340.25,342.5,342.15,16850,58.46
"1998-04-30",345,345,330,344,343.3,13000,44.68
"1998-05-04",340.05,347,331,342,341.65,4850,16.61
"1998-05-05",341,363.9,320.05,353.9,349.05,73750,255.55
"1998-05-06",350,350,335,338.55,338.3,19600,66.78
"1998-05-08",335,339.75,333.1,333.1,335.65,10300,34.68
"1998-05-11",337.8,339,334,338,338.1,6250,21.07
"1998-05-12",334,334,321.25,332,332.15,20150,66.56
"1998-05-13",317,321.75,305,305,306.5,15850,50.47
"1998-05-14",305,306,292.05,303,302.85,12600,37.91
"1998-05-15",310,310,291,300,303.8,12150,36.76
"1998-05-18",305.9,314,304.1,312.05,312,6450,20.01
"1998-05-19",311,323.4,309,323.4,319.35,6400,20.12
"1998-05-20",328,328,318.25,320.95,320.95,4500,14.46
"1998-05-21",319,319,310.1,316,316,4300,13.59
"1998-05-22",314.05,325,311.15,322.5,322.3,4000,12.71
"1998-05-25",315,327,315,323,322.55,15850,51.15
"1998-05-26",318.3,327,314.65,327,322.9,21250,67.57
"1998-05-27",334,338,326.05,328,327.2,25400,84.34
"1998-05-28",325.25,330,322,322,322.7,13850,45.15
"1998-05-29",316,318,295,303.5,302.3,71350,222.97
"1998-06-01",310,322,309,311.5,312,40150,126.83
"1998-06-02",312.5,312.5,306,309.2,307.8,9550,29.52
"1998-06-03",305.8,313,298.5,311,312.2,20650,63.24
"1998-06-04",312.7,319,302,305.25,306.85,40700,125.96
"1998-06-05",305.25,307.75,295,295,296.25,39450,118.88
"1998-06-08",295,301,277,300,296.8,26950,77.54
"1998-06-09",292,303,288,298.5,300.05,20000,59.57
"1998-06-10",295,297,288,290,289.9,21250,62.46
"1998-06-11",282.25,315,280,315,305.3,29950,88.57
"1998-06-12",308.1,311,300,305,306.3,34000,103.77
"1998-06-15",300.05,302,287,291,290.85,27400,80.1
"1998-06-16",286,290,275,290,288.25,18150,51.38
"1998-06-17",293.8,309,292,306.5,306.2,21800,65.89
"1998-06-18",309,310,297,297,299.95,12950,39.5
"1998-06-19",294,300,288,291,289,10150,29.69
"1998-06-22",276.1,281,272.25,281,278.55,13100,36.19
"1998-06-23",277.95,281.5,273.2,281,281.05,5200,14.51
"1998-06-24",285,288.5,282,285.95,285.45,3900,11.12
"1998-06-25",289,293.65,286,287,286.55,8550,24.75
"1998-06-26",290,315.15,287.35,315.15,315.1,52550,160.43
"1998-06-29",315,346.55,314.85,346.55,346.55,27450,91.35
"1998-06-30",349,351,317,350,327.35,75500,247.18
"1998-07-01",333.5,341,314,328.05,334.5,25100,81.89
"1998-07-02",329,331,326,330.5,328.45,6100,20.06
"1998-07-03",322,322,310,310,312.05,3650,11.56
"1998-07-06",317.9,317.9,291,300,299,7300,21.78
"1998-07-07",300.25,308,300,302,302.8,4050,12.3
"1998-07-08",307,309,297,297,297.9,8550,25.81
"1998-07-09",300,305,285,290,290.2,6850,20.32
"1998-07-10",297,297,288.3,291,291.3,6550,19.09
"1998-07-13",292,296,290,290,290.4,5950,17.46
"1998-07-14",288.95,297,285,285.5,291.9,24800,71.8
"1998-07-15",295,296.7,287,287,290.05,7550,22.1
"1998-07-16",281.5,288,281.5,287,286.15,5200,14.82
"1998-07-17",284,286.9,276,276,276.4,4900,13.79
"1998-07-20",270,277.75,270,274.35,274.65,11000,30.26
"1998-07-21",272,274,266,273,272.2,6750,18.36
"1998-07-22",275,276.5,271.5,273.35,273.45,3850,10.54
"1998-07-23",271,272,264.5,267.75,266.4,2600,6.99
"1998-07-24",260,260.15,245.1,245.1,245.7,6250,15.89
"1998-07-27",242,242,226.2,226.2,226.2,3600,8.21
"1998-07-28",225,227.75,211.5,213,215.75,7500,16.48
"1998-07-29",217,225,217,221,221.5,9200,20.39
"1998-07-30",224,225,221,222,222.4,9000,20.06
"1998-07-31",224,224.85,218.5,218.5,219.15,4250,9.37
"1998-08-03",215,215,204.8,204.8,207.95,6700,14.06
"1998-08-04",205,209,196.25,201,198.7,8400,16.93
"1998-08-05",200,206,196.5,206,203.55,5100,10.16
"1998-08-06",204.75,210,203,203,203.45,5000,10.34
