"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",88.5,90,88.5,NA,NA,NA,NA
"1998-03-23",89.5,89.5,89.5,89.5,89.5,200,0.18
"1998-03-24",91,98.45,91,98.45,98.45,37700,36.88
"1998-03-25",106,108.3,105,105.5,105.6,51400,54.66
"1998-03-26",106.9,108.25,101,101.75,101.3,16550,17.28
"1998-03-27",98.6,104.5,98.6,104.5,103.25,14750,14.95
"1998-03-30",101.9,101.9,99.1,99.3,99.45,18500,18.5
"1998-03-31",101.35,101.35,95,95,96.75,26900,26.22
"1998-04-01",100.1,102.9,100,102,102,6450,6.54
"1998-04-02",103,104,101,101.1,101.1,7750,7.92
"1998-04-03",100,109.45,100,107.6,108.15,21350,22.4
"1998-04-06",109,118,109,114,113.65,50600,57.78
"1998-04-07",113.25,114.65,111,114.4,112.2,21950,24.75
"1998-04-09",104,119,104,115,115,31100,35.93
"1998-04-10",115.05,122.75,112.6,117.6,117.95,62000,73.65
"1998-04-13",114.5,119.5,112,117,115.9,64000,74.97
"1998-04-15",122,127.05,122,126.75,125.65,42900,53.77
"1998-04-16",125,125,118,118.5,118.55,20900,25.19
"1998-04-17",118,118,112.1,117,116.2,11950,13.87
"1998-04-20",116,121,114,115.5,115.45,27650,32.8
"1998-04-21",118,118.4,112,116.5,114.75,31850,36.57
"1998-04-22",123,125,117.2,117.25,117.5,21200,25.54
"1998-04-23",118,118,107.1,111.95,111.55,10650,12.2
"1998-04-24",111,112.05,101,103.7,104.55,21150,22.04
"1998-04-27",105,106.9,102,103.5,103,9200,9.61
"1998-04-28",102.5,102.5,96,98.25,97.75,13150,12.83
"1998-04-29",99.25,102,96,97.25,97.25,5850,5.85
"1998-04-30",98,100,96,99.05,99.45,5950,5.86
"1998-05-04",100.1,102,98,101.95,101.85,9950,10.02
"1998-05-05",101,105,100,104.75,103.5,9400,9.64
"1998-05-06",105,106,102,102,102,4450,4.61
"1998-05-08",100,101,99.55,99.9,99.85,4000,4
"1998-05-11",97.25,101.25,97.25,99,99.25,850,0.85
"1998-05-12",95.6,97,89.55,93,92.85,7050,6.57
"1998-05-13",94.05,95,90,92,93.45,8700,8.07
"1998-05-14",94,96,91,96,95.65,3050,2.85
"1998-05-15",97,97,93,95.7,95.7,3100,2.94
"1998-05-18",95.5,98.5,95.15,97.55,97.65,3900,3.77
"1998-05-19",98,99,96.15,96.9,96.85,3950,3.83
"1998-05-20",98.95,102.45,98.1,101.3,100.3,5550,5.53
"1998-05-21",100,100,96.6,100,99.95,12450,12.31
"1998-05-22",100,100,96.1,98.7,98.7,950,0.93
"1998-05-25",95.95,98,95.65,98,98,2550,2.49
"1998-05-26",98,99,96.25,97.85,97.8,7100,6.91
"1998-05-27",102.95,102.95,95.55,97.85,97.8,3550,3.49
"1998-05-28",97.85,97.85,97.25,97.35,97.5,2050,2
"1998-05-29",97,97.9,96.25,97.9,97.9,1550,1.5
"1998-06-01",100,104,98,98,98.3,13100,13.2
"1998-06-02",97.05,97.05,88.5,94,93.2,9000,8.35
"1998-06-03",93.9,93.9,88,92.5,90.85,1700,1.54
"1998-06-04",93,93.9,92,93.9,93.4,2250,2.09
"1998-06-05",90,90,85.2,85.2,85.2,1950,1.7
"1998-06-08",85.5,85.5,76.8,80.95,80.95,1600,1.26
"1998-06-09",80,85,80,83,84.2,1500,1.24
