"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2001-03-21",151,155,151,155,154.45,4000,6.17
"2001-03-22",155,157.5,155,157,157,1626,2.53
"2001-03-23",153,154.5,150,152.65,150.9,2026,3.1
"2001-03-26",153.9,153.9,153,153.9,153.9,1210,1.86
"2001-03-27",152.5,155,151,154.5,154.4,3422,5.25
"2001-03-28",155,155,153,153,153,1237,1.91
"2001-03-29",153.5,154.9,152,154.9,154.9,1200,1.84
"2001-03-30",153,154,153,154,153.85,2227,3.42
"2001-04-02",152.5,153,152.5,153,153,1100,1.68
"2001-04-03",150,153.8,150,153.75,153.1,2500,3.83
"2001-04-04",153,153.8,153,153.8,153.8,1050,1.61
"2001-04-06",153,153.5,150,153,152.75,2065,3.14
"2001-04-09",150,151.9,150,150,150,1985,3
"2001-04-10",150.75,151,150,151,150.55,1795,2.71
"2001-04-11",153,153,149,149,149,2245,3.38
"2001-04-12",148,150,144,147,144.75,3564,5.22
"2001-04-16",152,152,143,144.5,144.5,1901,2.8
"2001-04-17",149.9,150,143,143,143.2,2260,3.31
"2001-04-18",150.05,150.05,145,145,145,2250,3.35
"2001-04-19",143,148.15,143,145.5,145.5,2085,3.03
"2001-04-20",148.15,148.15,144.5,144.5,144.5,1530,2.21
"2001-04-23",148,148,146.75,147,147,1230,1.81
"2001-04-24",147.7,147.7,142,144.75,144.75,1580,2.28
"2001-04-25",145,149.8,140,141,141,570,0.82
"2001-04-26",149,149,140.1,146.5,146.5,2031,2.97
"2001-04-27",143,143,140,142.95,142.95,2325,3.3
"2001-04-30",145,145,140.05,140.15,140.15,3740,5.34
"2001-05-02",149,149,146.5,146.5,146.5,2020,2.96
"2001-05-03",149,149,140.5,140.5,140.6,1280,1.86
"2001-05-04",146,146,140,140,140.3,1838,2.66
"2001-05-07",146,146,140,145.5,145.5,2951,4.28
"2001-05-08",149,149,142.05,143.55,143.55,2155,3.1
"2001-05-09",151,151,140,140,140,1652,2.34
"2001-05-10",149,149,142,144,144,1020,1.47
"2001-05-11",146,146,143,143.8,143.8,1015,1.46
"2001-05-14",147,147,140,140.5,140.5,1580,2.26
"2001-05-15",146.8,146.8,140,145.5,145.5,1675,2.37
"2001-05-16",146,146,142,142,142,1506,2.2
"2001-05-17",146,146,140,144,143,1716,2.43
"2001-05-18",145.8,145.8,144.7,144.7,144.7,1510,2.19
"2001-05-21",144.7,144.7,143.5,143.5,143.5,2512,3.6
"2001-05-22",144.7,152.9,144.7,150.9,149.45,3090,4.59
"2001-05-23",154,154,152,153,153,1915,2.93
"2001-05-24",154.9,154.9,150,150,150,1800,2.74
"2001-05-25",155,155,145,145,145,1785,2.68
"2001-05-28",150,150,149.5,150,150,2594,3.88
"2001-05-29",150,153.8,150,150,150,2019,3.03
"2001-05-30",159,159,150,151,151,1805,2.78
"2001-05-31",151,151,145,148,148,1720,2.58
"2001-06-01",151,151,147,147.5,147.5,1560,2.3
"2001-06-04",150,150,146.5,147,147,2090,3.06
"2001-06-05",147,147,145,145,145,2647,3.88
"2001-06-06",150,150,147.65,147.65,147.65,1510,2.23
"2001-06-07",150,150,146.1,146.1,146.1,1530,2.27
"2001-06-08",150,151.5,142,149,149,2155,3.08
"2001-06-11",150,150,149,149.75,149.75,2510,3.75
"2001-06-12",152,152,147,147,147,2030,3.07
"2001-06-13",152,152,148.5,148.5,148.5,1510,2.24
"2001-06-14",152,152,147,150,150,1530,2.29
"2001-06-15",152,152,145,145,145,1680,2.49
"2001-06-18",150,150,145,149.75,149.75,2616,3.89
"2001-06-19",149.75,149.75,145,146,146,2122,3.15
"2001-06-20",150,150,145,149,149,1605,2.38
"2001-06-21",150,150,145,149,149,1698,2.51
"2001-06-22",149,150,147,150,148.2,1720,2.55
"2001-06-25",150,150,148,148.7,148.7,2505,3.72
"2001-06-26",149,149.25,148,149.25,149.25,2005,2.98
"2001-06-27",150,150,145,145,145,1547,2.3
"2001-06-28",150,150,147,147,147,1525,2.27
"2001-06-29",150,150,147,147,147,3032,4.51
"2001-07-02",150,155,149,155,155,1520,2.27
"2001-07-03",152,154.75,145,145,145,1620,2.41
"2001-07-04",154.75,154.75,154.75,154.75,154.75,5,0.01
"2001-07-05",150,150,143,144,145.7,2160,3.12
"2001-07-06",147.5,147.5,147.5,147.5,147.5,5,0.01
"2001-07-09",150,150,148,148.5,148.5,1515,2.25
"2001-07-10",150,150,147.4,147.4,147.4,1517,2.24
"2001-07-11",150,150,144,144,144,1550,2.27
"2001-07-12",150,150,147,148,148,2524,3.74
"2001-07-13",150,150,147,147,147,2024,3
"2001-07-16",150,150,147.5,147.5,147.5,1510,2.23
"2001-07-17",150,150,145,145,145,1509,2.24
"2001-07-18",150,150,146.25,147,147,1511,2.21
"2001-07-19",149,149,140,140,140.2,2038,2.96
"2001-07-20",148,148,144,145,144.25,3191,4.66
"2001-07-24",148,148.5,147,147,147,1515,2.24
"2001-07-25",148,148,144,144,144,1520,2.22
"2001-07-26",148,148,144,144,144,1515,2.22
"2001-07-27",148,148,144.5,144.5,144.5,1510,2.18
"2001-07-30",145,145.75,141,145.75,145.6,1577,2.29
"2001-07-31",147.9,155,147.9,149,148.35,1863,2.77
"2001-08-01",152,152,148,148,148,1510,2.24
"2001-08-02",150,150,143.75,147.9,147.9,2575,3.73
"2001-08-03",150,150,140,145,142.75,2091,3.08
"2001-08-06",150,150,148,148.25,148.25,1510,2.24
"2001-08-07",150,150,148,148.5,148.5,1505,2.23
"2001-08-08",150,150,141,147,147,1512,2.26
"2001-08-09",150,150,146.05,148,148,2605,3.85
"2001-08-10",150,150,140,146,143.25,2345,3.44
"2001-08-13",150,150,145,145.75,145.75,1517,2.2
"2001-08-14",150,150,140,142.5,142.5,1681,2.39
"2001-08-16",150,150,145,145.7,145.7,1575,2.3
"2001-08-17",150,150,142.05,147,144.2,1610,2.38
"2001-08-20",150,150,148,148,148,1505,2.23
"2001-08-21",150,150,141,145.75,145.75,1610,2.34
"2001-08-23",149,149,145.5,146,146,1510,2.2
"2001-08-24",150,150,145,146.5,146.5,1515,2.21
"2001-08-27",150,150,144,145.5,145.45,1547,2.25
"2001-08-28",150,150,140,140,140,1605,2.32
"2001-08-29",145,145,142,143,143,2045,2.95
"2001-08-30",149,149,141.5,142,142,2185,3.16
"2001-08-31",142,148.95,142,146.25,146.25,2550,3.72
"2001-09-03",150,150,144,144.9,144.9,1515,2.2
"2001-09-04",145.9,145.9,145.5,145.75,145.75,1505,2.19
"2001-09-05",148.9,148.9,144.45,144.95,144.95,1515,2.19
"2001-09-06",148.9,148.9,144.9,144.9,144.9,2005,2.91
"2001-09-07",147.8,147.8,144,144,144,20,0.03
"2001-09-10",146.7,146.7,142,142,142,1520,2.21
"2001-09-11",144.9,144.9,142.9,142.9,142.9,1505,2.15
"2001-09-12",144.5,144.5,140,142.75,141.35,1622,2.33
"2001-09-13",147.8,147.8,142,142,142,3605,5.12
"2001-09-14",143,143,140,140,140,3515,4.98
"2001-09-17",144.9,144.9,130,130,130.05,420,0.55
"2001-09-18",140,140,131,132,132,426,0.57
"2001-09-19",140,140,132,134,133.6,2145,2.89
"2001-09-20",140,140,134,139.95,136.2,2160,2.98
"2001-09-21",140,140,132,136,135.1,4576,6.29
"2001-09-24",140,140,137,137.25,137.1,1505,2.06
"2001-09-25",140,140,136,136,136,1530,2.09
"2001-09-26",140,140,136,136,136,1515,2.11
"2001-09-27",140,140,136.5,136.5,136.5,2505,3.43
"2001-09-28",140,140,137,137,137,2005,2.75
"2001-10-01",140,140,136.5,136.5,136.5,1505,2.06
"2001-10-03",139,139,136,136,136,1505,2.05
"2001-10-04",140,140,135,135.5,135.5,1617,2.21
"2001-10-05",138.4,138.4,134,134,134,1540,2.1
"2001-10-08",140,140,133.9,133.9,133.9,1515,2.03
"2001-10-09",138,138,130,133.75,133.75,1635,2.19
"2001-10-10",140,140,133,133,133,1535,2.06
"2001-10-11",139,139,130,132,132,2120,2.8
"2001-10-12",139,139,128,128,128,2618,3.45
"2001-10-15",135,135,125,125,125,1580,2.08
"2001-10-16",132,132,128,128.95,128.95,1516,1.95
"2001-10-17",133,134,127,129,129,1511,1.95
"2001-10-18",133,133,130,130,130,2005,2.61
"2001-10-19",133,133,125.25,125.25,125.25,2538,3.36
"2001-10-22",133,133,130,130,130,1510,1.96
"2001-10-23",133,133,129,129,129,1510,1.98
"2001-10-24",133,133,129,129,129,1505,1.95
"2001-10-25",135,135,129,130,130,1530,1.97
"2001-10-29",133,133,129,129,129,1612,2.1
"2001-10-30",135,135,130,130,130,1505,1.96
"2001-10-31",130,130,129,129,129,1505,1.94
"2001-11-01",133,133,127,127,127,2005,2.55
"2001-11-02",130,132.95,128,128,128,2935,3.79
"2001-11-05",136,138.25,117.8,138.25,138.25,6,0.01
"2001-11-06",116.85,116.85,116.85,116.85,116.85,100,0.12
"2001-11-07",133,133,125.1,129,129,1610,2.07
"2001-11-08",131.8,131.8,131.8,131.8,131.8,10,0.01
"2001-11-09",125.1,131,125.1,131,131,20,0.03
"2001-11-12",126,133,126,133,132.85,190,0.24
"2001-11-13",133,133,125.05,127,127,1535,1.95
"2001-11-14",134,134,134,134,134,50,0.07
"2001-11-15",135,135,128,128,128,4515,5.9
"2001-11-19",133,135,133,135,135,1510,2.04
"2001-11-20",136.7,136.7,129,129.85,129.85,1540,2.04
"2001-11-21",135,135,127.2,127.2,127.2,1605,2.11
"2001-11-22",133,133,126,129.9,129.9,2195,2.85
"2001-11-23",134.5,134.5,125,130.9,130.9,2670,3.54
"2001-11-26",133,135,133,135,135,1510,2.04
"2001-11-27",135,135,129.9,129.9,129.9,1510,1.96
"2001-11-28",135,135,132,132,132,1510,1.99
"2001-11-29",135,135,132,132,132,4510,5.95
"2001-12-03",135,135,128,128,128,1531,1.99
"2001-12-04",135,135,127.5,128,128,1523,1.94
"2001-12-05",126.9,126.9,125,125,125,1650,2.09
"2001-12-06",133,133,120,128,127,2413,3.02
"2001-12-07",130,130,125,125,125,2530,3.29
"2001-12-10",130,130,129.5,129.5,129.5,1510,1.96
"2001-12-11",130,130,127.5,129,129,1535,1.96
"2001-12-12",132,133,130,130,130,1516,1.97
"2001-12-13",132.5,132.5,129,129,129,2510,3.24
"2001-12-14",134.9,134.9,130,130,130,2021,2.67
"2001-12-18",134.9,134.9,129.5,130,130,1520,1.97
"2001-12-19",132,132,120,120,120.95,200,0.24
"2001-12-20",130,130,125,125,125,1535,1.97
"2001-12-21",130,130,115,115,115,3228,3.92
"2001-12-24",123.05,123.05,122,122,122,1510,1.86
"2001-12-26",127,128,127,128,128,1511,1.92
"2001-12-27",128,128,120,125,125,1650,2.07
"2001-12-28",130,130,120,121.15,121.15,1614,2.01
"2001-12-31",125,125,124.5,124.75,124.75,2010,2.5
"2002-01-01",130,130,120,120,120.35,2030,2.52
"2002-01-02",130,130,105.55,117.75,117.6,2090,2.46
"2002-01-03",130,130,110,120,120,2095,2.5
"2002-01-04",128,130,125,126,125.9,2230,2.83
"2002-01-07",130,130,128,128.9,128.9,2060,2.67
"2002-01-08",132,132,122,122,122,2120,2.69
"2002-01-09",130,130,114.7,123.9,123.9,2491,3.08
"2002-01-10",130,130,114,114,115.4,2280,2.83
"2002-01-11",123,123,118,118,118,2170,2.64
"2002-01-14",125,125,122,123.55,123.55,2070,2.55
"2002-01-15",129,129,123,128.9,128.9,2071,2.63
"2002-01-16",130,130,123,126.5,124.4,2055,2.59
"2002-01-17",130,130,120,124.5,124.5,2315,2.89
"2002-01-18",130,130,123,124.75,124.75,2200,2.75
"2002-01-21",130,130,122,127,122.25,2315,2.9
"2002-01-22",128,128,124,125.5,125.5,2050,2.58
"2002-01-23",130,130,122,122,122.15,2100,2.62
"2002-01-24",130,130,123.25,124,124,2120,2.64
"2002-01-25",130,130,124,124.8,124.8,2140,2.67
"2002-01-28",130,130,120,125,124.7,2090,2.6
"2002-01-29",128,128,120,124.75,124.75,2165,2.68
"2002-01-30",128,128,124.4,124.4,124.4,2021,2.51
"2002-01-31",128,128,124.9,124.9,124.9,2015,2.52
"2002-02-01",128,128,120,120,120.05,2326,2.82
"2002-02-04",128,128,120,121.5,120.4,2233,2.74
