"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2000-01-11",1550,1725,1492,1560,1554.45,1192200,18869.15
"2000-01-12",1560,1678.85,1560,1678.85,1678.85,344850,5714.35
"2000-01-13",1790,1813.2,1781,1813.2,1813.2,53000,956.49
"2000-01-14",1958.3,1958.3,1835,1958.3,1958.3,270950,5256.17
"2000-01-17",2115,2115,1801.65,1801.65,1801.65,428800,8535.47
"2000-01-18",1730.55,1815,1657.55,1775,1774.5,359900,6177.28
"2000-01-19",1815,1889,1760,1842.8,1851.15,316050,5824.2
"2000-01-20",1865,1865,1750,1753.5,1757.85,204700,3687.41
"2000-01-21",1761,1815,1705,1786,1781.35,282150,5005.36
"2000-01-24",1834.9,1923.9,1795,1923.9,1923.9,328650,6163.32
"2000-01-25",1990,2077.85,1990,2077.85,2077.85,313500,6476.01
"2000-01-27",2239.9,2239.9,1965,2078,2080.6,352400,7407.15
"2000-01-28",2100,2245,2020.2,2190,2196.95,360800,7840.2
"2000-01-31",2111,2200,2021.2,2021.2,2030.4,217650,4534.62
"2000-02-01",1981.2,2180,1981.2,2160,2162.25,261000,5508.83
"2000-02-02",2260,2260,2010,2035,2024.25,326550,6811.54
"2000-02-03",2075,2075,1915.2,1965,1956.5,175800,3497.82
"2000-02-04",1993,2064,1965,1977,1986.6,176500,3544.56
"2000-02-07",1985,2119.95,1960.05,2036,2062.95,277850,5691.79
"2000-02-08",2049.4,2060,1970,2014,1999.2,199100,4016.03
"2000-02-09",2100,2100,1975,1991,1999,180500,3630.76
"2000-02-10",1976.65,2014.8,1965,1990,1996.75,76850,1531.13
"2000-02-11",1998,2156.5,1992,2156.5,2156.5,166150,3506.78
"2000-02-14",2199,2329.05,2199,2329.05,2324.7,265150,6080.62
"2000-02-15",2350,2510.7,2210,2500,2508.4,224500,5444.59
"2000-02-16",2560,2560,2307.75,2418,2423.1,260850,6290.34
"2000-02-17",2445,2616.95,2380,2616.95,2614.7,276550,6987.61
"2000-02-18",2800,2823.9,2760.5,2771,2775.95,173400,4868.03
"2000-02-21",2823,2998,2725,2805,2819.15,151800,4377.83
"2000-02-22",2800,2875,2652,2710,2700.3,88250,2446.98
"2000-02-23",2825,2870,2484.3,2499,2548.8,71250,1921.35
"2000-02-24",2570,2650,2445,2455,2464.1,67350,1710.61
"2000-02-25",2498,2540,2280,2325,2317.3,72050,1726.2
"2000-02-28",2200,2300,2132,2261,2262.75,67550,1486.98
"2000-02-29",2325,2350,2081.75,2081.75,2081.75,85100,1877.75
"2000-03-01",2000,2248.3,1915.25,2248.3,2248.3,217400,4563.42
"2000-03-02",2399,2428.2,2350,2428.2,2428.2,73000,1763.83
"2000-03-03",2618.9,2622.5,2350,2402,2443.6,144050,3541.14
"2000-03-06",2500,2500,2248.15,2262,2249.75,50200,1168.72
"2000-03-07",2225,2269,2069.8,2069.8,2069.8,74050,1550.21
"2000-03-08",2000,2150,1940,1960,1975.4,123150,2469.72
"2000-03-09",1952,2085,1817.4,1870,1911.55,141050,2725.9
"2000-03-10",1902,1949.9,1770,1818,1798.9,70000,1296.21
"2000-03-13",1839,1915,1655,1655,1655,95250,1632.3
"2000-03-14",1650,1725,1522.6,1700,1667.75,122700,1938.13
"2000-03-15",1750,1801.2,1578.05,1801.2,1801.2,38000,638.66
"2000-03-16",1945,1945.3,1945,1945.3,1945.3,7750,150.76
"2000-03-21",2089,2100.95,2000,2100.95,2100.95,67200,1394.55
"2000-03-22",2269.05,2269.05,2269.05,2269.05,2269.05,6900,156.56
"2000-03-23",2399,2450,2090,2180,2148.35,74050,1627.41
"2000-03-24",2055,2185,2031,2130,2123.35,113100,2397.04
"2000-03-27",2140,2205,1995,2110,2102.6,87200,1817.18
"2000-03-28",2082,2092,2000,2000,2004.5,52250,1048.01
"2000-03-29",2050,2098,2000,2022,2023.15,79100,1602.84
"2000-03-30",1950,1970,1861.3,1870,1865.15,41750,790.22
"2000-03-31",1802,1803,1715.95,1733.5,1722.05,88200,1517.53
"2000-04-03",1799,1800,1584.3,1584.3,1584.3,74100,1195.84
"2000-04-04",1457.6,1457.6,1457.6,1457.6,1457.6,17000,247.79
"2000-04-05",1341,1544,1341,1477,1495.15,119800,1703.86
"2000-04-06",1545,1614.8,1400,1614.8,1598.5,105800,1569.41
"2000-04-07",1698,1726.4,1698,1726.4,1726.4,19300,333.18
"2000-04-10",1855,1864.55,1855,1864.55,1864.55,22900,426.97
"2000-04-11",1864.55,2013.75,1720,1927,1893.8,227450,4265.13
"2000-04-12",1874,1944,1742.3,1742.3,1755.4,90000,1698.02
"2000-04-13",1617.2,1669,1615,1615,1615,49150,798.75
"2000-04-17",1485.8,1485.8,1485.8,1485.8,1485.8,850,12.63
"2000-04-18",1485.8,1550,1366.95,1385,1377.55,169850,2366.9
"2000-04-19",1449,1485,1267.35,1267.35,1267.95,119350,1611.69
"2000-04-20",1249,1369.4,1166.55,1369.4,1346.75,232650,2936.22
"2000-04-24",1400,1454.5,1400,1454.5,1454.5,40950,592.63
"2000-04-25",1340,1570.9,1338.15,1570.9,1536.45,217300,3049.49
