"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2002-06-14",85,86.9,79.6,79.6,80.55,17787,14.69
"2002-06-17",82.95,82.95,76,77.5,76.9,39586,30.76
"2002-06-18",78,79.5,73.6,75.5,74.5,50374,38.35
"2002-06-19",76,76.5,71.05,71.05,72,30878,22.35
"2002-06-20",75,75,70.05,70.85,71.1,32962,23.48
"2002-06-21",71,72.5,68.05,68.05,68.35,19680,13.78
"2002-06-24",68.4,69.45,66.15,68.55,68.2,15622,10.67
"2002-06-25",68.55,69.25,65,65,65.25,21290,14.17
"2002-06-26",63.6,73,63.6,69.4,69.6,94111,65.64
"2002-06-27",70,71.5,67.1,68.9,68.1,52676,36.9
"2002-06-28",69.1,69.95,66.1,66.4,66.35,24289,16.39
"2002-07-01",67.8,68.9,66.65,67.5,67.3,19567,13.24
"2002-07-02",66.2,66.85,64.5,65.9,65.15,20665,13.58
"2002-07-03",65.1,68,65.1,67.05,67.6,40906,27.38
"2002-07-04",68,70.5,66.1,66.1,66.8,50942,34.88
"2002-07-05",67.95,67.95,65.3,65.65,65.65,16297,10.75
"2002-07-08",66.5,68.9,66.5,67.5,67.5,40579,27.52
"2002-07-09",67.25,68,66.45,66.95,66.75,15938,10.69
"2002-07-10",66,67.3,64.5,64.5,64.65,14406,9.4
"2002-07-11",64,64.35,60.6,61,61.15,20381,12.67
"2002-07-12",62,62.95,60,60.8,60.45,20299,12.38
"2002-07-15",60,62.45,57.1,57.1,57.35,11667,6.81
"2002-07-16",56.15,57.8,55,56,55.7,15808,8.9
"2002-07-17",55,55.9,53.05,53.55,53.7,13656,7.42
"2002-07-18",43.55,56.5,43.55,55.1,55.2,13652,7.57
"2002-07-19",55.3,55.3,53.05,53.7,53.7,13912,7.52
"2002-07-22",51,52.7,50.15,50.4,50.6,14748,7.53
"2002-07-23",50.5,54,49.55,53.5,53.4,19061,9.92
"2002-07-24",52.9,53.25,51.55,52.1,52.25,25047,13.13
"2002-07-25",54.1,56,51.25,51.25,52.4,14944,7.92
"2002-07-26",50.8,51.3,47.1,47.1,47.7,23081,11.3
"2002-07-29",53.95,53.95,44,45.4,45.25,20257,9.24
"2002-07-30",49.95,49.95,40.15,42.05,43.65,27701,12.63
"2002-07-31",42.1,42.4,40.5,41.15,41.2,35826,14.86
"2002-08-01",42,43.15,41.15,41.9,41.75,16906,7.1
"2002-08-02",39,42,38.65,41.95,41.5,12084,4.95
"2002-08-05",42.35,44,40,42.85,42.7,38320,16.25
"2002-08-06",42.85,43.5,41.7,43.5,42.75,13027,5.5
"2002-08-07",43.9,45.25,43.4,43.8,44.15,37401,16.51
"2002-08-08",44.2,47.2,44.1,44.1,44.45,35687,16.24
"2002-08-09",45.9,45.9,42.5,43.35,43.75,12685,5.55
"2002-08-12",44,45,44,44.1,44.25,7611,3.4
"2002-08-13",44,44.75,44,44.2,44.15,3266,1.44
"2002-08-14",43.8,44.35,42.75,42.85,43.1,11014,4.75
"2002-08-16",44.75,45.5,44,45.4,44.95,21386,9.62
"2002-08-19",46,48.25,46,46.85,46.65,39572,18.57
"2002-08-20",48.25,52.1,47.5,50.75,51.2,79139,39.37
"2002-08-21",51,55,51,54,53.5,127491,68.57
"2002-08-22",54.5,54.9,52.55,53,52.85,30677,16.4
"2002-08-23",53.5,54,51.55,51.65,52,41111,21.74
"2002-08-26",52,62.4,51.5,62.4,59.65,155326,90.87
"2002-08-27",63,65,59.1,59.55,59.55,577757,360.28
"2002-08-28",59,59,56.55,57.4,57.25,131828,76.16
"2002-08-29",56.5,57.85,56.25,57,56.75,48308,27.47
"2002-08-30",57,63.4,56.5,63,62.45,222888,136.04
"2002-09-02",63.9,69.2,62.75,66.7,66.4,449128,297.14
"2002-09-03",66.9,68.25,64.15,64.25,64.55,199617,131.94
"2002-09-04",63.9,77.5,62.05,76.75,77,1509986,1106.47
"2002-09-05",76.65,81.75,75.4,76.3,77.25,2435880,1924.05
"2002-09-06",75,78.6,73.2,76,74.85,1558345,1186.93
"2002-09-09",77.25,80.3,73.85,75.75,76.45,1508034,1174.87
"2002-09-11",79,91.75,78.05,91.75,91.65,3415585,2994.36
"2002-09-12",92,107.75,90.25,100.2,101.95,12107144,12253.96
"2002-09-13",97,102.7,95.65,99.9,99,8705830,8554.47
"2002-09-16",100.15,106.2,97.55,98.3,99.95,7601733,7845.61
"2002-09-17",102.1,103.75,98.1,101.45,100.1,6124843,6163.51
"2002-09-18",99.8,102.15,95.5,96.75,96.65,4271106,4218.12
"2002-09-19",98.9,98.9,79.85,85,83.75,11955161,10239.48
"2002-09-20",82,90,77.55,89.8,88.45,14603748,12560.14
"2002-09-23",89.4,93.8,86.85,89.9,90.7,10280903,9292.08
"2002-09-24",91,91,84.1,84.5,85.65,5239190,4524.15
"2002-09-25",82.8,87.8,81.55,87.75,86.4,5953595,5087.62
"2002-09-26",85,90.3,85,88.8,88.95,4138893,3680.17
"2002-09-27",90,92.5,89.35,91,91,4212398,3840.84
"2002-09-30",89.7,89.85,84.3,84.3,86.35,2823895,2487.38
"2002-10-01",84.6,87.9,81.65,87.6,86.7,5767233,4922.11
"2002-10-03",87.75,88.7,85.1,86.6,86.15,3782565,3285.06
"2002-10-04",86.7,87.7,85.3,87.3,87,2402541,2079.46
"2002-10-07",88.3,93.05,87.1,92.5,92.05,4342280,3961.57
"2002-10-08",92.1,97.75,90.7,96.65,96.45,5885529,5629.19
"2002-10-09",97.5,99.2,91.05,91.25,92.1,5040610,4818.04
"2002-10-10",91.1,95.3,88.35,95,93.85,5690782,5239.57
"2002-10-11",96.2,98.4,95.2,96.75,97,3420353,3308.28
"2002-10-14",98.8,99,93.2,93.4,94.8,2808723,2700.81
"2002-10-16",96.45,96.8,91.1,92.05,92.2,2255990,2132.03
"2002-10-17",92.2,94.6,88.4,93.6,93.45,4437953,4097.61
"2002-10-18",95.6,95.8,89.9,91.75,91.05,3553609,3310.72
"2002-10-21",92.4,92.45,89.35,90.25,90.1,2282129,2068.66
"2002-10-22",91,91.35,87.35,87.7,88,2108559,1873.61
"2002-10-23",87.8,92.15,86.5,90.1,89.35,3863474,3463
"2002-10-24",90.25,91.4,87.1,87.3,88.35,2472953,2217.73
"2002-10-25",86.9,87.45,84.6,85.45,85.8,1740323,1495.45
"2002-10-28",86,86.1,81.35,82.25,82.35,1308396,1090.99
"2002-10-29",82.5,85.8,78.8,85.5,84.6,2225120,1832.9
"2002-10-30",85.1,86.45,83.3,84.2,84.15,1463191,1240
"2002-10-31",84.8,84.9,83.05,84.25,83.95,812021,682.42
"2002-11-01",83.85,84.45,81.25,81.85,82.05,727787,603.5
"2002-11-04",83.2,84.6,82.5,83.5,83.05,226045,187.77
"2002-11-05",83.9,83.9,80.65,80.65,81.35,411884,337.1
"2002-11-07",81,84.35,80.55,81.85,81.8,867794,717.45
"2002-11-08",81.7,81.7,79.6,80,80.25,652628,525.27
"2002-11-11",80.4,82.25,79.5,80,80.3,964525,781.66
"2002-11-12",80,80.4,78.6,79.3,79.45,610003,485.5
"2002-11-13",80.2,81.5,79.15,79.5,79.7,794243,638.29
"2002-11-14",79.9,83,79.7,82.6,82.25,1384106,1131.04
"2002-11-15",83.6,86.6,83.6,86.4,85.65,1542818,1315.55
"2002-11-18",87.7,88.75,85.5,88.5,87.3,1402352,1222.89
"2002-11-20",88.3,94.9,87,94.9,93.05,2338536,2122.72
"2002-11-21",95.1,103.65,95.1,103.5,102.6,4626830,4654.21
"2002-11-22",105.55,108,98,99.25,99.45,3612885,3727.35
"2002-11-25",100.35,103.95,97.9,103.6,102.15,3364410,3400.34
"2002-11-26",103.9,106,102.7,103.15,103.65,2785375,2902.08
"2002-11-27",102,103.9,99.75,101.9,100.7,1641255,1668.84
"2002-11-28",103.25,111.5,102.6,111.5,109.6,4092807,4374.05
"2002-11-29",111.05,115,109.6,114.05,113.9,4971180,5584.62
"2002-12-02",113.05,118.4,112.5,116,116.95,3167276,3669.07
"2002-12-03",114.9,115.8,106.5,106.5,108.9,2911624,3268.14
"2002-12-04",106.1,109.4,104.55,105.9,105.95,2407586,2577.98
"2002-12-05",105.15,116.8,105.15,115.65,114.65,3370189,3778.75
"2002-12-06",116.9,119.5,115.7,116.6,117.7,2863666,3379.22
"2002-12-09",118.85,121.85,108.6,109,110.6,2320291,2718.33
"2002-12-10",110,115.7,108.1,115,114.7,2763526,3101.92
"2002-12-11",116.7,117.45,110.05,111,112.4,2425868,2768.39
"2002-12-12",112.5,114,110.25,110.9,110.95,1722681,1934.92
"2002-12-13",111.5,113.15,109.5,112.65,111.4,1397265,1559.88
"2002-12-16",113.7,114.9,107.1,107.5,108.1,1985390,2197.33
"2002-12-17",109.5,110.2,105.4,105.65,106,1816354,1952.26
"2002-12-18",106,109,105,107.8,107.15,1709510,1836.89
"2002-12-19",106,115.7,106,114.8,113,2818902,3098.5
"2002-12-20",114.15,117.9,111.4,116.85,117,3516009,4038.3
"2002-12-23",117.5,118,112.45,113.15,113.3,2429197,2779.96
"2002-12-24",113.7,117.2,112.55,116,116.4,2266911,2604.71
"2002-12-26",116.1,122.7,116,118.55,119.35,4166126,5006.37
"2002-12-27",122,122,115.4,116.2,116.05,2049862,2419.67
"2002-12-30",115.2,117.25,112.75,116.75,116.4,1878759,2158.15
"2002-12-31",115.8,119.6,115.8,117.25,116.95,2412659,2843.62
"2003-01-01",118,119,116.25,119,118,1343160,1580.7
"2003-01-02",119,124.4,118.25,120.4,120.9,5543384,6770.81
"2003-01-03",122.15,124.4,119.5,120.6,120.55,2794765,3415.32
"2003-01-06",121.25,121.25,117.15,117.8,117.95,1621400,1930.03
"2003-01-07",119.2,136.8,118.4,135.5,130.05,8922169,11215.92
"2003-01-08",134.05,143.2,132.5,140.75,141.35,8043449,11016.93
"2003-01-09",140.1,154.35,137.6,144,149.45,12795538,18647.07
"2003-01-10",149.7,149.7,136.85,138.9,138.55,9229999,13205.69
"2003-01-13",138,147.7,136.6,143.6,144.45,6975869,9961.04
"2003-01-14",144,159.3,143.05,156.8,155.4,11501554,17734.63
"2003-01-15",157,161.45,151.8,156.5,155.15,8665262,13541.21
"2003-01-16",156,161.95,153.35,159.55,160,7477493,11790.99
"2003-01-17",157.9,161.75,155.3,156.9,156.8,7075440,11220.7
"2003-01-20",156,156.35,147.65,148.3,149.6,4788370,7307.43
"2003-01-21",150,151.65,127,132,129.75,10343086,14182.96
"2003-01-22",132,139.35,126.65,134,132.2,11762343,15643.25
"2003-01-23",134,134.65,127.25,132,130.8,9713902,12711.94
"2003-01-24",132,134.6,120.3,122.8,122.8,9296648,11806.07
"2003-01-27",119.9,121,109.3,112.2,111.5,6401014,7302.06
"2003-01-28",111.45,131.8,111.45,130.25,129.55,15003156,18235.4
"2003-01-29",128.8,132.75,122.55,123.1,124.6,11137419,14226.6
"2003-01-30",127.1,134.6,124.45,131,131.05,9496640,12338.82
"2003-01-31",128.3,138.7,126.5,134.5,135.2,10537386,14118.65
"2003-02-03",137.7,145.25,135.1,143.45,144,7096385,10079.85
"2003-02-04",145,149.1,139.3,141.1,140.85,9063001,13018.06
"2003-02-05",140.4,140.4,132.55,137.4,136.1,7525206,10201.91
"2003-02-06",136,143.45,135.8,142.95,142.35,8530477,11947.47
"2003-02-07",143.7,143.7,137.5,137.8,138.45,7077831,9949.59
"2003-02-10",138,138.1,125.05,125.8,127.3,9687580,12752.04
"2003-02-11",128.5,132.3,125.6,128.8,126.9,10706172,13818.38
"2003-02-12",128.8,129.75,125.2,127.4,128.05,8225488,10506.86
"2003-02-14",128.4,128.4,120.3,123.5,122,9086919,11154.85
"2003-02-17",127.9,134,127.2,133.75,132.95,8327048,10929.54
"2003-02-18",137,138.7,130.5,131,131.65,9931467,13311.17
"2003-02-19",135.9,135.9,130.55,131.45,131.2,6320735,8364.08
"2003-02-20",131.45,133.2,125.2,132.95,132.05,8014380,10319.36
"2003-02-21",132,134.45,128.25,130.6,130.5,10149785,13325.58
"2003-02-24",132,133.4,129.65,129.85,130.15,6814960,8941.11
"2003-02-25",129.45,129.45,124.5,125.4,125.3,4836014,6115.54
"2003-02-26",127,128.5,123.5,124.5,124,5250383,6624.29
"2003-02-27",123.4,127.5,122,127.5,125.5,5485435,6875.18
"2003-02-28",128,133.8,126,132.85,132.95,7021464,9138.58
"2003-03-03",134.5,136.4,129.75,129.85,131.1,6798282,9101.35
