"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-08-27",144,149.4,143.55,149.4,148.6,3153223,4643.55
"2007-08-28",148.6,154.4,148.05,153,153.35,3549254,5413.07
"2007-08-29",151,157,150,156.55,156.45,3535895,5464.56
"2007-08-30",158,160,154.25,158.6,159.2,3553929,5602.28
"2007-08-31",159.5,159.9,156.55,157.85,157.9,2724570,4302.31
"2007-09-03",159.15,161.35,156.6,160.05,160.55,1455235,2324.55
"2007-09-04",159.2,160.55,156.6,156.6,157,759025,1198.64
"2007-09-05",158,158.35,153.8,156,156.85,2575822,4025.35
"2007-09-06",155,156.85,153.5,154.9,155.05,2372400,3665.79
"2007-09-07",155,160.8,155,156.65,156.8,1914419,3030.7
"2007-09-10",155.8,156.75,154,154.3,154.3,1418833,2192.58
"2007-09-11",155.7,158.55,153.6,156.4,157.05,3454595,5377.85
"2007-09-12",156.4,158.75,155,155.05,155.3,1867607,2923
"2007-09-13",156,156.4,153.2,154,153.9,1864308,2881.57
"2007-09-14",154.5,157.1,152.3,154.5,154.35,3206113,4970.65
"2007-09-17",155,155.55,153.75,154.05,154.25,683580,1055.01
"2007-09-18",153.1,155.8,153.05,154.4,154.7,1046711,1617
"2007-09-19",155.4,160.8,155.4,159.1,159.65,2717102,4298.61
"2007-09-20",163.45,164.5,159.5,161.75,162.15,2673962,4343.06
"2007-09-21",162,163.35,159.6,160.1,160.65,2303914,3713.09
"2007-09-24",162,164.65,158.1,161.6,163.15,2494068,4043.15
"2007-09-25",162,168.7,161.6,167.9,167.8,5687617,9413.59
"2007-09-26",169,169.7,164.35,165.5,165.25,2167396,3601.3
"2007-09-27",162.4,168.9,162.4,164,164.3,5991582,9912.96
"2007-09-28",166,173.85,164.6,172.15,172.2,4719922,8075.25
"2007-10-01",173,176.4,170.25,171.8,172.3,4924532,8524.77
"2007-10-03",174,180.4,172,178.5,178.75,7071017,12422.62
"2007-10-04",175,180,174,177,177.25,2511316,4448.89
