"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-03-23",408,419,325.6,325.6,325.6,18012635,63407.23
"2007-03-26",319,328.8,294,297,297.2,12865984,39247.26
"2007-03-28",268.35,318.9,242.1,291,293.25,26257544,74837.23
"2007-03-29",297,322.7,295.15,315.5,310.4,10581877,32847.69
"2007-03-30",319.6,323.8,295,296,298.65,7183310,22142.89
"2007-04-02",289,289,266.1,273.8,275.2,5638648,15653.67
"2007-04-03",279,287,270,274,272.1,2960495,8152.85
"2007-04-04",279,281.8,254,256.65,257.7,5163082,13664.4
"2007-04-05",260,277.3,250.25,260.05,261.05,8905584,23585.77
"2007-04-09",269.9,280.85,267.3,275.5,273.7,5173002,14138.18
"2007-04-10",277.25,287.35,272.1,279.3,279.8,9840919,27678.11
"2007-04-11",280.1,310,280.1,295,294.85,10081390,30105.04
"2007-04-12",295,302,286.3,287.5,287.9,6847146,20139.09
"2007-04-13",289.9,301.6,289.9,296.3,294.85,3285166,9697.25
"2007-04-16",298.95,311,298.15,301.95,302.45,3857582,11756.94
"2007-04-17",305,306.8,294.65,296,296.15,3217086,9686.93
"2007-04-18",309,309,283.5,284.5,285.25,2110929,6129.63
"2007-04-19",280,289.25,272.25,288.25,286.3,2194257,6221.65
"2007-04-20",290.95,306.5,290.95,303.85,303.25,4993819,15013.61
"2007-04-23",307,315.75,302.1,302.9,303.55,4664480,14433.99
"2007-04-24",301,331.8,301,325.5,323.15,10431131,33581.96
"2007-04-25",327,360.7,325.15,357.6,355.8,8589646,29660.95
"2007-04-26",360,367.7,331.1,355.25,357.15,9935572,34832.04
"2007-04-27",353.8,358.45,336.65,339,340.8,4831660,16860.75
"2007-04-30",336.9,344.2,332.15,341.6,340.85,3013587,10213.58
"2007-05-03",346.1,351.7,339.55,342,341.85,2284198,7886.51
"2007-05-04",344.35,366.6,339.5,358.8,359.35,6521521,23102.02
"2007-05-07",364.05,379,363.55,364.6,365.55,7634548,28415.64
"2007-05-08",369.7,385,348.15,352,351.4,5677427,20909.82
"2007-05-09",355.5,367,354.5,362.7,360.1,4275592,15355.45
"2007-05-10",369.45,381.95,362.15,365.5,367.35,7153353,26772.28
"2007-05-11",342,369.9,342,368.3,365,2735135,9948.18
"2007-05-14",372,393.95,370.1,392,390.7,5509103,21103.95
"2007-05-15",395.9,399,385.1,387.5,388.7,5485151,21495.1
"2007-05-16",385,394.8,382.1,390.9,392.05,3125296,12178.83
