"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-02-25",194.9,200,168,190,189.65,22521617,41594.6
"2008-02-26",196.55,196.55,182.55,186.5,184.9,5365516,10171.2
"2008-02-27",189.75,210.7,185.3,201.55,203.8,14738869,29583.89
"2008-02-28",203,214,200.7,204,205.25,7811243,16218.13
"2008-02-29",200,206.5,192,192.3,193.55,2006405,3981.45
"2008-03-03",191,203.8,184.2,197,193.65,3412517,6751.69
"2008-03-04",195.05,203.9,189,198.8,196.85,2293406,4522.33
"2008-03-05",197,201.25,195.15,195.7,196.45,1106293,2191.19
"2008-03-07",195,203.9,182,198.15,198.7,1849094,3584.45
"2008-03-10",196.9,198.9,185.25,190.1,191.75,1267839,2445.5
"2008-03-11",190,198.7,189,194.5,194.6,1159618,2259.48
"2008-03-12",196,199.95,192.05,192.1,192.6,612383,1193.56
"2008-03-13",189.6,196.8,185.15,185.55,185.8,525153,997.69
"2008-03-14",190,192,183.5,184.8,184.85,368654,687.66
"2008-03-17",178,185.5,175.2,184,181.05,230166,415.84
"2008-03-18",184.5,184.5,176,179,177.95,120132,215.85
"2008-03-19",182.15,186,180,184.2,183.75,253222,462.36
"2008-03-24",180.1,182,160.5,160.5,165.7,301849,504.81
"2008-03-25",168,177.5,165.5,174.7,172.4,379831,650.42
"2008-03-26",176.4,179.5,164,172.15,172.7,225317,395.31
"2008-03-27",171.2,183.45,168.05,182,179.4,1032760,1811.63
"2008-03-28",182,185,175.1,176.45,177.7,313421,563.64
"2008-03-31",174.5,181.5,162.15,168,169.35,800785,1352.76
"2008-04-01",171.1,174.85,167.55,168.3,167.95,183793,312.42
"2008-04-02",173.5,175,163.1,165.5,166.15,292969,489.57
"2008-04-03",164.05,172,164.05,167.8,167.95,205223,347.17
"2008-04-04",168.5,174.95,166,170.5,170.45,418715,714.78
"2008-04-07",171,179.4,168,178.45,176.85,291944,510.01
"2008-04-08",178,190,173.25,173.95,175.85,536300,965.34
"2008-04-09",174.95,179.7,172.2,176.1,175.9,89990,158.97
"2008-04-10",177,181.3,175,175.3,176.55,174236,311.09
"2008-04-11",178.1,184,175.1,182.05,182.75,288231,521.04
"2008-04-15",180,192.95,177.7,191.55,191.25,366569,689.46
"2008-04-16",193.1,219.5,193.1,208.9,209,2667624,5617.37
"2008-04-17",213,214,200.35,202.45,203.85,890512,1855.21
"2008-04-21",206.45,215,203.1,209.9,209,409318,860.81
"2008-04-22",211.4,217.95,207,211,211.2,654828,1396.93
"2008-04-23",211,215.85,208.25,213.2,210.6,459156,976.58
"2008-04-24",217,217,196.5,203,202.6,880442,1794.64
"2008-04-25",204,205.9,197.8,199.45,200.6,162735,329.49
"2008-04-28",201.9,214.45,195.2,212.2,212.5,872541,1828.95
"2008-04-29",212.05,222,210.1,212.9,212.9,1463722,3186.75
"2008-04-30",214,221.7,212,212.15,213.25,1128671,2455.38
"2008-05-02",215.9,219,214.5,215,215.35,603873,1307.26
"2008-05-05",216,219.9,212.05,212.25,213.05,529050,1147.03
"2008-05-06",213.3,214.95,202.5,211.35,209.9,329077,689.39
"2008-05-07",212.9,218.5,207.55,208.15,208.75,747999,1591.17
"2008-05-08",205.25,213.4,202,211.05,210.85,388227,809.14
"2008-05-09",210.5,210.75,198.35,199.25,201.65,195220,403.38
"2008-05-12",203.15,204.45,192,201.5,200.45,267220,529.93
"2008-05-13",201,211,201,208.35,208.65,672537,1394.19
"2008-05-14",205,210,203.9,204.4,205.45,161636,334.58
"2008-05-15",205.5,209,205,205,206.05,85919,177.42
"2008-05-16",207.05,212.9,206.5,209.8,210.15,360016,757.67
"2008-05-20",209.15,210.95,205.9,208,207.8,106210,221.55
"2008-05-21",203,213.1,203,211.2,211.25,241209,506.41
"2008-05-22",203,211.5,202,202,202.95,421619,868.4
"2008-05-23",203,205.65,196,196.05,196.85,204702,411.5
"2008-05-26",194.9,196.45,181.55,186.8,186.35,318766,598.27
"2008-05-27",189.85,190.9,180.05,181,181.2,169596,315.01
"2008-05-28",182.2,185,176.5,183.5,183.2,260836,475.15
"2008-05-29",185,186.4,175.05,185.95,181.8,211735,387.54
"2008-05-30",182.25,194,175.35,190.5,190.25,350854,645.22
"2008-06-02",185,193.3,180,180.7,181.7,92346,171.8
"2008-06-03",176.5,186.9,175.35,184.5,184.1,144348,262.72
"2008-06-04",182.55,187,178.65,183,182.8,82649,150.99
"2008-06-05",180.3,193.1,180.3,193,187.9,89542,165.5
"2008-06-06",193.05,196.9,183.3,184.45,184.85,109617,207.2
"2008-06-09",175.2,186,175.2,181.75,182.15,106017,191.69
"2008-06-10",179.15,184.6,178.1,180,180.7,43662,79.1
"2008-06-11",182,184,176,176.1,177.15,103465,185.15
"2008-06-12",179.7,182.9,171,180.05,180.75,68875,123.37
"2008-06-13",182.05,182.25,179.05,180.05,180.05,30363,54.7
"2008-06-16",182,188.6,180.5,185,185.45,89688,166.73
"2008-06-17",186,190.5,182,188,188.05,250464,468.3
"2008-06-18",191.9,195,185.1,186,187.1,213768,409.36
"2008-06-19",185,186.95,180.55,181,182.6,37329,68.63
"2008-06-20",183.05,184.5,176.6,180.45,180.6,85677,154.62
"2008-06-23",178,179,169,169.4,171.7,73217,127.77
"2008-06-24",171.7,174.95,161,161.05,163.9,61937,103.47
"2008-06-25",161,167.5,157,166.95,165.35,75463,123.39
"2008-06-26",167,170.9,166.15,168.5,167.7,40498,68.12
"2008-06-27",164,164,148.15,149,150.5,103506,161.45
"2008-06-30",155,163.35,141,145.4,156.6,383411,579.88
"2008-07-01",155,162,132,154,150.15,376056,555.89
"2008-07-02",147.5,157,136.6,150.75,151.2,187832,278.71
"2008-07-03",150,155,142.15,154.35,151.55,175642,259.32
"2008-07-04",150,155,144,150.3,151.75,126328,188.79
"2008-07-07",155,161,153.1,157,155.65,168813,264.92
"2008-07-08",150.2,154,148,150.5,151,48280,73.29
"2008-07-09",156,158.7,152.15,154.2,154.65,76382,118.45
"2008-07-10",156,156.9,152,153,153.35,24310,37.49
"2008-07-11",154.8,155.45,149.05,149.25,150.05,27556,42.04
"2008-07-14",148,153.4,147.3,149,149.6,14568,21.87
"2008-07-15",148,148.35,144,145,145.05,27931,40.59
"2008-07-16",148,148,139,140,139.65,24795,35.33
"2008-07-17",142,146,140.1,143.45,141.75,24018,34.13
"2008-07-18",143.45,146.75,140.05,143.3,143.7,71386,102.87
"2008-07-21",146.5,146.5,141,142.9,141.95,13339,19.09
"2008-07-22",141,150.5,140.75,146,146,34244,50.11
"2008-07-23",150,154.1,147.45,150.5,150.55,90746,137.64
"2008-07-24",153,163,143.15,144.45,144.95,413433,625.76
"2008-07-25",142.15,145.95,140.5,143.55,143.25,63317,91.07
"2008-07-28",146,146.85,141,142,141.95,35539,50.97
"2008-07-29",141,144.95,138.6,139.5,139.25,95707,136
"2008-07-30",142,143.8,140.3,141,141.3,44307,62.71
