"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2005-03-14",1155,1338.9,1155,1299.95,1304.2,12791631,160818.62
"2005-03-15",1310,1311.7,1280,1290.95,1293.35,3701537,47950.76
"2005-03-16",1295,1300.95,1275.55,1279,1282.6,958818,12398.02
"2005-03-17",1280,1280,1246.65,1248.05,1251.5,839750,10620.88
"2005-03-18",1248,1251.5,1219.15,1235.9,1229.4,1389118,17130.82
"2005-03-21",1240,1263.5,1213.1,1224,1222.5,1168916,14501.55
"2005-03-22",1220,1232.95,1185.5,1203,1194.3,884667,10694.38
"2005-03-23",1200.1,1215,1176.6,1200.15,1193.55,1036120,12327.3
"2005-03-24",1195,1215,1195,1209,1207.25,382099,4608.04
"2005-03-28",1212,1226,1190,1200,1209.6,283047,3438.73
"2005-03-29",1200,1209.8,1170,1185,1185.6,495640,5912.35
"2005-03-30",1185,1235,1174,1230,1210.45,382540,4576.67
"2005-03-31",1221.15,1235,1201.2,1208,1211.55,446037,5447.99
"2005-04-01",1211.65,1274.9,1202,1262,1264.3,454939,5639.62
"2005-04-04",1248,1288,1245,1248,1258.9,906485,11500.57
"2005-04-05",1246,1262.95,1220.25,1230,1227.4,241783,2998.03
"2005-04-06",1227,1240,1222.2,1230,1230.6,162751,2005.21
"2005-04-07",1230.6,1259,1230.6,1253,1253.9,388696,4850.94
"2005-04-08",1250.1,1259,1237,1245,1252.75,226075,2823.71
"2005-04-11",1259,1291,1242,1260,1254.7,214015,2685.74
"2005-04-12",1260,1274,1245.05,1270,1265,405058,5098.6
"2005-04-13",1266.9,1280,1254.15,1273.15,1267.55,173628,2192.33
"2005-04-15",1268,1268,1235.55,1240,1246.45,223648,2786.69
"2005-04-18",1246.45,1259,1204.95,1255,1252.8,118649,1479.34
"2005-04-19",1255,1270,1252.25,1254,1262.6,214946,2715.01
"2005-04-20",1254.05,1264,1237.85,1260,1259.1,185130,2316.61
"2005-04-21",1260,1294,1159,1283,1287.8,290295,3701.64
"2005-04-22",1290.05,1330,1284.9,1311,1320.7,502590,6599.9
"2005-04-25",1285,1348,1285,1345,1338.05,288929,3839.01
"2005-04-26",1330,1382.75,1330,1372,1375.1,552837,7502
"2005-04-27",1370,1370,1316.3,1319,1323.95,269799,3625.27
"2005-04-28",1323,1334.6,1291.35,1310,1303.1,266275,3505.45
"2005-04-29",1309,1332.8,1305.5,1329.8,1323.95,242009,3182.87
"2005-05-02",1301,1341,1301,1338,1339.2,162346,2167.74
"2005-05-03",1338.9,1341,1321.3,1340,1339.7,162154,2167.62
"2005-05-04",1332,1343.6,1324,1328,1334.6,104329,1396.47
"2005-05-05",1335,1349,1288.2,1313,1297.95,204891,2702.23
"2005-05-06",1305,1340,1297,1340,1337.05,182725,2413.25
"2005-05-09",1336,1337,1316,1316,1326.95,87544,1163.69
"2005-05-10",1328.9,1340,1305.55,1311,1310.5,101339,1337.73
"2005-05-11",1305,1310,1287,1293,1294.05,96818,1257.4
"2005-05-12",1300,1310,1291.1,1292,1294.4,93366,1215.57
"2005-05-13",1299,1310,1291,1293,1294.55,98606,1280.84
"2005-05-16",1296,1304.5,1275,1293,1289.8,262461,3386.74
"2005-05-17",1295,1320,1280.3,1292,1290.55,464259,6045.3
"2005-05-18",1295.1,1315,1260,1274.3,1276.4,245625,3142.35
"2005-05-19",1290,1298,1275,1292,1286.55,120825,1551.09
"2005-05-20",1294.8,1325,1280,1315.2,1315.25,170631,2220.46
"2005-05-23",1322,1334,1308,1320,1317.35,156801,2069.81
"2005-05-24",1315,1343.7,1305,1335,1334,237580,3153.04
"2005-05-25",1334,1335,1315.35,1320,1320.35,60920,806.03
"2005-05-26",1310,1325,1306,1306,1311.65,58664,770.84
"2005-05-27",1311,1318,1300,1311,1307.75,96488,1261.72
"2005-05-30",1309.9,1319,1295,1300.85,1300.55,75817,988.94
"2005-05-31",1300,1349.5,1300,1333,1341.5,457913,6104.71
"2005-06-01",1338.9,1360,1327.25,1343,1345.1,225677,3040.84
"2005-06-02",1345.55,1354,1315,1330,1329.05,200269,2669.5
"2005-06-03",1320,1332.5,1308.5,1325,1325.95,262128,3464.28
"2005-06-04",1302,1325,1300,1316,1317,28991,382.47
"2005-06-06",1299,1336.4,1299,1325.5,1329.95,259114,3440.07
"2005-06-07",1325,1334.65,1315.1,1329.95,1329.8,130884,1739.12
"2005-06-08",1317,1334.85,1317,1327,1327.45,64305,854.34
"2005-06-09",1325,1329,1295,1300,1298.95,66690,871.18
"2005-06-10",1314.8,1315,1288.1,1295,1300.1,262230,3405
"2005-06-13",1295.35,1302,1265.2,1295,1297.35,60780,788.27
"2005-06-14",1295,1314.7,1290,1292,1296.95,79246,1030.1
"2005-06-15",1300,1310.7,1285,1300,1295.95,112482,1461.34
"2005-06-16",1292,1310,1282.3,1295,1301.25,181093,2350.89
"2005-06-17",1296.1,1299,1255.35,1294,1280.2,224634,2869.16
"2005-06-20",1270.15,1285,1250,1251.55,1256.35,143825,1808.31
"2005-06-21",1252,1264.5,1228.3,1258,1256.65,256536,3192.84
"2005-06-22",1255.2,1286,1255.1,1273.95,1271.6,156071,1990.43
"2005-06-23",1280,1280,1255,1255.3,1260.1,48595,613.83
