"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-10-04",204,263,204,226.15,230.95,10719622,25563.32
"2007-10-05",231,236,200.1,207.6,208.8,1724545,3832.88
"2007-10-08",210,213.8,178.2,190,187.55,1172107,2247.31
"2007-10-09",165,197.5,165,196.2,192.55,897355,1686.1
"2007-10-10",197.95,209.8,192,208.9,204.85,428369,853.55
"2007-10-11",204,216.6,200.5,213,213.85,196701,412.76
"2007-10-12",209.25,223.2,208.15,208.2,211,270383,583.82
"2007-10-15",211.25,220,211.1,212.5,213.7,83051,178.97
"2007-10-16",214,217,203,207.2,208.6,74928,157.01
"2007-10-17",175.1,200,175.1,194.9,194.9,67595,131.13
"2007-10-18",201.2,232.95,197.65,210,210.6,293376,647.71
"2007-10-19",219.9,245,195,199,199.35,103622,214.41
"2007-10-22",198,215,194.6,206.5,203.25,102567,211.41
"2007-10-23",204,222,204,217.6,217.85,109634,236.92
"2007-10-24",223.7,224,208.55,211.5,211,55686,119.56
"2007-10-25",210.2,219.85,210.2,217,218.2,46250,100.07
"2007-10-26",219,231.5,215,226,225.85,157336,356.26
"2007-10-29",229.5,237,226.25,233.5,231.8,129854,301.49
"2007-10-30",234.5,241,220.15,224,225.25,99064,231.19
"2007-10-31",226,231.85,212,215,214.45,33104,72.93
"2007-11-01",220,220,206.05,206.1,206.9,97820,204.33
"2007-11-02",202.2,218.7,193.95,208,210.35,34511,71.44
"2007-11-05",210,213,202.5,212,206.85,51759,106.71
"2007-11-06",210,210,191.2,199.3,200.75,95018,193.19
"2007-11-07",205,213.8,205,210.5,211,36592,76.07
"2007-11-08",205,210.95,203.1,207,207.85,14774,30.63
"2007-11-09",215,215,207.6,208,210,6184,13.12
"2007-11-12",202.95,213,200,212.75,211.35,38132,79.99
"2007-11-13",215,220.8,212,220,218.25,42952,93.14
"2007-11-14",229,229,219,221.9,220.35,45733,101.82
"2007-11-15",219.9,220.9,216,218,218.55,30549,67
"2007-11-16",220,234,216,231,227.75,98876,225.13
"2007-11-19",232,240,232,233,234.4,85096,201.25
"2007-11-20",233,253.5,230.2,250,251.05,107499,266.49
"2007-11-21",254,254,239,243,243,47888,117.13
"2007-11-22",242,261.7,233,250,252.65,142609,358.98
"2007-11-23",253,258.5,242.3,250,249.45,22017,55.34
"2007-11-26",250,266,250,263,262.4,67626,176.67
"2007-11-27",263.35,264.8,254,263.45,263.2,27456,71.59
"2007-11-28",265,273.8,260.1,265.5,269.1,21375,57.26
"2007-11-29",269.75,276,261,261,262.35,36714,98.27
"2007-11-30",264,277,215.35,270.1,271.45,36865,99.04
"2007-12-03",262.95,279.7,262.95,271.9,269.6,10530,28.47
"2007-12-04",275,315,268,298.1,306.4,80051,236.33
"2007-12-05",306,314.95,294,309,307.15,19804,60.14
"2007-12-06",305.2,368.6,305.2,365.55,367.3,313062,1118.21
"2007-12-07",371,376,344.2,357,361.45,95685,345.19
"2007-12-10",360,374,355,363.1,361.65,63249,228.77
"2007-12-11",364.5,368,345,354,350.4,39501,141.65
"2007-12-12",349.85,349.9,339,339,340.2,6616,22.83
"2007-12-13",342,347,313,320,320.15,24017,78.77
"2007-12-14",310,320,304.2,312,307,121978,376.37
"2007-12-17",314,319,298,299,300.9,4230,13.05
"2007-12-18",287,305,285.9,301,301.35,5021,14.89
"2007-12-19",314,314,286.5,295,293.75,13861,41.34
"2007-12-20",297.4,304.9,293.25,301,299.35,4001,11.96
"2007-12-24",305,307.6,292.5,298,304.3,3575,10.75
"2007-12-26",310,310,294,295,296.1,4128,12.31
"2007-12-27",290,310.95,290,310.95,310.95,7737,23.92
"2007-12-28",318,326.5,312,326.5,326.5,15786,51.39
"2007-12-31",339,342.5,324.8,330,330.25,21811,71.96
"2008-01-01",340,340,325,330,329.65,3655,12.24
"2008-01-02",338,338,313.2,325,325,1810,5.87
"2008-01-03",320,328.8,310,310,310.85,9134,28.79
"2008-01-04",319.75,319.75,295.55,295.55,297.3,8379,25.18
"2008-01-07",297.3,312.2,283,312.2,312.2,6866,20.95
"2008-01-08",320.5,325,301,325,322.7,13181,41.77
"2008-01-09",315,329.9,315,329.9,327.3,1800,5.81
"2008-01-10",325,330,311,320,315.65,30845,98.92
"2008-01-11",320,320,300.05,307,307,13650,41.64
"2008-01-14",312,320,303,320,316.2,53514,165.89
"2008-01-15",320,332,320,323.95,320,5220,16.88
"2008-01-16",311,315,305,315,314.65,11169,34.9
"2008-01-17",310,324,310,312.15,322.65,1553,4.98
"2008-01-18",325,327,312.05,320.15,320.75,27509,88.53
"2008-01-21",305,306,305,305,305,2830,8.63
"2008-01-22",300,300,290,290,290,680,1.99
"2008-01-23",300,304,275.55,290,297.95,1874,5.3
"2008-01-24",297,297,297,297,297,3,0.01
"2008-01-25",300,306.8,282.15,298.75,293.8,2013,5.78
"2008-01-28",279.15,292,279.15,292,291.55,752,2.18
"2008-01-29",277,306.15,277,300,303.35,893,2.65
"2008-01-30",298,298,295,298,298,2277,6.77
"2008-01-31",284,298,284,292,292,2475,7.22
"2008-02-01",306,306,288,288,288,4030,11.61
"2008-02-04",295,295,295,295,295,1500,4.42
"2008-02-05",306.75,306.75,283.05,292,292,963,2.81
"2008-02-06",292,300,292,298,297.8,227,0.67
"2008-02-07",298,301,286,299,299,2886,8.44
"2008-02-08",284.2,300,284.2,300,296.25,1306,3.87
"2008-02-11",282,290,282,282.9,282.9,1190,3.44
"2008-02-12",279.95,281.5,269,269,269,5107,13.74
"2008-02-13",255.55,270,255.55,270,264.05,27040,71.77
"2008-02-14",275,276,255,276,274.4,4536,12.19
"2008-02-15",280,280,277,280,280,5358,14.98
"2008-02-18",270,294,270,294,289.8,152936,420.19
"2008-02-19",280,301,280,285,285,2088,6.17
"2008-02-20",285,285,271,280,274.6,11720,32.45
"2008-02-21",278,280,260.9,275,275.45,24527,65.07
"2008-02-22",265.15,279,263,279,274,280,0.76
"2008-02-25",261.5,280,261.5,280,276.5,2328,6.25
"2008-02-26",274.5,289.5,274.5,283,283,3368,9.66
"2008-02-27",278,294.5,278,294.5,291.4,9398,26.73
"2008-02-28",285,305,281,305,300.8,10480,30.41
"2008-02-29",314.9,315.8,290,310,310.65,15708,48.54
"2008-03-03",307,326.2,300,312,309.1,52695,168.16
"2008-03-04",314,314,293.65,293.65,293.65,8459,24.94
"2008-03-05",294,303,280,299,298.4,16902,49.49
"2008-03-07",293,300,283.55,300,293.3,18420,53.46
"2008-03-10",270,300,264.1,297.95,292.4,7787,21.37
"2008-03-11",275.05,303.85,275.05,295,295,8793,26.15
"2008-03-12",305,305,290,296.5,290.95,5301,15.56
"2008-03-13",280.6,297.95,280,280,280,965,2.71
"2008-03-14",280,299.75,270,299.75,292.1,5109,14.55
"2008-03-17",274,288,266.1,287,284,4836,13.54
"2008-03-18",275.05,290,265,287.5,284.95,96908,275.3
"2008-03-19",298,298,257,285,287.55,106950,305.93
"2008-03-24",275,289,274,288,283.4,36216,103.24
"2008-03-25",290,290,273.3,280,281.4,29269,82.81
"2008-03-26",287.8,287.8,270,279,271.9,72984,204.69
