"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2000-05-10",59.5,61,59.5,61,61,250,0.15
"2000-05-11",60,60,56.15,58.6,58.6,500,0.29
"2000-05-12",58.1,58.1,56.5,56.5,56.6,300,0.17
"2000-05-15",57.5,58,57.5,58,57.75,200,0.12
"2000-05-16",57.9,57.9,54,57.9,54.8,300,0.17
"2000-05-17",57.7,57.7,57.7,57.7,57.7,50,0.03
"2000-05-18",58,62,57.5,61,61,600,0.36
"2000-05-19",59,59,56.2,58,58,550,0.32
"2000-05-22",58,58,54.1,58,56.55,450,0.26
"2000-05-23",56,56,53.5,53.5,53.5,1100,0.6
"2000-05-24",53.25,54.5,53,53.05,53.05,1600,0.85
"2000-05-25",53.95,54.95,53.05,54.05,54.05,750,0.4
"2000-05-26",54.95,56.5,54.95,55.5,55.5,800,0.44
"2000-05-29",52,55,52,53.9,54.35,750,0.4
"2000-05-30",54.1,55,53,53.5,53.3,1850,0.99
"2000-05-31",56,56,54.2,55.95,55.85,1100,0.61
"2000-06-01",54.1,56,54,56,55.95,1250,0.69
"2000-06-02",56,56.2,55.5,56,56,1450,0.81
"2000-06-05",58.9,59,56,57,57,2000,1.13
"2000-06-06",57.75,59,55.55,58.2,58.2,1400,0.81
"2000-06-07",55.15,58.5,55,56.5,56.5,1350,0.76
"2000-06-08",57,58.25,56.55,58,57.25,800,0.46
"2000-06-09",55.6,57.5,55.5,57.5,57.5,1700,0.96
"2000-06-12",58,58,54.25,55,55,2350,1.3
"2000-06-13",54.2,57.9,54.2,56,56,800,0.45
"2000-06-14",57,58.9,57,57.6,57.6,2800,1.62
"2000-06-15",61,62.25,58.25,62.25,62.25,1700,1.05
"2000-06-16",66,66.95,62.75,65.9,65.45,8150,5.29
"2000-06-19",68.9,70.7,66,70.55,70.55,8450,5.83
"2000-06-20",72,76.2,72,74,74.45,10400,7.72
"2000-06-21",78,80.4,77,80.4,80.4,16450,13.04
"2000-06-22",81,82.5,78,80,80.05,15150,12.23
"2000-06-23",79,81,73.65,73.65,73.7,8850,6.78
"2000-06-26",70,73,68.3,68.3,69.55,7050,4.93
"2000-06-27",72,72,68,68.2,68.2,8150,5.59
"2000-06-28",69,69,66.2,67.2,67.2,1350,0.91
"2000-06-29",67.5,69,66,67.5,68.25,2500,1.68
"2000-06-30",67,68.85,65.35,68.85,68.85,2950,1.96
"2000-07-03",68.8,70,63.6,63.65,64.3,4650,3.06
"2000-07-04",63.1,65.8,62.25,64,63.55,1450,0.91
"2000-07-05",66.25,66.25,61.25,62.5,63.75,4300,2.75
"2000-07-06",62.5,62.95,61.5,61.55,61.55,2200,1.36
"2000-07-07",61.05,64,60,61,61,4850,2.98
"2000-07-10",62,62,61,61,61,2450,1.5
"2000-07-11",61.5,61.9,60.75,61,61.15,7000,4.28
"2000-07-12",62.9,63.9,61.6,63.9,63.85,4250,2.68
"2000-07-13",61.3,65,61.3,63.1,63.1,3600,2.31
"2000-07-14",62.45,63.4,62,63.4,63.4,1800,1.13
"2000-07-17",63.5,63.5,60,60,60.3,5650,3.47
"2000-07-18",61,61.85,57.05,58.5,58.8,7200,4.29
"2000-07-19",61.75,63.5,61.75,63,63,11450,7.24
