"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2004-06-23",500,745,150,638,635.95,2699293,16943.72
"2004-06-24",630,630,608.4,612,616,913575,5647.8
"2004-06-25",619,679,616.1,665,668.3,1637383,10781.36
"2004-06-28",660,671.9,640.2,653,656.4,913349,6004.27
"2004-06-29",656,683.4,653,666.85,671.7,743063,5016.49
"2004-06-30",672,700,670,697.85,695.15,722230,4988.18
"2004-07-01",702,765,690.1,764,745.2,1582574,11498.83
"2004-07-02",745,780,724.65,727,730.5,2988945,22507.61
"2004-07-05",728.2,743.5,711.1,714,719.05,1272188,9236.1
"2004-07-06",721.8,738,715.3,727.9,729.6,1081518,7858.22
"2004-07-07",733,739,725.2,726.3,727.7,603840,4426.18
"2004-07-08",730,742,695.7,710,711.95,582272,4242.15
"2004-07-09",695,748,625,744,744.75,564885,4126.8
"2004-07-12",744,752,717.5,720,724.25,344052,2520.84
"2004-07-13",727.7,739.9,720,737.9,731.15,236313,1721.16
"2004-07-14",738,740,712.15,716.75,716.8,268530,1948.07
"2004-07-15",725,732,715,726,724.4,203453,1474.19
"2004-07-16",727.8,763.9,727,754.9,755.95,820709,6176.16
"2004-07-19",758.8,777,748,764,765.15,776088,5943.86
"2004-07-20",762,799,756,791.15,792.8,1624418,12727.16
"2004-07-21",795,806.2,776.15,785,796.3,1116756,8912.05
"2004-07-22",794.8,806.7,775.25,781,784.2,674330,5364.38
"2004-07-23",784,789,765.2,778,775.65,566045,4378.33
"2004-07-26",760,783.7,755,776.3,774.9,678799,5241.47
"2004-07-27",779.95,797,755.2,791.3,790.45,402026,3164.67
"2004-07-28",805,835,770,771,771.7,341758,2668.59
"2004-07-29",775,783.1,772.2,777.5,776.75,289202,2247.64
"2004-07-30",783,789.7,768.85,775,774.7,348355,2720.55
"2004-08-02",781.5,784.9,750.5,760.1,760.05,433862,3321.96
"2004-08-03",764,776,762.5,772.25,768.6,342187,2634.28
"2004-08-04",768,804,766,800.1,798.1,704854,5565.96
"2004-08-05",783,814.5,783,808,810.65,629650,5056.51
"2004-08-06",822.4,822.4,797.25,804,808.2,609738,4920.22
"2004-08-09",800,822,800,807,811,446352,3632.87
"2004-08-10",812,816.9,801.2,802,805.6,195698,1585.96
"2004-08-11",805.95,812,765,775,774.35,280902,2220.69
"2004-08-12",780,795,768.05,774.55,773.15,392416,3071.91
"2004-08-13",782,782.9,761.65,765,766.35,318820,2463.34
"2004-08-16",772.5,782.05,760.1,781.8,779.7,366137,2830.63
"2004-08-17",777,792.4,777,788.05,786.55,188220,1480.26
"2004-08-18",787,787,770,772,772.45,83479,648.84
"2004-08-19",774.9,811,774.9,810.1,809.4,650739,5217.91
"2004-08-20",815,815,792.3,796.8,797.9,292966,2346.43
"2004-08-23",804.9,809.9,787,802.5,801,418188,3339.53
"2004-08-24",804.7,828.9,802,825.2,825.05,774656,6360.36
"2004-08-25",829,839.7,820,831.7,834.6,404841,3358.49
"2004-08-26",845,845,807.25,812,812.95,379057,3107.34
"2004-08-27",816,824.85,812,818.8,817.15,204800,1677.51
"2004-08-30",830,830,815.1,820.15,820.55,151567,1245.9
"2004-08-31",824.4,835,817,834.1,833.15,222351,1838.7
"2004-09-01",821.05,879.5,800,876,874,1104602,9520.96
"2004-09-02",865,898.3,855.1,856.5,860.15,1182700,10388.58
"2004-09-03",858,875.85,850,860,860.6,802113,6923.23
"2004-09-06",867,876,853.3,855,855.15,494799,4270.58
"2004-09-07",864,868,852.2,857.15,856.35,348205,2990.39
"2004-09-08",865.7,865.7,848.9,854.5,853.85,296994,2543.11
"2004-09-09",860,864,845,850.95,848.3,412212,3520.88
"2004-09-10",853.7,853.7,844,849.9,849.6,278116,2359.85
"2004-09-13",850,850,837.1,840.2,840.75,597616,5030.85
"2004-09-14",835,852.7,826.1,846.6,844.4,663387,5543.26
"2004-09-15",850,855,831.35,835.15,839.2,439092,3710.84
"2004-09-16",839,849.5,836,845,846.5,240005,2022.48
"2004-09-17",848.8,867.9,842,852.5,854.05,390731,3353.33
"2004-09-20",856.5,865,855,862,861.1,192360,1655.14
"2004-09-21",867,867,850,858,855.25,187594,1607.78
"2004-09-22",863.9,882,857.15,875,871.65,455208,3969.17
"2004-09-23",865,880,850.15,857,857.9,204766,1779.57
"2004-09-24",870,877.85,862,877,874.55,291144,2533.4
"2004-09-27",884.9,890,870.15,872,874.4,428880,3777.1
"2004-09-28",880,880,849.15,849.15,857.6,234660,2032.75
"2004-09-29",855,865,848.6,852,850.75,221933,1899.29
"2004-09-30",858,863,852,855,855.85,156371,1339.8
"2004-10-01",857,879,857,873.05,875.25,247901,2156.77
"2004-10-04",880,894.85,871.25,874,877.15,231803,2043.16
"2004-10-05",875,881,860.1,865,862.45,164121,1424.15
"2004-10-06",869,874,845,848,847.6,240900,2060.51
"2004-10-07",855,859,841.5,849,848.75,281421,2390.48
"2004-10-08",849.8,853,840,841,842.15,280669,2373.37
"2004-10-09",850,855.5,841,844.5,844.4,84456,716.02
"2004-10-11",854.9,854.9,845,850,847.1,144305,1225.48
"2004-10-12",850,850,835,840.5,836.2,117197,983.42
"2004-10-14",843.9,860,839,850,853.25,226247,1919.93
"2004-10-15",857.8,873.5,838,841.8,841,443349,3804.02
"2004-10-18",847,850,835.25,840,838,179499,1509.12
"2004-10-19",844.8,846.5,836.1,846,842.75,241331,2030.42
"2004-10-20",846.5,846.5,836,842.1,838.45,96848,814.23
"2004-10-21",838,838,816.35,821,820.75,388309,3193.93
"2004-10-25",824.7,836.8,812.5,829.5,830.35,417347,3440.9
"2004-10-26",835,835,795,804,804.3,736027,5930.01
"2004-10-27",809.8,818.45,790.35,791,795.55,245495,1973.23
"2004-10-28",799.75,821.5,798,810,810.35,281507,2281.51
"2004-10-29",817.45,835.5,805,830.5,830.25,213235,1748.84
"2004-11-01",827,836.35,816,834,833.95,161253,1335.5
"2004-11-02",839.85,839.85,816.3,818,820.65,243763,2005.62
"2004-11-03",822,832,821,832,831.2,159689,1324.64
"2004-11-04",831,834.8,822,827,825.05,89865,742.71
"2004-11-05",827,847,825,839,842.2,160724,1346.47
"2004-11-08",843,860,840,852,851.85,242025,2065.39
"2004-11-09",846,858,840.25,858,854.15,237027,2018.99
"2004-11-10",860,860,844.55,851.1,852.25,160185,1364.23
"2004-11-11",856,860,840,858,855.45,213185,1817.17
"2004-11-12",859.9,869,856,857,858.35,53701,461.13
"2004-11-16",859,872.45,854.2,861,858.8,303791,2626.52
"2004-11-17",841.05,867,841.05,852,848.5,162618,1389.19
"2004-11-18",856,865,849,861,861.05,106381,910.56
"2004-11-19",866.85,866.85,844,846.5,848.6,131811,1121.16
"2004-11-22",859.7,859.7,831.35,847.7,846.35,52015,439
"2004-11-23",850,854.95,838.1,853.05,850.7,129543,1097.56
"2004-11-24",854.35,864.3,845.05,863,860.85,154683,1320.71
"2004-11-25",861,878,857,875,875.4,267647,2330.9
"2004-11-29",870,887,854,882,880.75,261303,2288.89
"2004-11-30",886,913.7,871,902,903.9,517005,4641.59
"2004-12-01",900.2,936.9,890.15,918.05,922.5,725464,6649.79
"2004-12-02",920,984,920,945,954.05,1002971,9679.65
"2004-12-03",955.25,1004.9,955.25,998,997.35,1580856,15651.64
"2004-12-06",1000,1009.9,950.05,951,958.2,624145,6066.57
"2004-12-07",979.9,979.9,906.65,915.3,915.35,569509,5320.86
"2004-12-08",920,946,910.3,914.7,913.75,477727,4443.88
