"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2001-09-10",75,84.3,72.5,81.4,80.55,32021,26.09
"2001-09-11",82.25,83.9,77.75,78.45,78.1,17541,14
"2001-09-12",72.35,75,72.35,73.85,73.65,8053,5.91
"2001-09-13",74,75,72.55,73.65,73.95,7840,5.81
"2001-09-14",69.05,70.8,68.85,68.9,68.85,6078,4.21
"2001-09-17",65,65,63.4,63.4,63.4,13596,8.64
"2001-09-18",63.5,68.1,63.5,65.05,65.4,7117,4.69
"2001-09-19",67,69.5,67,69.4,68.5,2294,1.57
"2001-09-20",69.95,70,67,68.4,68.65,2126,1.45
"2001-09-21",64.25,72,64.2,69.75,70.05,5531,3.8
"2001-09-24",72.8,72.8,70.5,71.5,71.15,2911,2.08
"2001-09-25",73,73,69,69.15,69.15,2286,1.61
"2001-09-26",73,73,69,69.5,69.2,2933,2.05
"2001-09-27",70.4,70.75,69.05,70.5,70.05,3179,2.23
"2001-09-28",70.1,70.45,64.4,65,64.7,11342,7.63
"2001-10-01",66.1,68.4,66,68.4,67.45,6878,4.62
"2001-10-03",67,69,67,69,68.6,3547,2.42
"2001-10-04",69.8,69.8,63.35,67.4,65.6,8837,5.79
"2001-10-05",67.9,68,65.4,66.5,66.7,3909,2.61
"2001-10-08",65.9,67,64.05,64.1,64.2,5227,3.4
"2001-10-09",65,65.4,63.85,64.1,64.3,5041,3.25
"2001-10-10",66.15,66.15,63,64,63.75,14385,9.23
"2001-10-11",64.95,64.95,62.6,63,63.15,19843,12.59
"2001-10-12",64,64,61.1,62,61.65,10250,6.42
"2001-10-15",63.75,63.8,62.7,63,62.85,9990,6.32
"2001-10-16",63,64.45,63,64.1,63.95,17282,11.01
"2001-10-17",66,66,64.05,65.1,65.15,11320,7.38
"2001-10-18",65,65.5,64.1,64.1,64.25,9109,5.89
"2001-10-19",67.5,67.5,63.35,63.5,63.5,8837,5.66
"2001-10-22",66.2,67,65.75,66.4,66.25,15958,10.6
"2001-10-23",67,68.4,65.8,66.75,66.4,16742,11.24
"2001-10-24",66.9,69,64.8,66,65.85,17421,11.56
"2001-10-25",66,66.1,64.1,64.25,64.45,5782,3.77
"2001-10-29",66,66.25,64.6,64.65,64.75,43249,28.21
"2001-10-30",64,65.25,63.15,63.5,63.6,44597,28.59
"2001-10-31",65,65,62.6,63,63,29517,18.64
"2001-11-01",64.75,65,63.05,63.05,63.35,37688,23.99
"2001-11-02",64.35,67.85,63.55,65.9,66.1,32662,21.51
"2001-11-05",68.25,71.3,68.25,71.3,71.25,142421,101.31
"2001-11-06",77,77,71.7,77,77,158890,118.77
"2001-11-07",79.8,83.2,79.8,83.2,83.2,40570,33.71
"2001-11-08",87,89.5,80.2,89,87.95,291905,251.95
"2001-11-09",87.5,93,84.45,87.95,87.9,219364,198.04
"2001-11-12",92,94.5,90.05,91.5,91.25,91236,83.68
"2001-11-13",91,91.85,86.7,89.95,89.7,41585,36.97
"2001-11-14",94.8,95.9,88.55,89.5,90,75681,68.49
"2001-11-15",90,90,86.8,87.75,87.75,77998,69.03
"2001-11-19",89,94.35,86.8,94.35,94.35,156901,144.24
"2001-11-20",98.8,101,93,95.6,96.5,159821,154.95
"2001-11-21",94.75,97.3,93.15,93.8,93.45,53993,51.14
"2001-11-22",93,97,92,92.1,92.65,67868,64.37
"2001-11-23",94,95.65,89.1,92.95,93,108927,101
"2001-11-26",97,100.5,95,100.5,100.5,93957,92.72
"2001-11-27",104.9,108.55,102.75,108.55,108.55,160056,171.33
"2001-11-28",109.1,110,101,102.5,101.55,142308,149.38
"2001-11-29",102.5,104.35,98,102,101.65,48169,48.99
"2001-12-03",105,109.55,105,109.55,109.55,103227,112.42
"2001-12-04",110.05,115.5,110.05,114.8,113.7,108309,122.93
"2001-12-05",115.95,120,109.4,116.8,117.65,153978,177.86
"2001-12-06",119.9,120,110.5,111.05,111.55,91695,105.53
"2001-12-07",111,116.85,109,115.1,113.9,70614,80.61
"2001-12-10",120,123.15,118.05,123.15,123.05,121729,148.28
"2001-12-11",129.35,129.35,119,120,120.4,112884,139.42
"2001-12-12",122.9,123.85,116.75,117.35,117.45,43301,51.67
"2001-12-13",117,118,108.65,111,110.9,76668,85.83
"2001-12-14",110,114.9,106,112.9,112.15,69017,77.46
"2001-12-18",113,121,109.05,113.5,113.8,82943,94.17
"2001-12-19",113,116,105.4,105.4,105.65,55793,63.05
"2001-12-20",104.9,105.65,97.25,99,98.75,49791,50.33
"2001-12-21",93,97.95,90.9,90.9,90.9,42779,39.57
"2001-12-24",92,92,83.75,90.4,89.7,70486,61.04
"2001-12-26",90.4,94.3,88.05,88.1,89.15,36682,33.13
"2001-12-27",88.9,90,86,89.95,88.1,15709,13.81
"2001-12-28",90,92,87,91.85,91.45,25228,22.68
"2001-12-31",94.25,97.7,92.1,95.5,95.05,149298,141.08
