"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2005-06-14",257.1,262,255,258.05,259.95,31179,80.9
"2005-06-15",259.8,260,256.1,257,256.8,15957,41.27
"2005-06-16",257.5,257.5,244,244,247.2,7502,18.83
"2005-06-17",247,249.55,240,242.6,240.9,17409,42.41
"2005-06-20",243,247.5,237.15,237.15,238.65,26599,64.05
"2005-06-21",256,256,237,240,239.4,22805,54.61
"2005-06-22",240,242,237.2,239.7,239.5,14470,34.69
"2005-06-23",242,242,238,240,239.45,6621,15.84
"2005-06-24",238.1,241,237.8,238.55,239.5,32111,76.93
"2005-06-27",239,255,239,250.1,250.95,92118,226.45
"2005-06-28",252,258,248,250,251,40313,102.49
"2005-06-29",242.1,262,242.1,250,251.15,18199,46.06
"2005-06-30",257,257,247.6,248.65,250,38167,95.74
"2005-07-01",252,255.95,248.1,253,253.45,52916,132.46
"2005-07-04",254.9,265,252.1,263.1,263.35,24094,62.88
"2005-07-05",264,267.8,260.05,266.95,265.95,24874,65.8
"2005-07-06",268.9,269,260.5,263.5,263.05,9949,26.2
"2005-07-07",261.15,265.45,260,263.8,262.4,10442,27.43
"2005-07-08",265,268.9,261.2,266,267.75,13320,35.44
"2005-07-11",269,271.75,257.75,268.3,270.4,22674,60.64
"2005-07-12",269.5,274,268,271,271.1,15614,42.34
"2005-07-13",271.1,273.1,267.4,267.4,269.1,29286,79.06
"2005-07-14",269.1,269.1,258,258.5,259.55,14481,37.84
"2005-07-15",262,265,256.2,258.6,259.85,11588,30.33
"2005-07-18",262.1,274,262.1,271,270.85,20875,56.23
"2005-07-19",270.2,273.95,265.2,271.95,270.15,17118,46.32
"2005-07-20",270.05,280,270,274.75,276,13896,38.28
"2005-07-21",276,278.9,274,278.5,278.15,14409,39.93
"2005-07-22",282,294,277,281.4,281.05,33166,93.86
"2005-07-25",283,288,278.1,280,280.15,13558,38.22
"2005-07-26",281.55,286,270,271,276.2,20620,57.96
"2005-07-27",271,277.95,270.25,274.95,272.65,5897,16.16
"2005-07-29",278.95,284.9,263.05,263.05,266.25,7161,19.34
"2005-08-01",279.9,284.5,269,284.5,283.3,22590,63.25
"2005-08-02",289.75,301,288,293.5,290.55,38849,114.42
"2005-08-03",300,304.75,290.2,294,293.15,32074,94.16
"2005-08-04",300,300,290,290.1,290.3,7695,22.46
"2005-08-05",287,295.8,285.05,285.6,286.8,5088,14.65
"2005-08-08",285.1,292.95,266.5,272,273.05,16061,44.6
"2005-08-09",271.05,280,268,268,269.65,12131,33.25
"2005-08-10",274.8,278,271.55,276.7,275.7,5164,14.21
"2005-08-11",289,289,275,281.05,282.35,24393,68.22
"2005-08-12",278.05,282.5,274,280,280.3,5762,16.04
"2005-08-16",275.2,287.4,275.2,284.9,283.55,8000,22.47
"2005-08-17",280.1,285.75,279.05,283.25,284.35,42239,119.3
