"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-03-07",627,673.75,576,625,621.2,12594176,79876.9
"2007-03-08",625,641.9,601,636,633.2,3351482,20890.59
"2007-03-09",634,668.8,613.1,649,652.55,2530004,16264.46
"2007-03-12",651.3,783.1,645.3,783.1,780.8,8108044,59355.89
"2007-03-13",799,914,799,870,879.05,9615361,84870.16
"2007-03-14",830.1,1003.5,802,918.9,947.4,12585144,115441.8
"2007-03-15",919,1023.2,917.25,927,930.15,7493267,72850.05
"2007-03-16",942,980,878.1,883.2,897.3,5957200,54685.74
"2007-03-19",910.15,940,892.1,903,900.65,3380524,30807.54
"2007-03-20",913.5,932,885.55,889.1,893.05,2095486,18967.26
"2007-03-21",895.2,906,854,872.75,862.7,2926140,25378.57
"2007-03-22",882,900,867.15,869,873.1,2062713,18211.95
"2007-03-23",878,886,850.3,868.35,862.25,1645212,14251.5
"2007-03-26",866.35,880,847,850.8,854.05,1192264,10330.14
"2007-03-28",843.1,857.4,820,820,830.75,963205,8120.92
"2007-03-29",830.1,843,820,837,825.4,839458,6958.08
"2007-03-30",835,848,825.6,830,830.8,984385,8225.85
"2007-04-02",809.65,827.7,803.65,818.65,811.65,473271,3869.83
"2007-04-03",821,825,786.55,788,793.2,603079,4832.47
"2007-04-04",796,823,777.6,810.2,808.45,1222146,9778.08
"2007-04-05",818,841.7,797,832,832.55,2235296,18410.25
"2007-04-09",838,861.6,821.35,847,851.1,1168170,9938.33
"2007-04-10",850,890,842,867,866.6,1870093,16329.77
"2007-04-11",870,875,796.1,799.95,802,1760984,14598.49
"2007-04-12",793,817,789.9,806,804.75,1214766,9742.64
"2007-04-13",815,838.7,803.55,832.3,831.3,1043822,8624.68
"2007-04-16",837,862,835,838.05,841.1,880538,7475.92
"2007-04-17",842.7,848.4,806.5,815,811.95,467129,3849.49
"2007-04-18",814,824.9,803.3,809.5,808.25,326802,2661.67
"2007-04-19",801.95,815,788.5,815,809.1,277448,2231.74
"2007-04-20",823,829.9,806.7,808,809.85,275952,2257.44
"2007-04-23",816,823,800,805,804,182675,1478.5
"2007-04-24",718,810,718,802,799.4,206110,1653.04
"2007-04-25",801.35,805,774.15,777.1,778.25,260803,2051.66
