"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",18.15,18.2,17.4,NA,NA,NA,NA
"1998-03-23",17.75,18.05,17.6,17.9,17.9,34100,6.11
"1998-03-24",18,18.6,17.9,18.05,18.05,202500,36.73
"1998-03-25",18.4,19.1,18.25,19.05,19.05,124000,23.33
"1998-03-26",19.65,19.8,18.85,18.9,19,178000,34.48
"1998-03-27",19,20.85,18.7,19.9,20.1,341300,67.67
"1998-03-30",20.5,20.8,19.05,19.2,19.2,233900,46.8
"1998-03-31",19.35,19.35,18.8,19.1,18.95,149400,28.41
"1998-04-01",19.75,20.5,19.55,19.95,19.95,153700,30.69
"1998-04-02",20,20.3,19.5,19.55,19.65,98100,19.5
"1998-04-03",20,20.15,19.3,19.65,19.5,78000,15.22
"1998-04-06",19.75,19.95,19.4,19.5,19.5,121700,23.78
"1998-04-07",19.65,20.95,19.45,20.95,20.5,313700,63.12
"1998-04-09",21.25,21.95,21,21.85,21.8,307000,66.13
"1998-04-10",22,22.7,21.35,21.85,22,317400,69.71
"1998-04-13",22.2,22.2,21,21.75,21.5,331500,71.15
"1998-04-15",22.5,23.65,22.45,23.65,23.65,237400,55.28
"1998-04-16",25.9,26,22.65,22.65,22.95,350000,82.64
"1998-04-17",23.45,23.45,21.6,22.8,22.6,176700,39.24
"1998-04-20",22.3,22.7,21.5,21.5,21.55,182000,39.89
"1998-04-21",21.6,21.8,21,21.8,21.45,168100,35.76
"1998-04-22",22.9,23.25,21.2,21.25,21.35,182400,39.78
"1998-04-23",21.25,21.25,20.55,20.6,20.6,102200,21.28
"1998-04-24",20.05,20.75,19.25,19.95,20.05,121700,24.12
"1998-04-27",20,20.5,19.75,20,19.9,71500,14.27
"1998-04-28",19.15,19.75,19.15,19.3,19.35,104600,20.37
"1998-04-29",20,20.2,19.5,19.55,19.65,52000,10.28
"1998-04-30",19.2,19.55,19,19.55,19.45,40600,7.85
"1998-05-04",19.65,19.9,19.3,19.4,19.5,50000,9.8
"1998-05-05",19.6,19.8,19.4,19.55,19.55,75100,14.68
"1998-05-06",19.85,19.85,19.3,19.5,19.45,40600,7.94
"1998-05-08",19.75,19.75,19.1,19.4,19.4,40000,7.72
"1998-05-11",19.2,19.4,19.05,19.2,19.2,32500,6.25
"1998-05-12",19.1,19.1,18,18.5,18.55,91500,16.92
"1998-05-13",18.25,18.55,17.85,18,18.05,49900,9.08
"1998-05-14",18,18.5,17.55,18.25,18.35,68200,12.26
"1998-05-15",18.5,18.5,17.85,18,18,61000,11.04
"1998-05-18",18.25,18.35,17.95,18.05,18.1,36200,6.59
"1998-05-19",18.15,18.4,18,18.3,18.25,67200,12.18
"1998-05-20",18.3,19.55,18.3,19.5,19.35,142500,27.06
"1998-05-21",19.3,20,18.55,18.9,18.85,62000,11.77
"1998-05-22",19.4,19.4,18.4,18.65,18.65,45400,8.45
"1998-05-25",18.6,18.8,18.3,18.3,18.4,35600,6.6
"1998-05-26",18.45,18.5,18,18.05,18,75300,13.63
"1998-05-27",18.85,18.9,18.05,18.25,18.2,63400,11.69
"1998-05-28",18.35,18.55,18.1,18.15,18.2,30800,5.64
"1998-05-29",18.05,18.1,17.6,18,17.95,58000,10.41
"1998-06-01",18.4,19.7,18.4,18.95,18.65,177200,33.82
"1998-06-02",18,18.7,17.7,17.95,17.95,98100,17.79
"1998-06-03",18.4,18.45,17.65,17.8,17.95,42700,7.68
"1998-06-04",17.75,18.25,17.7,17.85,17.85,34800,6.23
"1998-06-05",17.6,17.8,17,17.25,17.2,53500,9.31
"1998-06-08",17.5,17.5,16.5,16.95,16.85,64900,10.84
"1998-06-09",17,17,16.5,16.95,16.7,84700,14.23
"1998-06-10",16.85,17.1,16.5,16.9,17.05,48500,8.22
"1998-06-11",16.75,16.95,16.5,16.7,16.65,42900,7.17
"1998-06-12",16.9,17,16.7,16.85,16.9,29100,4.92
"1998-06-15",16.95,16.95,16.2,16.4,16.5,52000,8.55
"1998-06-16",16.15,16.15,15.1,15.6,15.55,93300,14.67
"1998-06-17",16,17,16,16.85,16.8,59200,9.87
"1998-06-18",17,17.2,16.55,16.75,16.8,35800,6.03
"1998-06-19",16.5,16.5,15.85,16.2,16.05,38200,6.15
"1998-06-22",15.35,15.95,15,15.35,15.25,73600,11.29
"1998-06-23",15.25,15.7,15.1,15.4,15.35,67100,10.31
"1998-06-24",15.7,16.2,15.55,15.9,16,36300,5.76
"1998-06-25",16.4,16.5,16.05,16.25,16.3,58000,9.43
