"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2010-01-08",2555,2575,2475.2,2476,2494.65,648,16.39
"2010-01-11",2401,2515,2400,2500,2498.95,825,20.58
"2010-01-12",2540,2540,2471.35,2505,2502.85,68346,1698.55
"2010-01-13",2502.85,2540,2480,2489.8,2489.35,1032,25.72
"2010-01-14",2535,2595,2470,2560,2568.2,330361,8292.96
"2010-01-15",2580,2580,2500.05,2524.8,2513.5,8229,209.7
"2010-01-18",2574,2574,2514,2542.05,2536.15,883,22.38
"2010-01-19",2567,2570,2531,2550,2556.1,688,17.6
"2010-01-20",2550,2575,2540,2541,2542.5,641,16.36
"2010-01-21",2539.9,2569,2499.9,2512.05,2526.2,831,21.09
"2010-01-22",2500,2530,2478,2530,2529,681,17.14
"2010-01-25",2665.35,2665.35,2510,2520,2522.25,1955,49.44
"2010-01-27",2570,2574.9,2498.6,2535.15,2566.9,5302,135.07
"2010-01-28",2568,2610,2535.5,2575,2586.85,1048,26.94
"2010-01-29",2526,2580,2526,2533,2533,787,20.12
"2010-02-01",2599.95,2599.95,2515.1,2532.2,2532.2,614,15.64
"2010-02-02",2599.1,2599.1,2540,2540,2560.1,831,21.32
"2010-02-03",2588,2600,2556,2560,2564.6,8681,223.94
"2010-02-04",2548,2583.8,2548,2582,2568.35,442,11.35
"2010-02-05",2582,2582,2442,2541,2549.1,1651,41.99
"2010-02-06",2455,2572.9,2455,2572.9,2566.4,33,0.84
"2010-02-08",2570,2672,2570,2671.95,2645.5,8181,216.15
"2010-02-09",2600.1,2824,2600.1,2805,2792.6,8861,243.07
"2010-02-10",2802,3244,2738.6,2740,2750.2,44699,1250.26
"2010-02-11",2819,2819,2726.1,2737,2737.25,31881,881.44
"2010-02-15",2815,2815,2614,2720,2719.25,4504,122.6
"2010-02-16",2792,2814.7,2697.05,2701,2701.85,6120,166.28
"2010-02-17",2705.15,2743,2681.4,2685,2688.75,9981,270.46
"2010-02-18",2688.75,2710,2645,2650,2651.5,2203,58.84
"2010-02-19",2650,2685,2628,2640,2640.15,7495,198.19
"2010-02-22",2625.05,2649,2560,2560,2584.9,14820,384.45
"2010-02-23",2570,2590,2551,2551,2552.2,3070,78.78
"2010-02-24",2550,2590,2540,2567,2574.7,9918,253.04
"2010-02-25",2580,2600,2552.1,2553.1,2559.6,4264,109.25
"2010-02-26",2526.1,2650,2526.1,2620.15,2626.9,4239,110.85
"2010-03-02",2620,2645,2600,2625,2625.45,3343,87.5
"2010-03-03",2630,2640,2604.65,2628,2629.15,2339,61.34
"2010-03-04",2610,2650,2610,2630.5,2634,4796,125.99
"2010-03-05",2670,2719.8,2670,2677,2701.15,14392,388.86
"2010-03-08",2730,2750,2692.25,2750,2725.95,9767,264.86
"2010-03-09",2700,2751,2700,2730.25,2745.2,4212,114.77
"2010-03-10",2721,2765,2721,2721,2739.95,8386,229.54
"2010-03-11",2725,2740,2695,2710,2732.75,27712,757.36
