"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2009-09-01",42,42,36.65,36.8,36.75,508832326,190198.13
"2009-09-02",36.45,37.6,35.75,36.35,36.35,93326373,34304.95
"2009-09-03",36.5,37.2,36,36.1,36.1,56420302,20520.27
"2009-09-04",36.75,36.75,34.3,35.3,35.25,85231353,29980.98
"2009-09-07",35.45,35.75,34.5,34.55,34.6,57610114,20025.39
"2009-09-08",34.7,35.95,34.5,35.3,35.2,56325197,19872.5
"2009-09-09",35.3,35.5,34.5,34.6,34.55,33977137,11823.93
"2009-09-10",34.95,35.05,33.9,33.95,33.95,44808247,15333.76
"2009-09-11",34,34.35,33.2,33.35,33.4,31195662,10496.93
"2009-09-14",33.5,34.4,33.05,33.95,33.8,32593128,11027.6
"2009-09-15",34.1,34.25,33.85,34,33.95,11042637,3758.27
"2009-09-16",34.1,36.45,34,36.2,36.15,79382879,28233.58
"2009-09-17",36.5,36.7,35.5,35.55,35.7,32776776,11767.99
"2009-09-18",35.65,36,34.9,35.4,35.7,25061773,8863.16
"2009-09-22",35.7,35.8,35,35,35.05,15424285,5433.3
"2009-09-23",35.2,35.3,34.6,34.75,34.7,16347922,5709.25
"2009-09-24",34.3,35,33.7,34.7,34.6,16389003,5666.5
"2009-09-25",34.6,35.1,34.3,34.85,34.7,11338529,3948.73
"2009-09-29",34.95,35.15,34.4,34.55,34.6,14113806,4896.46
"2009-09-30",34.45,34.95,34.4,34.5,34.5,9094662,3151.08
"2009-10-01",34.6,34.85,34.3,34.3,34.45,16395692,5663.05
"2009-10-05",34.4,34.5,33.9,34.1,33.95,10544867,3599.41
"2009-10-06",34,34.4,33.15,33.35,33.4,13396479,4483.28
"2009-10-07",33.5,34,33.35,33.4,33.45,9309948,3134.09
"2009-10-08",34.5,34.5,33.25,33.3,33.35,14917606,4984.7
"2009-10-09",33.5,33.6,33,33.05,33.05,10908306,3625.36
"2009-10-12",33,33.4,32.9,32.9,33,11466808,3792
"2009-10-14",33.25,33.4,32.75,32.85,32.8,11077149,3651.83
