"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-03-03",11074.05,11074.05,10601.1,10748,11038.3,1760,194.39
"2008-03-04",11200,11200,10486.4,10486.4,10486.4,628,67.65
"2008-03-05",10199,10395,9962.1,10395,10320.3,553,55.52
"2008-03-07",10500,10500,9804.3,9850,9814.1,751,74.34
"2008-03-10",8851,10197,8851,9900,9970.6,1286,120.66
"2008-03-11",10240,10967.7,10025,10967.7,10967.7,1086,117.74
"2008-03-12",12064.45,12064.5,12064.45,12064.5,12064.5,389,46.93
"2008-03-13",12899.4,12899.4,10858.05,10858.05,10858.05,3524,401.7
"2008-03-14",10900,11943.9,10005,11943.9,11802.25,3246,359.78
"2008-03-17",10890,11349,10622.05,10622.05,10623.95,1414,153.29
"2008-03-18",10999,11200,9990,10010,10328.05,1691,179.59
"2008-03-19",10980,11210,9380,9550,9523.75,1173,119
"2008-03-24",9990,9995,8590,9000,8882.65,1421,128.21
"2008-03-25",8100.1,9600,8100.1,9599,9444.95,1450,134.42
"2008-03-26",9799,9799,9120,9300,9326.75,830,78.15
"2008-03-27",9080,9650,9000,9500,9508.35,763,71.76
"2008-03-28",9520,10459.2,9000,10459.2,10287,930,92.97
"2008-03-31",10459.2,11315.7,10300,10351.05,10364.85,3033,328.35
"2008-04-01",10745,11399,10390,10965,10941.4,2053,219.99
"2008-04-02",11500,11900,10711,10750,10814.7,1094,122.61
"2008-04-03",10805,10805,10200,10400,10354.1,781,81.18
"2008-04-04",10690,11300,10100,10201.05,10188,1899,200.79
"2008-04-07",10590,11206.8,10450,11206.8,11206.8,5010,553.93
"2008-04-08",12090,12327.5,11699,12327.5,12327.5,1903,228.99
"2008-04-09",13560.25,13560.25,13560.25,13560.25,13560.25,1798,243.81
"2008-04-10",1423.85,1423.85,1423.85,1423.85,1423.85,7351,104.67
"2008-04-11",1495.05,1495.05,1495.05,1495.05,1495.05,5136,76.79
"2008-04-15",1569.8,1569.8,1420.3,1420.3,1420.3,67243,991.11
"2008-04-16",1355,1370,1349.3,1349.3,1349.3,30098,406.66
"2008-04-17",1360,1416.8,1295,1309.8,1302.9,60471,825.71
"2008-04-21",1337,1350,1298,1311,1310.65,14594,193.52
"2008-04-22",1315,1315,1248.35,1250,1255.65,13549,172.75
"2008-04-23",1255,1265.7,1199,1202,1211.45,14600,177.65
"2008-04-24",1240,1264,1202,1223,1226.6,8432,103.32
"2008-04-25",1260,1287.95,1190,1287.95,1287.95,16260,203.7
"2008-04-28",1352.35,1352.35,1320,1352.35,1352.35,6816,91.74
"2008-04-29",1420,1420,1325,1332,1346.45,55005,762.68
"2008-04-30",1362,1413.8,1362,1413.8,1413.8,21273,297.2
"2008-05-02",1484.5,1484.5,1484.5,1484.5,1484.5,4058,60.24
"2008-05-05",1558.75,1558.75,1460,1519,1529.3,137895,2117.63
"2008-05-06",1550,1550,1465.1,1480,1476.65,46658,699.77
"2008-05-07",1500,1505,1410.75,1430,1418.9,23606,344.4
"2008-05-08",1414.9,1489.85,1360,1489.85,1489.85,26476,383.56
"2008-05-09",1538.8,1564.35,1430,1440,1441.95,68137,1024.43
"2008-05-12",1440,1514,1385.1,1471.55,1481.75,39226,568.83
"2008-05-13",1508.6,1545,1445,1452,1458.65,32938,490.87
"2008-05-14",1450,1510,1450,1474,1487.4,32846,485.15
"2008-05-15",1490,1500,1441.7,1480,1486.55,28423,419.46
