"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2004-11-05",88,88,70,75.55,75.55,232535736,170036.32
"2004-11-08",76.8,78.6,75,75.15,75.2,68865277,52940.24
"2004-11-09",75.1,76.1,74.55,75.25,75.3,37460886,28202.36
"2004-11-10",75.5,75.95,75,75.05,75.05,17413433,13115.85
"2004-11-11",75.35,75.4,74.3,74.6,74.45,15961426,11930.37
"2004-11-12",75,82.4,73.65,74.55,74.65,4253463,3178.86
"2004-11-16",74.7,74.8,73.2,73.7,73.65,13254394,9770.65
"2004-11-17",73.7,75.2,73.5,73.7,73.6,20036184,14871.97
"2004-11-18",75,79.85,73.5,73.5,73.65,17954359,13249.79
"2004-11-19",73.65,74.85,73.5,73.65,73.55,15895741,11775.35
"2004-11-22",73.6,75.05,72,74.4,74.45,28118069,20764.92
"2004-11-23",75,76.5,74.95,76.1,75.85,29755772,22590.6
"2004-11-24",76.55,78,76.2,77.85,77.8,30821250,23848.43
"2004-11-25",77.9,79,76.8,76.95,77.05,23538442,18348.94
"2004-11-29",77.2,78,76.75,77.5,77.3,14201592,10973.35
"2004-11-30",77.9,79.7,76.85,79.25,79.1,39953911,31425.01
"2004-12-01",79.5,80.5,79,79.65,79.7,33721820,26934.8
"2004-12-02",80.5,81.35,79.95,80.45,80.45,18200351,14693.07
"2004-12-03",80.75,80.9,79.25,79.6,79.6,12751825,10177.4
"2004-12-06",81.6,82.1,79.65,80,79.9,10983285,8823.17
"2004-12-07",80.2,81.75,79.55,80.65,80.45,21482990,17369.31
"2004-12-08",80.7,81.2,79.55,80.05,80,21705590,17459.63
"2004-12-09",79.9,80.35,79.6,80,80,9418563,7535.35
"2004-12-10",81.6,81.6,78.7,78.9,79,9916789,7893.55
"2004-12-13",79.15,80,78.85,79.55,79.6,7050908,5605.57
"2004-12-14",80.1,81.75,79.8,81.65,81.6,16024313,12969.47
"2004-12-15",82,84.5,81.95,83.9,84.1,23958928,19981.98
"2004-12-16",84.5,85,83.5,83.8,83.8,9719163,8164.03
"2004-12-17",84.1,84.2,82.5,83.1,83,8752951,7288.7
"2004-12-20",83,83.95,83,83.2,83.25,6285852,5243.43
"2004-12-21",83.5,84.8,83.45,84.5,84.5,10321921,8699.51
"2004-12-22",84.95,84.95,82.9,82.95,83.15,8455261,7081.21
"2004-12-23",83,84,83,83.3,83.25,5830509,4870.16
"2004-12-24",83.75,84.4,83.3,83.8,83.65,5597965,4694.33
"2004-12-27",83.5,85.5,83,85.25,85.05,10965357,9298.52
