"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",65,65,64.1,NA,NA,NA,NA
"1998-03-23",64.5,65.2,64.3,64.85,64.85,4100,2.65
"1998-03-24",67,67,65,65.5,65.35,126500,83.15
"1998-03-25",66.45,67.05,65.75,66.5,66.85,144200,95.78
"1998-03-26",66.95,67.5,65.2,65.75,65.45,124000,82.26
"1998-03-27",65,69.9,65,69,67.55,292600,194.77
"1998-03-30",69.9,71,66.5,66.7,66.75,92400,62.34
"1998-03-31",66.7,66.7,64,64.5,64.4,82600,53.87
"1998-04-01",66.9,67.15,66,66.25,66.55,77300,51.43
"1998-04-02",66.55,67.25,65.65,66.1,66.1,107600,71.43
"1998-04-03",66.25,66.75,65.5,66.6,66.6,42100,27.87
"1998-04-06",66.05,68.2,65.6,67.5,67.3,125800,84.6
"1998-04-07",67.5,70.4,67.1,67.8,67.7,229200,157.36
"1998-04-09",73,73.75,68.95,72.8,72.55,430500,306.27
"1998-04-10",73.95,75.4,71.05,72.85,72.75,567300,417.96
"1998-04-13",71.5,73.5,68.5,71.95,71.3,535000,384.71
"1998-04-15",78.3,78.45,74.65,78.45,78.45,404500,313.98
"1998-04-16",79.4,80.1,75.25,75.25,75.9,215600,167.24
"1998-04-17",76,76.2,72.5,74,73.9,417800,306.1
"1998-04-20",74.85,74.9,71.55,71.8,72.05,270000,198.73
"1998-04-21",72,73.5,71.75,72.15,72.65,277400,201.46
"1998-04-22",78,78,72.5,72.55,72.85,265600,198.58
"1998-04-23",71.6,72.9,69.95,69.95,70.05,129300,91.5
"1998-04-24",70,70.75,66.05,66.75,67.6,245700,165.98
"1998-04-27",67.9,69.7,67,68.2,67.95,193100,131.79
"1998-04-28",67.9,68.1,63.1,65,64.45,288000,189.01
"1998-04-29",67.95,69,64.5,64.65,65.05,190900,126.9
"1998-04-30",64.6,64.6,60.1,64.15,64.1,105100,66.59
"1998-05-04",64,66.5,64,66.15,66.3,116100,76.33
"1998-05-05",66.6,72.95,66.1,72.95,72.75,371800,261.88
"1998-05-06",76.45,77.9,70.95,71.4,71.35,733300,541.54
"1998-05-08",71,73.5,69,70.6,70.8,590100,422.15
"1998-05-11",70.15,71.25,69.55,70,69.95,325600,228.15
"1998-05-12",69.05,69.05,62.95,65.5,63.85,1123700,723.48
"1998-05-13",68.9,68.9,63.95,64.75,64.85,800600,530.38
"1998-05-14",64.55,67,63.6,66.75,66.65,690500,452.39
"1998-05-15",66.7,67.2,64.4,64.8,64.85,574700,376.51
"1998-05-18",65.3,66.4,61.95,65.8,65.75,504500,320.05
"1998-05-19",66.3,66.95,65.7,66.95,66.8,237300,157.72
"1998-05-20",67.2,71.5,66.1,71.1,70.6,1142800,787.36
"1998-05-21",71.65,72.4,67.55,68.25,68.3,552100,381.52
"1998-05-22",68.5,69,68.05,68.25,68.7,214200,146.75
"1998-05-25",68.45,68.7,67.05,68.4,68.25,168300,114.7
"1998-05-26",68.9,69.5,67.2,68,67.85,155200,105.15
"1998-05-27",68,68,65.9,66.35,66.15,206000,137.41
"1998-05-28",65.3,66.8,64.7,64.9,64.95,319600,209.21
"1998-05-29",64.05,65.9,63,64.25,64.25,306800,197.46
"1998-06-01",65,65.95,63.65,64.05,64,407500,264.52
"1998-06-02",63.55,64.25,62.5,63.15,62.95,182200,115.1
"1998-06-03",63,63.5,56.7,60,59.85,686000,407.91
"1998-06-04",60,60.4,57.75,57.85,58.35,342400,202.48
"1998-06-05",57.25,58,52.55,52.55,52.55,1172400,647.92
"1998-06-08",52.5,52.9,47.35,47.5,47.45,635300,304.56
"1998-06-09",48.5,48.8,47.3,47.6,47.35,1215900,575.87
"1998-06-10",48.6,48.6,45.2,45.3,46.1,506400,238.66
"1998-06-11",45.05,46.85,44.5,46.6,46.65,299400,136.11
"1998-06-12",47.45,48.15,45.25,45.7,45.6,465500,217.22
"1998-06-15",46,46,44.9,45.1,45.15,212100,96.18
"1998-06-16",44.5,44.5,41.2,43.5,43.5,457300,197.64
"1998-06-17",44.9,47.85,44.7,47.85,47.85,210100,98.36
