"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-02-23",113,119.4,105.55,111.5,111.65,92113982,102264.02
"2007-02-26",112,117.7,104.75,117.5,115.3,20160651,22311.69
"2007-02-27",120,120,114.85,115,117.4,16747355,19740.24
"2007-02-28",112,115.8,103,111.25,111.05,10378434,11687.84
"2007-03-01",112.05,113.9,108.5,110.1,110.55,4394786,4888.18
"2007-03-02",111.4,113.4,108,110,109,4007942,4449.75
"2007-03-05",105.7,108.5,101.2,101.45,102.05,3844787,3993.04
"2007-03-06",103.5,107.7,102,106,105.1,2197381,2301.57
"2007-03-07",107.25,107.5,101.5,104.9,104.25,1837717,1905.49
"2007-03-08",104.75,111,103.25,111,110,2227434,2384.58
"2007-03-09",110,112.4,102,102.2,103.3,1420290,1497.65
"2007-03-12",103.45,105.4,101.7,103,102.9,1946610,2008.53
"2007-03-13",104.35,107.5,103,107.3,106.7,1446787,1529.22
"2007-03-14",104.2,104.8,102,103.3,103.05,564907,583.86
"2007-03-15",104.8,106.8,103.1,103.1,103.6,1099895,1152.04
"2007-03-16",104,104.7,102.4,102.5,102.9,409280,422.97
"2007-03-19",104.4,106.45,103.05,106,106.05,534434,561.83
"2007-03-20",107.9,108.1,105.5,106.3,106.15,887444,945.34
"2007-03-21",107,107,104.95,105.5,105.5,394578,417.05
"2007-03-22",107,107,105,105.15,105.35,805435,852.35
"2007-03-23",106,113.2,104.75,111.1,111.2,2226697,2443.74
"2007-03-26",110,112.9,106,106.8,106.75,972601,1063.3
"2007-03-28",104.2,106,103.25,104.05,103.95,941292,985.77
"2007-03-29",104.6,106.7,102.65,103.35,103.25,1331252,1386.02
"2007-03-30",104.5,105.5,103.8,104,104.3,807754,844.88
"2007-04-02",101.25,103.3,101,101.3,101.5,1248063,1273.05
"2007-04-03",101.75,102.9,101,101.1,101.05,1030931,1045.22
"2007-04-04",102.7,105.1,101.55,101.8,102.15,1227012,1263.37
"2007-04-05",103,104.75,101.7,102.8,103.1,1163331,1198.54
"2007-04-09",103.5,107,103.5,106.5,106.15,1644342,1732.72
"2007-04-10",106.6,108.15,105.05,107,107.25,1092521,1166.9
"2007-04-11",107.5,112.45,107.1,110.75,110.6,2316729,2552.31
"2007-04-12",109.95,111.5,104.9,105.7,105.6,1570025,1693.39
"2007-04-13",106.9,108.9,105.7,107.65,107.95,898651,970.82
"2007-04-16",105,109.85,105,108.7,108.6,369680,403.15
"2007-04-17",109,112.6,107.15,111.25,110.25,3285403,3646.8
