"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",175.35,178.25,173.75,NA,NA,NA,NA
"1998-03-23",178.5,181,178.5,180.2,180.2,1758700,3165.37
"1998-03-24",184,184.9,177.5,178,178.7,8838650,15951.78
"1998-03-25",181.5,184.6,179,183.5,183.85,8936250,16292.18
"1998-03-26",183.85,184.25,178.75,179.25,179.45,6915150,12542
"1998-03-27",179.1,180.75,178.25,180.7,180.4,6087650,10941.81
"1998-03-30",181.35,182.7,176.55,176.9,177.3,5759900,10360.42
"1998-03-31",176.35,177.95,174,175,175,8030800,14124.82
"1998-04-01",177.5,183.5,177,182.6,182.85,8618000,15627.95
"1998-04-02",183.5,186,181.35,181.5,181.85,5859700,10734.16
"1998-04-03",181.5,185.5,181.5,185.25,184.95,7070950,13006.25
"1998-04-06",185.75,186.7,184,184.9,184.85,5626300,10425.9
"1998-04-07",184.5,187.5,183.1,186.7,185.35,8637750,16006.88
"1998-04-09",188.9,202.65,188.9,199.3,199.45,10915150,21759.88
"1998-04-10",199,199.9,194.25,195.3,194.95,7098200,13952.5
"1998-04-13",192.1,192.2,188.45,190.1,189.2,8805100,16727.99
"1998-04-15",195.5,199.9,194,199.3,198.75,6433300,12680.2
"1998-04-16",198.7,199,194.15,194.75,194.95,4399100,8642.97
"1998-04-17",194.9,199.45,193.6,199.15,198.9,6778200,13354.22
"1998-04-20",199.7,202.2,196.5,196.7,197.8,7282700,14550.86
"1998-04-21",198.5,200.75,197.5,200.5,199.25,5535050,11010.23
"1998-04-22",202,206.75,197,197.6,198.05,11597550,23481.94
"1998-04-23",196.9,197.8,189.7,190.15,190.9,9297250,18054.89
"1998-04-24",191.25,192.8,187.05,191.5,191.6,10176550,19357.78
"1998-04-27",191.85,193.5,187.5,188.6,188.15,12317400,23450.64
"1998-04-28",188,188.45,184.1,186,185,10659050,19846.53
"1998-04-29",194.9,198,189.65,190,190.45,8432100,16378.29
"1998-04-30",189.55,192.85,188.6,192.35,191.95,7168200,13701.53
"1998-05-04",192.5,195.5,192.1,195,194.75,5444000,10567.83
"1998-05-05",194.5,195.35,193.7,194.75,194.8,2748800,5346.25
