"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-11-05",39,39,39,39,39,50,0.02
"1998-11-06",41,41,41,41,41,50,0.02
"1998-11-09",41,41,41,41,41,250,0.1
"1998-11-11",39,39,39,39,39,50,0.02
"1998-11-12",38,38,38,38,38,50,0.02
"1998-11-13",37,37,37,37,37,150,0.06
"1998-11-20",40,40,40,40,40,50,0.02
"1999-01-01",32,32,32,32,32,50,0.02
"1999-01-04",32,32,30.1,30.1,30.1,100,0.03
"1999-01-05",32,32,32,32,32,100,0.03
"1999-01-06",31,34,31,31.5,31.5,500,0.16
"1999-01-13",31.6,31.6,31.6,31.6,31.6,100,0.03
"1999-01-14",32.05,32.05,32.05,32.05,32.05,100,0.03
"1999-01-22",33,33,33,33,33,100,0.03
"1999-01-28",31,32,31,31,31,400,0.12
"1999-01-29",31,31,31,31,31,200,0.06
"1999-02-01",31,31,29.5,29.5,29.5,450,0.14
"1999-02-02",30,30,30,30,30,100,0.03
"1999-02-09",28,28,28,28,28,50,0.01
"1999-02-16",27.05,27.05,27,27,27,100,0.03
"1999-02-24",25.5,27,25.5,27,27,550,0.14
"1999-03-03",25,25,25,25,25,100,0.02
"1999-03-04",23.35,23.35,23.35,23.35,23.35,100,0.02
"1999-03-05",22.1,23.2,22.1,23.2,23.2,600,0.14
"1999-03-08",25,25,24,24,24,150,0.04
"1999-03-09",23,25.45,23,25.45,25.45,250,0.06
"1999-03-11",25,25,24.55,24.55,24.55,550,0.14
"1999-03-12",24.5,25.5,24.5,25.5,25.5,150,0.04
"1999-03-15",26,27.55,26,27.55,27.55,500,0.13
"1999-03-16",29.75,29.75,26,26,26,250,0.07
"1999-03-17",26.6,26.6,26.6,26.6,26.6,100,0.03
"1999-03-18",25.55,25.55,25.55,25.55,25.55,100,0.03
"1999-03-19",24.5,27.6,24.5,27.6,27.6,100,0.03
"1999-03-20",28,28,28,28,28,100,0.03
"1999-03-24",30.25,30.25,30.25,30.25,30.25,50,0.02
"1999-03-25",30,32.4,30,32.4,32.4,700,0.22
"1999-03-26",32,32,32,32,32,250,0.08
"1999-04-06",29.45,29.8,29.45,29.8,29.8,650,0.19
"1999-04-07",29.55,31.45,29.55,31.45,31.45,150,0.05
"1999-04-13",32.95,32.95,32.95,32.95,32.95,100,0.03
"1999-05-03",28,28,28,28,28,100,0.03
"1999-05-06",28,28,28,28,28,100,0.03
"1999-05-07",26,26,26,26,26,200,0.05
"1999-05-10",27.5,27.5,27.5,27.5,27.5,150,0.04
"1999-05-11",27.5,27.5,27.5,27.5,27.5,50,0.01
"1999-05-12",27.9,29.5,27.9,29.5,29.5,250,0.07
"1999-05-13",27.15,27.15,27.15,27.15,27.15,800,0.22
"1999-05-14",25.05,25.05,25.05,25.05,25.05,100,0.03
"1999-05-19",26.05,26.5,26.05,26.5,26.5,400,0.11
"1999-05-20",26.5,26.5,26.5,26.5,26.5,500,0.13
"1999-05-21",25.5,25.5,25.5,25.5,25.5,200,0.05
"1999-05-24",25,27.4,25,27.4,27.4,100,0.03
"1999-05-25",27,27,26.55,27,27,1000,0.27
"1999-05-26",28.6,28.6,28.6,28.6,28.6,50,0.01
"1999-06-01",26.5,26.5,26.5,26.5,26.5,200,0.05
"1999-06-02",26,26,25.55,26,26,2750,0.71
"1999-06-03",24.5,24.5,24.5,24.5,24.5,50,0.01
"1999-06-07",25.25,26,25.25,26,26,150,0.04
"1999-06-08",25.75,27.85,25.75,27.8,27.8,650,0.18
"1999-06-09",28,28,28,28,28,200,0.06
"1999-06-10",28.75,28.75,28.25,28.25,28.25,150,0.04
"1999-06-17",30,30,30,30,30,100,0.03
"1999-06-18",30,30,30,30,30,100,0.03
"1999-06-21",31.95,32.3,31.95,32.3,32.3,450,0.14
"1999-06-22",33,33.05,33,33,33,600,0.2
"1999-06-23",32.15,32.15,32.1,32.1,32.15,500,0.16
"1999-06-24",32,32,32,32,32,200,0.06
"1999-06-25",30.1,30.1,30.05,30.05,30.05,250,0.08
"1999-06-28",31.95,31.95,31.95,31.95,31.95,50,0.02
"1999-06-29",31.4,32,31.4,32,32,600,0.19
"1999-07-01",30.05,30.05,30.05,30.05,30.05,100,0.03
"1999-07-06",30.05,30.05,30,30,30,250,0.08
"1999-07-07",30,32,30,32,32,350,0.11
"1999-07-08",31.9,32,31.9,32,32,150,0.05
