"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",21.9,22.25,21.5,NA,NA,NA,NA
"1998-03-23",22.5,22.5,21,21.6,21.6,400,0.09
"1998-03-24",21.05,22,19.5,19.5,20.4,35550,7.2
"1998-03-25",21.25,22.25,19,19,19.15,18200,3.62
"1998-03-26",20,21,18.25,20.25,19.95,92700,17.75
"1998-03-27",21,21,18,18.25,18.5,61850,11.67
"1998-03-30",20.25,20.25,17.65,19.25,18.75,38700,7.26
"1998-03-31",18.25,19.3,17,18.5,17.95,92650,16.15
"1998-04-01",18.25,19.75,18,18.5,18.45,118300,22.29
"1998-04-02",20.1,20.1,16.65,18.1,17.65,275100,48.07
"1998-04-03",18.2,19.4,18.2,19,18.95,43450,8.27
"1998-04-06",19.85,19.9,17.1,18.55,18.9,329300,60.2
"1998-04-07",20,20.2,17.4,17.9,18.2,174350,30.94
"1998-04-09",19.5,19.9,16.5,19.75,19.7,112400,20.01
"1998-04-10",20.1,21.5,19.75,21.5,20.55,92200,18.86
"1998-04-13",22.05,22.25,19.35,21.9,20.8,64900,13.35
"1998-04-15",21.5,22.9,21.45,22.9,22.85,40550,9.11
"1998-04-16",22.5,25,21.35,25,24.3,107250,25.23
"1998-04-17",23,24.5,22.4,24.35,24,80400,18.79
"1998-04-20",24.95,24.95,22.35,22.35,22.5,21950,5.06
"1998-04-21",24.5,24.5,21.1,22.6,21.85,19300,4.29
"1998-04-22",22.25,22.25,21.8,22,22,7300,1.61
"1998-04-23",21.2,21.25,21,21,21,2100,0.44
"1998-04-24",21.45,21.45,20.3,20.65,20.65,5350,1.11
"1998-04-27",20.7,21.5,20.7,21.05,21.25,7050,1.49
"1998-04-28",20.2,21,20.2,20.25,20.3,6600,1.36
"1998-04-29",20.1,20.1,20.1,20.1,20.1,100,0.02
"1998-04-30",20.15,20.15,19.35,20,20,1700,0.33
"1998-05-04",19.8,21.35,19.55,19.8,19.85,5150,1.07
"1998-05-05",20,20,19.6,19.6,19.6,1750,0.35
"1998-05-06",19.5,19.8,19.1,19.25,19.4,1800,0.35
"1998-05-08",19,20,19,20,19.75,4850,0.95
"1998-05-11",19.3,19.5,19.3,19.35,19.4,900,0.17
"1998-05-12",19.9,19.95,19.25,19.3,19.25,3900,0.77
"1998-05-13",19,19,18.35,18.35,18.4,3100,0.58
"1998-05-14",18.85,18.85,18.5,18.5,18.5,100,0.02
"1998-05-15",18.8,19,18.75,18.75,18.75,750,0.14
"1998-05-18",18.05,18.1,18.05,18.1,18.1,250,0.05
"1998-05-19",18.25,18.35,18.25,18.25,18.3,550,0.1
"1998-05-20",18.75,18.75,18.1,18.25,18.3,2950,0.55
"1998-05-21",18.35,18.35,18.2,18.2,18.2,750,0.14
"1998-05-22",17.3,18.05,17.3,18,18,1500,0.27
"1998-05-25",16.3,17.3,16.3,16.75,16.75,500,0.08
"1998-05-26",16.1,17.85,16.1,16.75,16.95,3050,0.52
"1998-05-27",16.25,17,16.15,17,17,2650,0.44
"1998-05-28",16.5,16.8,16.25,16.4,16.65,3400,0.56
"1998-05-29",15.5,17.9,15.5,16.75,16.75,1250,0.2
"1998-06-01",16.75,18.4,16.75,17.65,17.65,4550,0.81
"1998-06-02",18,18.7,18,18.65,18.05,10350,1.9
"1998-06-03",18,18.45,17.9,18.45,18.2,950,0.17
"1998-06-04",18.2,18.2,17.75,17.9,17.9,1200,0.22
"1998-06-05",17.85,17.85,17.15,17.15,17.15,1000,0.17
"1998-06-08",17,17,16,16,16,850,0.14
"1998-06-09",16.5,16.5,16,16.05,16.05,2100,0.34
"1998-06-10",15.15,15.5,15.15,15.5,15.5,200,0.03
"1998-06-11",16,16,16,16,16,150,0.02
"1998-06-12",16.05,16.5,16,16.5,16.4,2350,0.38
"1998-06-15",15.7,15.7,15.25,15.3,15.3,350,0.05
"1998-06-16",15.2,15.85,15,15.5,15.5,2200,0.34
"1998-06-17",15.5,15.5,15.25,15.25,15.25,500,0.08
"1998-06-18",15.6,16,15.25,16,15.6,3450,0.54
"1998-06-19",14.1,15,14.1,15,15,150,0.02
"1998-06-22",13.05,14.4,13.05,14.4,14.4,800,0.11
"1998-06-23",14.95,15,14,14,14,500,0.07
"1998-06-24",16.25,16.25,15,15,15,750,0.12
"1998-06-25",15.65,15.7,15,15.7,15.7,1450,0.22
"1998-06-26",14.55,15.5,14.55,15.5,15.5,1500,0.22
"1998-06-29",15.25,15.25,14.8,14.8,14.8,550,0.08
"1998-06-30",13.55,14.8,13.55,14,14,1050,0.15
"1998-07-01",13.1,14,13,14,14,900,0.12
"1998-07-02",14,14.8,14,14.8,14.8,1000,0.15
"1998-07-03",14.65,14.7,14.65,14.7,14.65,150,0.02
"1998-07-06",13.55,13.75,13.3,13.3,13.3,550,0.07
"1998-07-07",13.5,14.8,13,14.8,14.25,450,0.06
"1998-07-09",13.3,13.3,13.3,13.3,13.3,50,0.01
"1998-07-10",14.25,14.4,14,14.4,14.4,750,0.11
"1998-07-13",14.3,14.3,14.05,14.05,14.1,2300,0.33
"1998-07-14",13.35,13.9,13.35,13.35,13.55,650,0.09
"1998-07-15",13.35,14.2,13.35,14.2,14.2,150,0.02
"1998-07-16",13.4,13.55,13.2,13.2,13.2,2500,0.33
"1998-07-17",13.95,13.95,13.1,13.95,13.95,2100,0.28
"1998-07-20",11.05,13.3,11.05,13.3,12.75,2100,0.25
"1998-07-21",12.55,12.55,11.6,11.6,11.6,3800,0.45
"1998-07-22",12.5,12.5,12.25,12.25,12.25,800,0.1
"1998-07-23",12.1,12.9,12.1,12.9,12.9,1200,0.15
"1998-07-24",11.5,13,11.45,12.55,12.55,1400,0.17
"1998-07-27",12.1,12.5,12.1,12.1,12.1,300,0.04
"1998-07-28",12.25,12.25,12.05,12.05,12.05,450,0.05
"1998-07-30",13.15,13.25,13,13,13,700,0.09
"1998-07-31",13.9,14,13.9,14,14,650,0.09
"1998-08-03",13.75,13.75,13,13,13,200,0.03
"1998-08-04",13.1,13.8,13.1,13.8,13.8,250,0.03
"1998-08-05",12.1,13.4,12.1,13.4,13.4,500,0.06
"1998-08-06",12.8,12.8,12.8,12.8,12.8,500,0.06
"1998-08-07",12,12.5,12,12.5,12.5,500,0.06
"1998-08-10",12.3,12.3,12.2,12.2,12.25,600,0.07
"1998-08-11",12.25,12.75,12.25,12.75,12.75,600,0.08
"1998-08-12",12.5,12.5,12.5,12.5,12.5,500,0.06
"1998-08-13",12.5,12.5,12.5,12.5,12.5,200,0.02
"1998-08-14",12.5,12.7,12.5,12.7,12.7,150,0.02
"1998-08-18",11.55,12.4,11.5,12.4,12.4,1250,0.15
"1998-08-19",12,12.1,12,12.1,12.1,600,0.07
"1998-08-20",12.05,12.7,12.05,12.7,12.7,500,0.06
"1998-08-21",12.6,13,12.5,13,13,350,0.04
"1998-08-24",13,13,13,13,13,300,0.04
"1998-08-25",12.45,12.45,12.35,12.4,12.4,450,0.06
"1998-08-27",12.8,12.8,12.5,12.5,12.5,350,0.04
"1998-08-28",12.7,12.8,12.7,12.8,12.8,700,0.09
"1998-08-31",13,13,12.85,12.85,12.85,150,0.02
"1998-09-01",12,12.4,12,12.05,12.05,1750,0.21
"1998-09-02",12,12,12,12,12,50,0.01
"1998-09-03",11.3,11.3,11.3,11.3,11.3,100,0.01
"1998-09-07",11.65,11.7,11.6,11.6,11.6,1300,0.15
"1998-09-08",12,12,12,12,12,100,0.01
"1998-09-09",11.5,11.5,10.8,10.8,10.8,150,0.02
"1998-09-10",11,11.5,10.65,10.9,10.9,600,0.07
"1998-09-11",12.45,12.8,10.85,11.25,11.25,1700,0.2
"1998-09-14",10.9,10.9,10.9,10.9,10.9,100,0.01
"1998-09-15",10.3,11,10.25,11,11,3900,0.4
"1998-09-16",10.7,10.75,10.45,10.45,10.6,850,0.09
"1998-09-17",10.2,10.7,10.2,10.65,10.65,900,0.09
"1998-09-18",10.6,10.6,10.4,10.5,10.5,600,0.06
"1998-09-21",10.6,10.6,10.25,10.6,10.6,400,0.04
"1998-09-22",10.8,11,10.8,11,11,1200,0.13
"1998-09-23",11,11,11,11,11,150,0.02
"1998-09-24",11.1,11.35,11.1,11.35,11.35,200,0.02
"1998-09-28",11.1,12.15,11,11,11,450,0.05
"1998-09-29",11,11.75,11,11.75,11.75,450,0.05
"1998-09-30",11,11,11,11,11,150,0.02
"1998-10-05",10.8,10.8,10.8,10.8,10.8,50,0.01
"1998-10-06",11,11,10.15,10.15,10.15,1000,0.11
"1998-10-07",10.75,11,10.75,11,11,200,0.02
"1998-10-08",10.3,10.3,10.3,10.3,10.3,250,0.03
"1998-10-09",10.8,10.8,10.6,10.6,10.6,100,0.01
"1998-10-12",10.8,10.8,10.65,10.65,10.7,1350,0.14
"1998-10-13",11,11,10.5,10.5,10.5,300,0.03
"1998-10-15",10.55,10.55,10.55,10.55,10.55,50,0.01
"1998-10-16",10.3,10.5,10.25,10.5,10.5,500,0.05
"1998-10-20",10.25,10.25,10,10,10,350,0.04
"1998-10-22",10.5,10.5,10.1,10.2,10.2,1150,0.12
"1998-10-23",11,11.3,10.55,10.55,10.55,450,0.05
"1998-10-26",9.5,11.45,9.2,10,10,350,0.03
"1998-10-27",10.8,10.95,10.8,10.95,10.95,250,0.03
"1998-10-28",10,10,10,10,10,150,0.02
"1998-10-29",10,10,10,10,10,100,0.01
"1998-10-30",12.5,12.5,10.3,11.5,11.1,2300,0.27
"1998-10-31",11.5,11.5,11.5,11.5,11.5,100,0.01
"1998-11-02",12.45,12.45,11.05,11.75,11.75,2100,0.25
"1998-11-03",11.15,11.95,11.15,11.6,11.85,1700,0.2
"1998-11-05",12.4,13,11.65,13,12.65,5900,0.73
"1998-11-06",13.05,13.35,12.5,13.35,13.3,3200,0.42
"1998-11-09",14.6,14.6,13,13,13,2650,0.36
"1998-11-10",13,13,12.3,12.3,12.6,1400,0.18
"1998-11-11",13.5,13.5,12.5,12.95,12.95,1650,0.21
"1998-11-12",12.1,12.15,12.1,12.15,12.15,1100,0.13
"1998-11-13",12.45,13,12.45,13,12.8,2950,0.38
"1998-11-16",12.75,13,12,12,12,1050,0.13
"1998-11-17",12.4,13,12.4,12.5,12.5,1650,0.21
"1998-11-18",12.15,12.2,12.1,12.2,12.2,700,0.09
"1998-11-19",13,13,12.1,12.1,12.1,550,0.07
"1998-11-20",12.5,13.9,11.9,11.9,11.9,1650,0.22
"1998-11-23",12,12.25,12,12.25,12.25,2200,0.27
"1998-11-24",12.5,12.5,12.5,12.5,12.5,200,0.02
"1998-11-26",12,12,11.85,11.85,11.85,400,0.05
"1998-11-27",11.1,11.6,11.05,11.05,11.05,1050,0.12
"1998-11-30",10.7,12.35,10.6,11.6,11.6,400,0.05
"1998-12-01",11.35,11.35,11.25,11.25,11.25,800,0.09
