"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",9.05,9.05,8.95,NA,NA,NA,NA
"1998-03-24",8.6,8.6,8.4,8.5,8.5,1500,0.13
"1998-03-25",8.55,8.55,8.55,8.55,8.55,150,0.01
"1998-03-26",8.5,9,8.5,8.5,8.5,900,0.08
"1998-03-27",9,9,9,9,9,300,0.03
"1998-03-30",8.95,9,8.95,9,9,300,0.03
"1998-03-31",8.95,9.5,8.75,9.5,9.5,900,0.08
"1998-04-02",8.75,8.75,8.75,8.75,8.75,700,0.06
"1998-04-03",9,9,9,9,9,200,0.02
"1998-04-06",8.75,8.75,8.75,8.75,8.75,500,0.04
"1998-04-07",9.4,9.75,9.4,9.4,9.4,2150,0.21
"1998-04-09",9.3,9.3,9.25,9.25,9.25,1300,0.12
"1998-04-10",9.25,10,9.25,10,10,1700,0.17
"1998-04-13",9.4,9.5,9.4,9.5,9.5,1150,0.11
"1998-04-15",9,10,9,10,10,10400,1.04
"1998-04-16",10.5,10.85,9.85,10.85,10.85,4000,0.41
"1998-04-17",10.5,10.5,10.1,10.3,10.4,3500,0.36
"1998-04-20",9.5,10,9.5,9.8,9.95,1900,0.19
"1998-04-21",9.65,9.9,9.6,9.9,9.9,550,0.05
"1998-04-22",9.05,9.05,9.05,9.05,9.05,1000,0.09
"1998-04-23",8.55,9.2,8.55,9.2,9.2,600,0.05
"1998-04-27",9.55,9.85,9.55,9.85,9.85,800,0.08
"1998-04-28",9.5,9.75,9.5,9.7,9.7,2550,0.25
"1998-04-29",10.5,10.5,10.5,10.5,10.5,100,0.01
"1998-05-04",9.75,9.75,9.75,9.75,9.75,300,0.03
"1998-05-05",10,10,9.1,9.1,9.1,1150,0.11
"1998-05-06",9.1,9.1,9.1,9.1,9.1,400,0.04
"1998-05-08",9,9,9,9,9,500,0.04
"1998-05-12",8.9,8.9,8.9,8.9,8.9,2300,0.2
"1998-05-13",9,9.05,9,9,9,500,0.05
"1998-05-14",9,9,9,9,9,200,0.02
"1998-05-15",9.05,9.05,8.55,8.7,8.6,9400,0.84
"1998-05-18",8.55,8.7,8.55,8.7,8.7,700,0.06
"1998-05-19",8.5,8.5,8.1,8.1,8.1,500,0.04
"1998-05-20",8.35,8.35,8.35,8.35,8.35,300,0.03
"1998-05-21",8.3,8.35,8.3,8.3,8.3,500,0.04
"1998-05-22",8.3,8.4,8.3,8.4,8.4,700,0.06
"1998-05-25",7.5,7.55,7.2,7.2,7.2,1150,0.09
"1998-05-26",7.1,8,7.1,7.75,7.75,2650,0.21
"1998-05-27",8,8,7.75,7.75,7.75,900,0.07
"1998-05-28",8,8,8,8,8,400,0.03
"1998-05-29",8.1,8.1,8.1,8.1,8.1,200,0.02
"1998-06-01",8.45,8.45,8.45,8.45,8.45,200,0.02
"1998-06-02",7.75,7.75,7.5,7.7,7.7,2200,0.17
"1998-06-03",7.3,7.5,7.2,7.2,7.2,1500,0.11
"1998-06-04",7.25,7.25,7.25,7.25,7.25,400,0.03
"1998-06-05",7.75,7.75,7.75,7.75,7.75,500,0.04
"1998-06-08",7.25,7.25,7.25,7.25,7.25,800,0.06
"1998-06-09",7.1,7.1,7.1,7.1,7.1,650,0.05
"1998-06-10",7.95,7.95,7,7.95,7.95,1400,0.1
"1998-06-12",7.5,7.5,7.3,7.3,7.3,1050,0.08
"1998-06-15",7.35,7.35,7,7,7,200,0.01
"1998-06-16",7.15,7.5,7.05,7.5,7.5,950,0.07
"1998-06-19",6.8,6.8,6.5,6.5,6.5,650,0.04
"1998-06-22",6.75,6.75,6.75,6.75,6.75,400,0.03
"1998-06-23",6.3,7,6.3,7,7,500,0.03
"1998-06-24",7.5,7.5,7.5,7.5,7.5,100,0.01
"1998-06-25",8.1,8.1,8,8,8,1200,0.1
"1998-06-26",8.05,8.1,8,8.1,8.1,400,0.03
"1998-06-29",8.5,8.5,8.25,8.3,8.3,500,0.04
"1998-06-30",8.05,8.05,8,8,8,2850,0.23
"1998-07-01",7.75,7.75,7.75,7.75,7.75,100,0.01
"1998-07-02",8,8,8,8,8,200,0.02
"1998-07-03",8,8.5,8,8.5,8.5,1150,0.1
"1998-07-06",9,11,8.9,10.75,10.35,3400,0.33
"1998-07-07",9.85,10.3,9.6,10.25,10.05,6800,0.67
"1998-07-08",10.25,10.25,10,10,10,4400,0.44
"1998-07-09",9.5,10.5,9.5,9.5,9.55,5300,0.53
"1998-07-10",9.25,10,9.25,9.55,9.75,2750,0.27
"1998-07-13",9.3,10,9.3,10,10,2200,0.22
"1998-07-14",9.4,9.9,9,9.9,9.9,2200,0.21
"1998-07-15",10,10.3,10,10,10,5000,0.5
"1998-07-16",10,10.25,9.5,10,10,2100,0.21
"1998-07-17",10,10,9.9,9.9,9.9,700,0.07
"1998-07-20",9,10.5,9,9.9,9.9,2400,0.24
"1998-07-21",9.75,9.9,9.5,9.6,9.6,3400,0.33
"1998-07-22",9,9.55,9,9.55,9.55,150,0.01
"1998-07-23",9.5,9.5,9.5,9.5,9.5,1900,0.18
"1998-07-24",9.5,9.5,9,9,9,1300,0.12
"1998-07-27",9.2,9.2,9,9,9.05,1350,0.12
"1998-07-28",9,9,8.4,8.4,8.4,2600,0.23
"1998-07-29",9,9.3,8.5,9.3,9.2,2350,0.21
"1998-07-30",9.25,9.25,9,9.2,9.2,1250,0.11
"1998-07-31",9.25,9.25,9,9,9,1300,0.12
"1998-08-03",8.5,9.1,8,9.1,9.1,450,0.04
"1998-08-04",9.2,9.25,9,9.25,9.25,1500,0.14
"1998-08-05",9,9.4,9,9.4,9.4,50000,4.69
"1998-08-06",9.25,9.75,9,9,9,27100,2.63
"1998-08-07",9,9.1,8.65,9,9,51600,4.63
"1998-08-10",9.5,9.5,8.7,9,8.75,1400,0.12
"1998-08-11",9.1,9.5,9,9,9.05,1050,0.1
"1998-08-12",1.25,10,1.25,9.35,9.35,1100,0.06
"1998-08-13",9.05,9.25,9.05,9.15,9.15,800,0.07
"1998-08-14",9,9,9,9,9,400,0.04
"1998-08-17",8.8,8.8,8.55,8.55,8.55,600,0.05
