"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",236.15,252,236.15,NA,NA,NA,NA
"1998-03-23",252,252,249.25,250,250,1900,4.77
"1998-03-24",253,267.5,253,261,261.9,11200,29.24
"1998-03-25",270,275,267,273.7,273.1,10700,29.08
"1998-03-26",271.55,273,260,260,260,5900,15.71
"1998-03-27",259,262.9,257.75,262,261.9,6800,17.65
"1998-03-30",263.9,264.6,253,253,253.1,3600,9.35
"1998-03-31",250.1,250.1,232.5,235.75,233.85,10600,25.1
"1998-04-01",244,253,244,252,250.8,3100,7.75
"1998-04-02",255,255,247,247,247,1300,3.24
"1998-04-03",243.75,246.7,243.75,246.7,246,2100,5.16
"1998-04-06",245,251,245,248,247.8,3800,9.44
"1998-04-07",248,259,248,254,252.45,10100,25.54
"1998-04-09",270,290,270,289.8,289.3,23400,66.9
"1998-04-10",290,290,278,284,282.85,13500,38.45
"1998-04-13",280,281.5,268.25,273,270.65,15700,43.12
"1998-04-15",285,295,282.1,291,290.95,18400,53
"1998-04-16",295,320.05,282,308,309.8,53800,164.62
"1998-04-17",313,324.3,302.55,318.5,317.95,39200,123.69
"1998-04-20",319,335,315.25,318,319.7,54400,177.21
"1998-04-21",323,338.05,319,338.05,338.05,38200,125.51
"1998-04-22",371,371.9,355,355,356.2,83700,304.97
"1998-04-23",355,357.5,330.05,330.05,334.35,29400,102.7
"1998-04-24",330,333.95,301,312.5,313.9,26900,84.18
"1998-04-27",318,324,306,311,310.2,22400,69.96
"1998-04-28",307.5,307.5,279.6,283,281,29200,83.76
"1998-04-29",292.5,308,278,286.8,286.3,42800,126.01
"1998-04-30",280,300,278,296,298,26900,78.59
"1998-05-04",307,326.95,291,325.5,324.3,45300,141.7
"1998-05-05",327,337,319,328,332.65,23500,77.21
"1998-05-06",335,335,313.25,314.1,314.8,19300,62.37
"1998-05-08",305,314,305,307.7,306.65,10300,31.87
"1998-05-11",313,313,305.25,309.9,309.2,2800,8.63
"1998-05-12",301,301,283,293,293.65,18100,52.95
"1998-05-13",292,296,276.05,276.05,282.1,11600,33.54
"1998-05-14",282,288.75,260,288.75,287.05,8300,23.29
"1998-05-15",285,288,276,280,278.5,24400,68.79
"1998-05-18",280,299.9,280,293.2,293.25,12200,35.83
"1998-05-19",295.5,322.6,295,322.6,322.6,14000,43.39
