"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2006-04-24",1000,1502.9,1000,1445,1464.65,11585515,156567.88
"2006-04-25",1460,1480,1241,1301,1310.6,3592120,47520.73
"2006-04-26",1350,1350,1277,1300,1300.6,628941,8195.55
"2006-04-27",1310,1366.9,1304,1340,1328.1,574612,7682.07
"2006-04-28",1300,1300,1120,1275,1273.55,348096,4424.19
"2006-04-29",1286.3,1317,1271,1278,1278.45,91579,1185.38
"2006-05-02",1280,1335,1235,1301,1306.35,353199,4530.58
"2006-05-03",1309,1332,1285.25,1297,1299.75,151929,1989.61
"2006-05-04",1295,1309.25,1258.1,1263,1272.85,85027,1092
"2006-05-05",1265,1285.85,1255,1257.1,1262.7,54195,688.36
"2006-05-08",1268,1298.8,1255,1290.1,1285.5,60510,771.9
"2006-05-09",1300,1409,1300,1385.9,1385.3,608490,8414.24
"2006-05-10",1385,1494.7,1365,1487,1481.3,585637,8461.83
"2006-05-11",1557.95,1620,1376,1376,1429.8,737921,11050.28
"2006-05-12",1399,1429,1362,1367,1380.6,303183,4247.27
"2006-05-15",1429.8,1429.8,1248,1300,1286.65,392244,5088.18
"2006-05-16",1300,1368.4,1205,1317,1329.75,272533,3594.73
"2006-05-17",1340,1390,1277,1285,1286.75,167877,2199.38
"2006-05-18",1290,1308.95,1200,1232,1224.8,231930,2938.07
"2006-05-19",1290,1290,1168,1181.1,1194,101732,1226.98
"2006-05-22",1194,1243,1040.05,1150,1154.55,177759,1962.27
"2006-05-23",1150,1170,1101,1161,1159.35,62999,722.81
"2006-05-24",1150,1184.4,1137,1150,1149.6,62646,722.84
"2006-05-25",1149.6,1199,1100,1177,1171.1,81682,943.48
"2006-05-26",1170.25,1230,1170.25,1206,1213.35,56553,687.47
"2006-05-29",1214.95,1255,1210,1222,1224.2,41399,510.17
"2006-05-30",1260,1260,1186.1,1188,1195.45,25466,309.97
"2006-05-31",1162,1235,1143,1225,1210.6,48949,570.64
"2006-06-01",1235,1242,1207,1225.55,1227.85,51616,629.93
"2006-06-02",1195.1,1219.8,1141,1178.85,1177.2,40709,477.94
"2006-06-05",1299.9,1299.9,1150,1150,1156.95,14248,167.18
"2006-06-06",1127,1180,1103,1173,1169.9,27531,319.62
"2006-06-07",1155,1165,1065,1065.5,1089.85,45719,510.72
"2006-06-08",1075,1075,860,870,886.35,99501,913.65
"2006-06-09",890,1049,850,1020,1025.7,119998,1149.34
"2006-06-12",1024,1024,931,956,949.85,46207,445.63
"2006-06-13",900,938.5,820,899,901.4,68373,619.53
"2006-06-14",940,964.9,900,904.2,902.85,58413,535.3
"2006-06-15",938.3,960,920,933,935.9,31824,298.47
"2006-06-16",958,1025,945,1025,1000.1,58121,572.39
"2006-06-19",980,1000,960,971,972.2,19573,190.52
"2006-06-20",930,975,930,940,946.6,23969,229.83
"2006-06-21",950,980,950,957,960.65,12392,119.7
"2006-06-22",990,1000,950,955,961.5,27004,264.43
"2006-06-23",941,983.95,901,979,976.6,22151,215.61
"2006-06-25",980,990,960,969,975.9,2217,21.72
"2006-06-26",975,985,969,977,978.15,19946,194.96
"2006-06-27",975,984.7,964.5,984.5,978.65,19955,194.26
"2006-06-28",970,977.7,964.9,977.7,968.95,5742,55.68
"2006-06-29",985,1020,974.9,1010,998.9,46878,467.07
"2006-06-30",1020,1025,990.5,995,998.15,17599,177.5
"2006-07-03",1002,1050,1002,1048.9,1041.9,31866,330.67
"2006-07-04",1050,1149,1050,1125,1134.2,64428,712.56
"2006-07-05",1134,1134,1081,1105,1106.25,67883,754.84
"2006-07-06",1100,1129.95,1072.1,1075.65,1078.25,69787,769.65
"2006-07-07",1100,1119,1062,1070,1069.2,41935,456.07
"2006-07-10",1065.9,1090,1065,1090,1082.2,15957,171.84
"2006-07-11",1070,1075,1030,1054,1065.75,21468,227.44
"2006-07-12",1060,1100,1025,1088.95,1086.7,22536,240.07
"2006-07-13",1079.8,1082,1045,1051,1050.85,26666,281.92
"2006-07-14",1051,1075.45,1000,1070,1065.1,21916,232.1
"2006-07-17",1065,1090,1055.1,1070,1068.9,28241,303.54
"2006-07-18",1069.05,1098,1069.05,1084,1085.75,46455,502.55
"2006-07-19",1090,1090,1045,1052,1050.2,24907,263.85
"2006-07-20",1079.5,1092,1041,1089.75,1085.5,26168,280.16
"2006-07-21",1073.1,1089,1053.5,1072.1,1068.95,27488,292.11
"2006-07-24",1060.1,1095,1030,1080,1079.85,28397,304.36
"2006-07-25",1038,1092,1030,1076.9,1077.8,18866,204.18
"2006-07-26",1070.25,1116.9,1070.25,1094,1096.65,42678,469.99
"2006-07-27",1076.1,1117,1060,1065.05,1097.5,26019,285
"2006-07-28",1100,1112.5,1071,1105.5,1107.95,15548,171.55
"2006-07-31",1117.4,1169,1110,1161,1158.75,65772,759.63
"2006-08-01",1165,1185,1160,1185,1179.35,30082,352.89
"2006-08-02",1174,1185,1160,1160,1169.35,21996,257.78
"2006-08-03",1179,1179,1146.5,1147,1153.8,8210,95.78
"2006-08-04",1170,1170,1141.3,1146.05,1146.25,5773,66.72
"2006-08-07",1135,1166,1135,1150,1150.75,5492,63.27
"2006-08-08",1169,1169,1150,1158,1155.15,5397,62.5
"2006-08-09",1150,1162.05,1145,1152,1154.9,8958,103.54
"2006-08-10",1155,1171.7,1155,1163.2,1163.05,8505,98.93
"2006-08-11",1170,1175,1165,1165,1167.35,5061,59.16
"2006-08-14",1185,1200,1140,1175,1178.25,7400,86.98
"2006-08-16",1185,1358,1178,1325,1341.5,188579,2473.44
"2006-08-17",1345,1365,1290.05,1302,1312.75,183200,2433.04
"2006-08-18",1310,1328,1270.35,1271.1,1277.25,42889,556.45
"2006-08-21",1285,1332.95,1273,1282.35,1285.4,73097,953.47
"2006-08-22",1299.45,1310,1270.2,1276,1276.4,25909,334.58
"2006-08-23",1294,1294,1225.05,1235,1233.45,63594,798.16
"2006-08-24",1235,1275,1191,1205,1200.95,72558,885.64
"2006-08-25",1215,1228,1205.5,1215,1214.85,37385,454.97
"2006-08-28",1220,1235.05,1186.05,1194.35,1195.65,49024,591.31
"2006-08-29",1200,1218.9,1191.05,1195,1201.5,46128,556.37
"2006-08-30",1220,1237,1205.1,1228,1225.3,79094,969.06
"2006-08-31",1220.1,1232,1190,1196.05,1197.8,42047,508.88
"2006-09-01",1208,1210,1185,1189.95,1193.4,31495,377.01
"2006-09-04",1220,1225,1194.9,1208,1207.15,19169,230.9
"2006-09-05",1225,1279,1205,1250,1244.9,139535,1757.17
"2006-09-06",1265,1265,1230,1237,1235.4,38256,475.41
"2006-09-07",1222.2,1270,1222.2,1248,1251.8,71270,894.03
"2006-09-08",1265,1323,1246,1300,1307.6,133376,1722.78
"2006-09-11",1275,1343,1201,1215,1227.75,175197,2272.87
"2006-09-12",1205,1240,1193.05,1238.5,1226.9,74424,906.54
"2006-09-13",1249,1292,1236.15,1279.75,1277.35,107723,1358.91
"2006-09-14",1287,1313,1275,1284.85,1285.85,59277,766.03
"2006-09-15",1290,1297,1252.05,1266.25,1276.45,83607,1070.92
"2006-09-18",1275,1313,1274.05,1310,1303.3,47606,617.3
"2006-09-19",1312,1328.95,1240.1,1245,1253.95,77297,1001.17
"2006-09-20",1260,1274.85,1224,1266,1265.7,52188,658.14
"2006-09-21",1284.95,1289,1260.15,1267,1269.9,25731,327.91
"2006-09-22",1274.95,1281,1255.2,1257,1259,35884,453.51
"2006-09-25",1250.1,1271,1245,1246,1247.85,23456,294
"2006-09-26",1255,1264,1236,1241.1,1246.85,24899,310.51
