"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1999-12-27",14.1,14.75,12.05,12.7,12.7,995300,127.4
"1999-12-28",12.95,13,12.15,12.35,12.45,1029500,128.03
"1999-12-29",12.6,12.9,12.4,12.6,12.5,765700,96.74
"1999-12-30",12.5,12.8,12.5,12.5,12.65,605500,76.62
"2000-01-03",13,15.2,12.6,14.6,14.65,3230700,446.68
"2000-01-04",14.85,14.85,13.1,13.6,13.6,1375400,187.75
"2000-01-05",12.7,13.75,12.45,13.2,13.15,1030500,136.92
"2000-01-06",13.1,13.3,12.85,12.95,13,710700,92.84
"2000-01-07",13.1,13.1,12.5,13,12.8,614600,78.19
"2000-01-10",13.2,13.25,12.35,12.5,12.5,446800,56.42
"2000-01-11",12.7,12.7,11.8,12,11.95,888000,108.27
"2000-01-12",12.5,12.5,12.05,12.2,12.15,314800,38.49
"2000-01-13",12.25,12.4,11.85,11.95,11.95,272600,32.81
"2000-01-14",12.2,12.2,11.4,11.75,11.7,251500,29.25
"2000-01-17",11.9,12.35,11.6,11.85,11.85,428200,50.76
"2000-01-18",12.1,12.3,11.5,11.7,11.65,422200,49.21
"2000-01-19",12.35,13.4,12.25,12.7,12.65,1036000,131.46
"2000-01-20",12.8,13,12.5,12.55,12.55,748200,95.11
"2000-01-21",12.5,12.55,12.25,12.4,12.45,351500,43.56
"2000-01-24",12.5,12.6,11.9,12,12,365700,44.4
"2000-01-25",12.1,12.1,11.65,11.95,11.85,409100,48.36
"2000-01-27",12.4,12.4,11.75,11.85,11.8,380300,45.4
"2000-01-28",11.95,12.2,11.75,12.05,12.05,528500,63.54
"2000-01-31",12.25,12.25,11.55,11.7,11.6,338400,39.73
"2000-02-01",11.6,11.75,11.45,11.65,11.55,385400,44.76
"2000-02-02",11.9,12,11.75,11.95,11.95,609100,72.44
"2000-02-03",12,12.15,11.8,12.1,12.05,510700,61.25
"2000-02-04",12.2,15,12.2,14.55,14.85,3990900,559.66
"2000-02-07",14.95,16,13.8,14.1,14.2,2216100,316.99
"2000-02-08",14,14.7,13.5,13.7,13.65,1707100,235.31
"2000-02-09",14.25,14.9,13.75,13.8,13.85,973900,137.38
"2000-02-10",13.75,13.75,13.3,13.65,13.55,403800,54.49
"2000-02-11",13.7,13.7,13.15,13.4,13.35,315600,42.13
"2000-02-14",13.25,13.6,12.7,12.95,12.9,345400,44.6
"2000-02-15",13.3,13.5,12.5,12.65,12.55,630500,79.93
"2000-02-16",13.1,13.45,12.5,12.9,12.85,391600,50.23
"2000-02-17",12.85,13,12.6,12.7,12.7,316200,40.45
"2000-02-18",12.9,12.9,12.4,12.5,12.5,222300,27.9
"2000-02-21",12.65,12.65,11,12.25,12.3,278800,34.4
"2000-02-22",12.3,12.45,11.85,12,12,552600,66.36
"2000-02-23",12.25,12.4,12,12,12.05,295800,36.09
"2000-02-24",12.2,12.2,11.9,12.05,12.05,178800,21.47
"2000-02-25",12.1,12.3,11.8,12,12.1,209400,25.09
"2000-02-28",12.4,12.4,11.75,12.15,12.1,291800,34.91
"2000-02-29",12.45,13.25,11.6,11.75,11.75,861700,107.11
"2000-03-01",12.1,12.5,11.95,12.45,12.4,333800,41.04
"2000-03-02",12.5,12.65,11.95,12.1,12.05,255700,31.13
"2000-03-03",11.6,11.9,11.3,11.6,11.5,301900,34.96
"2000-03-06",11.35,11.6,11.2,11.35,11.25,245500,27.95
"2000-03-07",11.15,11.3,10.55,10.75,10.65,470900,51.58
"2000-03-08",11.25,11.25,10.7,10.8,10.8,185300,20.19
"2000-03-09",10.6,10.6,10.05,10.25,10.35,187200,19.23
"2000-03-10",10.3,10.9,10,10.25,10.25,115000,11.73
"2000-03-13",10.05,10.15,9.8,10,9.95,172400,17.23
"2000-03-14",9.75,10.1,9.7,10,9.95,326100,32.28
"2000-03-15",10.15,10.55,10.05,10.4,10.4,130900,13.53
"2000-03-16",10.4,10.4,10,10.2,10.15,115300,11.69
"2000-03-21",9.9,10.2,9.8,9.85,9.9,202500,20.04
"2000-03-22",10.15,10.15,9.95,10.1,10.1,82100,8.26
"2000-03-23",10.1,10.1,9.9,10,9.95,64200,6.4
"2000-03-24",10,10,9.9,10,9.95,62100,6.17
"2000-03-27",10.05,10.05,9.8,9.85,9.85,83000,8.22
"2000-03-28",9.8,9.85,9.45,9.8,9.65,194500,18.75
"2000-03-29",10,10,9.7,9.85,9.8,72100,7.06
"2000-03-30",9.85,9.85,9.65,9.85,9.8,60300,5.89
"2000-03-31",9.75,10,9.7,10,10,104000,10.24
"2000-04-03",10.25,10.5,10,10,10.05,181800,18.45
"2000-04-04",10.1,10.15,9.25,9.3,9.3,315900,29.88
"2000-04-05",9.05,9.8,9.05,9.5,9.55,86400,8.26
"2000-04-06",10,10,9.3,9.45,9.45,96900,9.2
"2000-04-07",9.3,10,9.3,9.95,9.95,200600,19.59
"2000-04-10",10.2,10.2,9.75,9.85,9.85,114200,11.21
"2000-04-11",9.1,10,9.1,9.9,9.95,174900,17.26
"2000-04-12",9.7,10.1,9.7,9.8,9.8,206400,20.43
"2000-04-13",9.5,9.85,9.5,9.7,9.65,100500,9.77
"2000-04-17",9.95,10.75,9.8,10.45,10.45,530300,54.28
"2000-04-18",10.8,11.5,10.4,10.8,10.75,817100,88.93
"2000-04-19",11.65,11.65,10.4,10.7,10.65,389700,42.35
"2000-04-20",10.5,10.55,10.1,10.5,10.4,171000,17.66
"2000-04-24",10.5,10.7,10.15,10.15,10.2,196300,20.58
"2000-04-25",10.15,10.15,9.8,10,10,116800,11.65
"2000-04-26",10.15,10.3,10.05,10.3,10.25,99700,10.17
"2000-04-27",10.1,10.35,10.1,10.25,10.2,59200,6.05
"2000-04-28",10.2,10.25,9.95,10.05,10,69800,7.05
"2000-05-02",9.6,10.1,9.6,9.85,9.9,72000,7.14
"2000-05-03",9.65,10,9.6,9.85,9.8,79500,7.87
"2000-05-04",10.2,10.2,9.6,9.75,9.8,55100,5.42
"2000-05-05",9.5,9.9,9.5,9.9,9.9,52300,5.14
"2000-05-08",9.5,9.85,9.5,9.65,9.6,37600,3.66
"2000-05-09",9.55,9.8,9.45,9.8,9.75,60200,5.8
"2000-05-10",9.75,9.8,9.6,9.8,9.75,36100,3.5
"2000-05-11",9.75,9.75,9.5,9.6,9.6,59300,5.69
"2000-05-12",9.55,9.6,9.3,9.35,9.4,64500,6.1
"2000-05-15",9.25,9.25,8.8,9.05,9.05,105000,9.51
"2000-05-16",9.15,9.15,8.5,8.95,8.95,160500,14.49
"2000-05-17",9.55,9.55,9.1,9.15,9.2,59200,5.46
"2000-05-18",9.2,9.3,9.1,9.3,9.3,40200,3.7
"2000-05-19",9.05,9.3,9.05,9.1,9.1,57700,5.3
"2000-05-22",9.2,9.2,9,9.15,9.05,69300,6.3
"2000-05-23",9,9.1,8.9,9,9.05,106100,9.53
"2000-05-24",9.05,9.15,8.95,9.15,9.1,66500,6.01
"2000-05-25",9.15,9.2,9,9.15,9.1,46200,4.21
"2000-05-26",9.1,9.2,9,9,9,64400,5.84
"2000-05-29",9,9.15,9,9,9.05,38900,3.52
"2000-05-30",9.1,9.25,9,9.2,9.15,77400,7.04
"2000-05-31",9.45,9.45,9.2,9.25,9.25,54700,5.09
"2000-06-01",9.2,9.3,9.15,9.2,9.2,24800,2.28
"2000-06-02",9.2,9.6,9.15,9.4,9.4,67400,6.26
"2000-06-05",9.25,9.45,9.15,9.2,9.2,59500,5.52
"2000-06-06",9.2,9.35,9.1,9.1,9.2,73600,6.76
"2000-06-07",9.3,9.3,9.05,9.15,9.15,61900,5.68
"2000-06-08",9.2,9.25,9.05,9.2,9.15,73300,6.7
"2000-06-09",9.25,9.35,9.05,9.35,9.35,91800,8.46
"2000-06-12",9.3,9.3,9.15,9.2,9.15,79900,7.36
"2000-06-13",9.3,9.3,9,9.1,9.05,92500,8.41
"2000-06-14",9.1,9.25,9.05,9.15,9.1,65000,5.95
"2000-06-15",9.25,9.25,9,9.1,9.05,68500,6.24
"2000-06-16",9.05,9.2,9,9.1,9.15,105000,9.54
"2000-06-19",9.15,9.25,9,9.1,9.15,211200,19.32
"2000-06-20",9.15,9.3,9.15,9.2,9.2,220500,20.28
"2000-06-21",10.95,11.4,9.95,10.2,10.15,98394,9.96
"2000-06-22",10.4,10.45,9.95,10.4,10.2,155946,15.84
"2000-06-23",10.4,11.5,10.35,11,11.05,251153,27.49
"2000-06-26",10.6,11.2,10.3,10.45,10.5,103740,11
"2000-06-27",10.4,10.6,10.25,10.3,10.35,113015,11.76
"2000-06-28",10.5,10.5,10.3,10.45,10.4,66460,6.93
"2000-06-29",10.6,10.85,10.4,10.6,10.55,56720,5.98
"2000-06-30",10.5,10.7,10.3,10.3,10.35,37260,3.9
"2000-07-03",10.35,10.7,10.35,10.6,10.6,53890,5.67
"2000-07-04",10.5,10.9,10.5,10.9,10.8,56415,6.02
"2000-07-05",10.8,10.9,10.45,10.5,10.55,39636,4.22
"2000-07-06",10.6,10.85,10.6,10.65,10.65,59062,6.32
"2000-07-07",10.75,10.8,10.6,10.75,10.7,19477,2.09
"2000-07-10",10.75,10.75,10.45,10.6,10.55,39415,4.17
"2000-07-11",10.8,10.8,10.4,10.5,10.5,69465,7.33
"2000-07-12",10.5,10.65,10.4,10.55,10.5,28901,3.04
"2000-07-13",10.95,10.95,10.5,10.55,10.6,29001,3.07
"2000-07-14",10.6,10.75,10.6,10.75,10.7,22545,2.41
"2000-07-17",10.6,10.7,10.5,10.6,10.55,41601,4.39
"2000-07-18",10.6,10.75,10.25,10.45,10.35,58866,6.15
"2000-07-19",10.5,10.5,10.35,10.35,10.35,24401,2.54
"2000-07-20",10.25,10.45,10.1,10.2,10.2,45303,4.65
"2000-07-21",10.1,10.35,10,10.15,10.05,69608,7.04
"2000-07-24",10,10.05,9.85,9.9,9.9,52184,5.19
"2000-07-25",10.1,10.4,9.55,9.75,9.8,72288,7.12
"2000-07-26",10.35,10.35,9.95,10.1,10.05,41210,4.15
"2000-07-27",10.2,10.3,10,10.2,10.25,74705,7.59
"2000-07-28",10.1,10.4,10.1,10.3,10.25,46106,4.74
