"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",28.25,30,28.25,NA,NA,NA,NA
"1998-03-23",29.25,30.55,29.25,30.5,30.5,6200,1.87
"1998-03-24",32.6,33.55,29.5,33.3,33.25,146800,45.36
"1998-03-25",35,36.6,34.5,36.6,36.6,56700,20.62
"1998-03-26",38.4,38.95,34.05,34.4,34.55,77400,28.6
"1998-03-27",36.6,36.6,35,36,35.85,33100,11.78
"1998-03-30",36.4,36.9,33.9,34.15,34.15,77100,27.3
"1998-03-31",34.5,34.85,31.75,32,32.2,79400,25.75
"1998-04-01",33.85,35.45,33.85,35.45,35.45,34900,12.32
"1998-04-02",38,39,37.05,39,39,97600,37.7
"1998-04-03",39.75,40,37.5,39.6,39.25,80100,31.21
"1998-04-06",40.1,40.1,38,39,38.85,52800,20.51
"1998-04-07",39,40,38.5,39.4,39.7,88700,34.79
"1998-04-09",43.65,43.7,43.65,43.7,43.7,10200,4.46
"1998-04-10",48.05,48.1,48.05,48.1,48.1,21900,10.53
"1998-04-13",49.6,49.6,44.5,49.6,49.6,44600,21.88
"1998-04-15",54.55,54.6,54.55,54.6,54.6,2600,1.42
"1998-04-16",60,60.1,60,60.1,60.1,57000,34.26
"1998-04-17",60.1,61,54.1,58.2,57.65,227500,128.54
"1998-04-20",56,58.5,54.1,54.5,55,157000,87.81
"1998-04-21",57,57,53.1,56.25,56.3,126000,69.48
"1998-04-22",61.9,61.9,52,53,52.95,160200,90.94
"1998-04-23",50,51,47.65,47.65,47.65,93500,45.4
"1998-04-24",45.1,45.95,42.9,43.75,43.9,88300,38.34
"1998-04-27",43.5,46.35,42.3,42.7,42.45,57700,25.19
"1998-04-28",42.7,43,42.3,42.3,42.3,59400,25.18
"1998-04-29",44.5,45,41.8,42.85,43.15,85100,36.81
"1998-04-30",42.05,47.25,38.85,46.7,46.85,115400,50.09
"1998-05-04",47.4,51.55,47,51.55,51.4,171700,84.8
"1998-05-05",51.5,52.3,49.1,50.85,51.1,144000,72.89
"1998-05-06",52.9,52.9,47.05,48.5,47.65,126300,63.07
"1998-05-08",47.5,49.6,46.3,48.15,48.1,76900,36.77
"1998-05-11",48,50,47.3,49.45,49.4,106800,52.37
"1998-05-12",48.5,48.5,44.5,44.5,44.6,141900,63.75
"1998-05-13",44,44,40.15,40.15,40.55,88000,37
"1998-05-14",37,44,37,43.1,43.2,109200,45.05
