"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-11-05",150.25,269,150.25,257.9,238.1,7154,15.84
"2008-11-06",210,239.85,210,215.05,219.3,44,0.1
"2008-11-07",229,261.7,180.05,220.2,241,250,0.63
"2008-11-10",275,286,210.5,226.25,238.4,501,1.27
"2008-11-11",267,280,225.55,279.9,258.6,90,0.23
"2008-11-12",220,279,220,279,278.4,73,0.19
"2008-11-17",269,269.9,226.2,226.2,226.2,26,0.06
"2008-11-18",190.4,200.1,183.25,183.25,183.25,73,0.14
"2008-11-19",162.2,169,160,160,162.4,32,0.05
"2008-11-20",130.1,184,130.1,144,147.6,46,0.07
"2008-11-21",154,160,154,160,157.55,36,0.06
"2008-11-26",160,164,142,164,164,46,0.07
"2008-11-28",150,150,150,150,150,1,0
"2008-12-01",164,164,164,164,164,4,0.01
"2008-12-02",164,164,164,164,164,1,0
"2008-12-04",180,180,148,148,148,11,0.02
"2008-12-12",141,162.75,141,162.75,162.75,4,0.01
"2008-12-16",170,170,147.5,147.5,147.5,20,0.03
"2008-12-17",133.1,140.5,133.1,140.5,140.5,16,0.02
"2008-12-18",140.5,140.5,140.5,140.5,140.5,1,0
"2008-12-22",130,154.55,130,154.55,154.55,8,0.01
"2008-12-26",148.05,148.05,148.05,148.05,148.05,3,0
"2008-12-31",134.35,134.35,134.35,134.35,134.35,2,0
"2009-01-06",133.85,133.85,133.85,133.85,133.85,1,0
"2009-01-12",122.95,122.95,122.95,122.95,122.95,3,0
"2009-01-14",135.25,135.25,135.25,135.25,135.25,1,0
"2009-01-15",124.05,124.05,124.05,124.05,124.05,1,0
"2009-01-16",113.35,113.35,113.35,113.35,113.35,5,0.01
"2009-01-19",108,124.7,108,124.7,124.7,24,0.03
"2009-01-20",137.2,137.2,137.2,137.2,137.2,1,0
"2009-01-21",150.95,150.95,150.95,150.95,150.95,1,0
"2009-01-22",166,166,166,166,166,45,0.07
"2009-01-23",159,174.3,158,174.3,174.3,24,0.04
"2009-01-27",166,183,165.6,182,182,65,0.11
"2009-02-03",191.1,191.1,172.9,172.9,172.9,11,0.02
"2009-02-19",172.9,172.9,172.9,172.9,172.9,5,0.01
"2009-02-24",165,165,165,165,165,9,0.01
"2009-02-25",158,158,158,158,158,3,0
"2009-02-27",158,158,158,158,158,2,0
"2009-03-02",158,158,158,158,158,16,0.03
"2009-03-16",165.9,165.9,165.9,165.9,165.9,4,0.01
"2009-03-18",165.9,170,165.9,170,170,23,0.04
"2009-03-19",162,162,162,162,162,4,0.01
"2009-03-20",170,170,170,170,170,3,0.01
"2009-03-23",175,175,175,175,175,5,0.01
"2009-03-24",175.25,175.25,175.25,175.25,175.25,10,0.02
"2009-03-25",167,167,167,167,167,1,0
"2009-03-26",167,167,167,167,167,2,0
"2009-03-27",167,167,167,167,167,2,0
