"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",77.85,79.9,77.85,NA,NA,NA,NA
"1998-03-23",80.9,83.1,79.1,81.75,81.75,700,0.57
"1998-03-24",79,81.25,78,80.75,80.15,6400,5.11
"1998-03-25",82.5,88,81.65,88,88,10900,9.31
"1998-03-26",91.1,94.75,86,86.75,87.1,9100,8.35
"1998-03-27",86.75,92.3,86.55,92.3,92.05,4600,4.15
"1998-03-30",93,93,85.5,85.5,86.45,9300,8.31
"1998-03-31",87,87,82.05,84.25,83.8,6100,5.11
"1998-04-01",86.25,87.5,84,86.5,86.5,3600,3.12
"1998-04-02",88,88,84.25,84.25,84.8,2500,2.14
"1998-04-03",86.9,92.25,83.4,89.25,88.5,7400,6.53
"1998-04-06",88,97.25,88,93.75,92.9,8900,8.16
"1998-04-07",95,97,89.1,92.45,91.75,7200,6.67
"1998-04-09",100,100,86,91.8,91,10200,9.34
"1998-04-10",92.5,95,90.15,93,93,7200,6.67
"1998-04-13",90.25,91,87.5,89.4,88.55,7900,7.01
"1998-04-15",94.9,97.45,91.5,97.4,97.4,7300,7.06
"1998-04-16",100,102.5,95.05,97,96.05,11200,10.97
"1998-04-17",96,96,91.5,94,94.35,4500,4.2
"1998-04-20",93.9,94,90.55,92,91.35,5600,5.18
"1998-04-21",91.25,95,89.05,95,94.4,12200,11.23
"1998-04-22",103,103.85,99.05,100.45,100.1,25400,26.14
"1998-04-23",98.25,100,95.05,96,95.7,9100,8.93
"1998-04-24",91.1,93.5,89.55,93.25,92.7,8900,8.18
"1998-04-27",92.75,95,92,92.95,92.3,5400,5.03
"1998-04-28",90.9,91.75,88,88,88.65,14900,13.38
"1998-04-29",92,92.9,88.15,89,88.9,4500,4.09
"1998-04-30",85,89,83.75,88.9,88.45,3000,2.58
"1998-05-04",88.05,91,86,90.05,90.65,4300,3.82
"1998-05-05",91.05,94.75,89.25,92.5,92.4,8000,7.31
"1998-05-06",92,92,88.5,89.3,89.3,3000,2.72
"1998-05-08",86,90.4,86,90.35,89.85,2900,2.58
"1998-05-11",94,94,87.5,87.65,87.6,1900,1.69
"1998-05-12",85,87.4,84.1,84.1,84.9,4600,3.94
"1998-05-13",84,85,80,80,80.95,3500,2.91
"1998-05-14",80.5,82.5,75.5,82.5,82.5,2100,1.68
"1998-05-15",84.4,85,82.25,82.75,82.75,1700,1.42
"1998-05-18",84,84.5,83.05,84.5,84.35,2200,1.85
"1998-05-19",84.9,85.05,83.25,84.75,84.55,4300,3.62
"1998-05-20",88.1,93.05,87.5,93.05,93.05,8500,7.83
"1998-05-21",95,96,87.1,90.2,88.7,7600,6.94
"1998-05-22",90.5,90.7,88.5,89.9,89.8,3500,3.13
"1998-05-25",89.95,90,88.15,88.15,88.35,4200,3.74
"1998-05-26",89,89.65,87.35,87.35,87.55,8600,7.61
"1998-05-27",89.6,95,89.5,93,93.3,12000,11.2
"1998-05-28",91,102.5,91,102.5,102.35,20700,20.78
"1998-05-29",100,104.95,92.5,101.15,100.7,27300,26.92
"1998-06-01",101,102,92,93.9,93.05,22800,22.46
"1998-06-02",92,92.5,83.8,83.85,83.85,12600,10.88
"1998-06-03",87,89.9,85.5,88.8,88.35,7800,6.82
"1998-06-04",87.65,88.8,86.5,87.5,87.5,2100,1.83
"1998-06-05",86.3,86.3,79.5,79.5,79.85,5100,4.24
"1998-06-08",80,80,72,74.45,73.35,4300,3.19
"1998-06-09",76,77.35,73.6,76,75.1,6500,4.9
"1998-06-10",77.25,77.25,75,75.6,75.75,1300,0.98
"1998-06-11",71,76,71,76,76,1800,1.33
"1998-06-12",75.05,78.75,75.05,76.9,76.9,3600,2.75
"1998-06-15",73.5,73.5,72,72,72.1,2700,1.96
"1998-06-16",71,72,66.25,70,70.2,6000,4.2
"1998-06-17",70.25,76,70.25,76,75.65,5500,4.06
"1998-06-18",76,76,73.05,73.55,73.4,3300,2.46
"1998-06-19",73,73.25,71.05,73.25,73,1800,1.3
"1998-06-22",68.5,69.45,67.2,68.4,68.35,1700,1.16
"1998-06-23",69,71.9,67.5,68.5,69.55,7100,4.92
"1998-06-24",70,75.7,70,74.5,74.5,4600,3.41
"1998-06-25",76.25,78,76,77,76.55,4100,3.14
"1998-06-26",75.25,77.75,75,75,76,3500,2.67
"1998-06-29",73.5,77,73.25,77,76.65,1900,1.43
"1998-06-30",75.5,76,73.5,74.95,74.35,2600,1.94
"1998-07-01",74.5,74.5,72.9,73.3,73.35,1200,0.89
"1998-07-02",73.1,75,73,73,73.15,2500,1.85
"1998-07-03",73,73,70,70,70.7,900,0.65
"1998-07-06",73,73.2,70.5,73,73,1300,0.94
"1998-07-07",74,75,73,74.9,74.85,1700,1.26
"1998-07-08",76,76.5,75.2,75.9,75.9,1100,0.83
"1998-07-09",76.5,77,75.5,75.5,75.5,1700,1.29
"1998-07-10",76,77,75,76.8,76.8,2400,1.83
"1998-07-13",79,79.75,76.05,76.2,76.35,3600,2.8
"1998-07-14",74.75,75.9,74,75.5,75.2,2600,1.94
"1998-07-15",78.25,79.25,77.25,77.25,77.25,6600,5.16
"1998-07-16",78,78.5,77.05,78,78,3600,2.8
"1998-07-17",77,78.5,75.25,76,76,6400,4.91
"1998-07-20",74.1,75.9,74,75,74.75,1800,1.35
"1998-07-21",73,74.9,73,74.5,73.8,3300,2.43
"1998-07-22",76.9,76.9,74.35,74.35,74.35,1800,1.36
"1998-07-23",75.9,76,74,74,74,1700,1.28
"1998-07-24",72.5,74,72.5,73.6,73.25,2700,1.98
"1998-07-27",73.5,73.5,71,72.15,72.15,2100,1.51
"1998-07-28",72.9,73.35,71.6,73.35,72.75,2200,1.59
"1998-07-29",74,76,73.75,75.5,75.35,3100,2.32
"1998-07-30",76.5,77,74.3,74.35,74.55,4700,3.55
"1998-07-31",74.5,75.5,74,75.35,74.2,3300,2.46
