"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2006-11-28",45,76.9,45,70.55,71,11220431,8088.61
"2006-11-29",72,85.2,71.25,85.2,85.2,6238950,4947.57
"2006-11-30",90,99.3,83.5,85.1,84.5,9584790,8608.17
"2006-12-01",85.5,90.65,82.15,84.3,84,5465074,4732.97
"2006-12-04",84.5,88.2,84.5,85.6,85.25,2532584,2182.75
"2006-12-05",86.9,87.85,83.75,84.15,84.1,2225893,1916.57
"2006-12-06",84.3,85.5,80.2,81,80.95,1378925,1136.74
"2006-12-07",81.2,81.9,77.6,77.75,78.3,846908,669.38
"2006-12-08",78,83.6,77.55,80.5,80.75,2514833,2046.4
"2006-12-11",80.4,80.95,75,75.6,75.5,972041,750.89
"2006-12-12",76,76,69.1,70.5,70.45,820712,596.71
"2006-12-13",70.65,73.5,66.8,72.55,72.05,931808,650.13
"2006-12-14",73.6,77,72.25,75.25,75.25,1022030,765
"2006-12-15",75.4,78.6,75.3,75.7,75.55,666952,511.77
"2006-12-18",76,76.4,73.1,75.3,75.45,636459,477.07
"2006-12-19",75,75.6,71,71.65,72.25,406617,300
"2006-12-20",73.05,73.7,71.15,72.5,72.6,506132,366.52
"2006-12-21",73.7,74.75,71.6,72.15,72.7,580749,426.55
"2006-12-22",72.1,73.6,71.5,71.7,72.05,307347,223.33
"2006-12-26",73,73,71.5,72.9,72.5,231077,166.99
"2006-12-27",73,73,70.4,70.6,70.9,298399,213.64
"2006-12-28",71.75,72,69,69.9,69.4,262969,183.96
"2006-12-29",69.7,75.5,68.25,75,72.85,616235,439.22
"2007-01-02",75,75.75,73.6,73.8,74,301305,224.42
"2007-01-03",75,75,73,73.75,73.6,172117,126.76
"2007-01-04",74,82.3,73,79.7,79.65,2186571,1736.23
"2007-01-05",80,80.5,76.55,77.15,77.25,624907,490.38
"2007-01-08",77.1,81.55,76.55,79.55,79.65,1113697,888.84
"2007-01-09",80.75,83.35,79,79.55,79.85,941693,764.94
"2007-01-10",79,79.9,76.55,76.95,76.9,341209,267.53
"2007-01-11",77.75,80,76.7,79.7,79.35,481405,378.91
"2007-01-12",80,82,78.8,79.8,79.85,506535,407.55
"2007-01-15",80,82,78.7,80.2,80.55,397756,320.18
"2007-01-16",81,81.2,79,79.25,79.35,255913,204.44
