"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg","Alpha","beta","alpha.monthly","beta.monthly"
"CNX_NIFTY.NS",0.111092897129946,0.135483867993593,0.304805833227468,0.300293869891754,33,27,-7.14006292184442e-17,1,2.14993764247463e-17,1
"NIFTY_BANK.NS",0.171560371907716,0.202668841574839,0.502118368367242,0.486153559937398,37,23,0.0429654986071871,1.22077519517347,0.0431023167458803,1.12793678573468
"NIFTY_IT.NS",0.100779500972579,0.178050645673391,0.174011596521445,0.19275478364444,27,33,0.0432619787299919,0.577646670182587,0.0171609370434445,0.515859521711487
"NIFTY_INFRA.NS",0.0515148859120993,0.205028431465714,-0.0891668429323959,-0.0966127707914021,27,33,-0.0638722763610123,1.13804834811529,0.0357891313118581,1.0897638487234
"NIFTY_PSE.NS",0.0529422449703844,0.198437609768169,-0.0849354056752869,-0.0962653585310719,25,35,-0.0487490986425065,1.02636505075326,0.0499034474639995,0.720117455876651
"NIFTY_CPSE.NS",0.0402115604979478,0.204329942034754,-0.144790641375008,-0.142990243235711,31,29,-0.0595248248810912,1.04722735315178,0.0372931701826864,0.691198190642012
"NIFTY_MIDCAP_50.NS",0.15973964571913,0.22361752403523,0.402218127805057,0.386209866704182,36,24,0.0289498568349053,1.28309070764066,0.0643161631886386,1.26950227463162
"OFSS.NS",0.0806134494707164,0.198341405117251,0.0545363970122315,0.0633950008134873,26,34,0.0376753968758774,0.520142422559912,0.157348026804748,0.448560459946449
"ACC.NS",0.0782457072351189,0.26716732829685,0.0316246879126363,0.0331494548636034,31,29,-0.00982481168641968,1.05021899402054,-0.213183252615459,1.84626432183381
"ADANIENT.NS",-0.0909186861383152,1.08646174266294,-0.147925420366553,-0.109116035706745,33,27,0.0068303745531264,1.84401135417062,0.558601727016376,1.16101640622028
"AJANTPHARM.NS",0.219345507103278,0.370224477776313,0.403941101204973,0.479528217972904,28,32,0.177938855808231,0.736440192061855,-0.321437879592592,0.55545448844305
"ALBK.NS",-0.139038056186737,0.434551374205023,-0.480575352974229,-0.491358334049764,24,36,-0.253069841964908,1.69476104662476,-0.356040274207655,1.9867118042407
"AMARAJABAT.NS",0.168816688437519,0.249571848166812,0.396759751981547,0.42960433342988,32,28,0.0985441030951032,0.843924598611309,-0.257666052597181,0.719308298820249
"ANDHRABANK.NS",-0.141858221898329,0.38664382348374,-0.547415561558837,-0.569986907996845,24,36,-0.2575060986942,1.63644523569367,-0.22482193328173,1.54834474958246
"APOLLOHOSP.NS",0.0816014307264047,0.274627481089051,0.0429847982522138,0.0433497586823727,29,31,0.0277058550350438,0.677440595274479,-0.224046990422053,0.989724076166125
"ARVIND.NS",0.189972603454826,0.353571128157971,0.339891948258441,0.303350739447375,37,23,0.0848999210026635,1.42163539002142,0.0948913842876155,0.887483766184209
"AUROPHARMA.NS",0.34125646452108,0.335108621406096,0.810065224597244,0.917319975349799,34,26,0.283717032601399,1.01947829812418,-0.321156516652844,0.941535574053717
"AXISBANK.NS",0.203581697794044,0.270648357478259,0.494313267530224,0.488105765877628,38,22,0.0885538913555229,1.35958831737885,-0.0760532856736112,0.72418063757562
"BAJFINANCE.NS",0.567287934355812,0.315739522254177,1.57563838364854,1.56808405778697,43,17,0.487473491434911,1.03617013416683,0.0622309300637145,2.15578881784654
"BANKBARODA.NS",-0.0104520317763864,0.413059360643119,-0.194278748479928,-0.190297874731604,27,33,-0.110781313505517,1.62813952496601,-0.247382053103992,1.36808562241907
"BANKINDIA.NS",-0.172327423700712,0.485890869077337,-0.498309523736804,-0.500796314152197,26,34,-0.292840067821804,1.81027056583121,0.0310193398897891,1.851545728773
"BEML.NS",0.281132314695794,0.548305124767279,0.38543446211307,0.426641839210134,33,27,0.205755015232633,1.40388846368167,0.326129435621202,1.04524125249505
"BHARATFORG.NS",0.285206381813835,0.327529542943033,0.657680391273963,0.696360584532832,34,26,0.195296677077949,1.18600808072016,0.209509043148625,1.10089469613178
"BHARTIARTL.NS",0.016317234404285,0.281542096808265,-0.189951662857059,-0.18107575958174,31,29,-0.0486123277797917,0.799147924466587,0.149459251385898,1.68198135140078
"BOSCHLTD.NS",0.158227797649587,0.305913048972767,0.289072905158031,0.364231866783207,28,32,0.087081625417428,0.860725680334608,-0.265032378237195,1.07235697229488
"BPCL.NS",0.246222468006857,0.323337905094172,0.545639225621244,0.52492090331451,35,25,0.163785129408729,1.10921523464316,-0.0179874645798192,1.53070979715861
"CADILAHC.NS",0.189613181387656,0.282168779610184,0.424627266332951,0.422329955286068,36,24,0.155145935589473,0.715049690589175,-0.143259742054007,1.47924692297099
"CESC.NS",0.132168351279002,0.32942163481363,0.189337070884886,0.193931981209621,32,28,0.0471453215638931,1.09590763974331,0.255727270890224,1.15239908933649
"CIPLA.NS",0.0638631482421484,0.262169731719005,-0.0226321916577665,-0.0219001783281018,32,28,0.000777055137539657,0.779848462023965,0.0139455900502991,0.16855819676708
"COLPAL.NS",0.135281743550243,0.171476448870667,0.381889875398313,0.400532379489073,34,26,0.102383664845954,0.421485932735783,0.083914195975679,0.18919582728265
"CONCOR.NS",0.179866193108632,0.249793183928225,0.440642805061411,0.481341609015121,33,27,0.135412644498859,0.712878464169429,0.037767010354617,0.939763916660677
