"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg"
"CNX_NIFTY.NS",0.142451246953537,0.105408554080024,0.693081261314155,0.714239882769545,14,6
"NIFTY_BANK.NS",0.215312134921335,0.167714670544029,0.870034691118904,1.32175678759217,12,8
"NIFTY_IT.NS",0.128449762487619,0.146297227821424,0.40366594793752,0.46177595059109,11,9
"NIFTY_INFRA.NS",0.083261666135409,0.196458027653075,0.0705856256555961,0.0842320078383609,9,11
"NIFTY_PSE.NS",0.079830880195804,0.199182257589659,0.0523958658951033,0.0504761746152121,12,8
"NIFTY_CPSE.NS",0.0681253114128526,0.216586659064004,-0.00586020362973779,-0.00504128694701505,13,7
"NIFTY_MIDCAP_50.NS",0.207630698556252,0.217901597803445,0.634397115997715,0.898311060723771,12,8
"OFSS.NS",0.110826055897047,0.180819305788288,0.229132074022584,0.353406337831668,8,12
"ACC.NS",0.0929394083838023,0.222516306120741,0.105811818719362,0.114775901768749,10,10
"ADANIENT.NS",0.100028596367046,1.05590373230867,0.0290121552668576,0.0202905190247947,13,7
"AJANTPHARM.NS",0.298889661935279,0.444364506670233,0.516456884273922,0.585159257894258,12,8
"ALBK.NS",-0.106531052595984,0.464482740934653,-0.378755958898344,-0.378504790217148,8,12
"AMARAJABAT.NS",0.218593914222707,0.283237093204449,0.526764906376715,0.603183670693766,12,8
"ANDHRABANK.NS",-0.073253474827732,0.450929865460901,-0.316341939384259,-0.310308964227299,9,11
"APOLLOHOSP.NS",0.0519710581059279,0.212189886251035,-0.0821127507081613,-0.087488348860263,8,12
"ARVIND.NS",0.333441830113838,0.372438300019883,0.708969181637036,0.860603666949558,14,6
"AUROPHARMA.NS",0.394971076866206,0.409371247721827,0.795308721214801,1.18257497262391,12,8
"AXISBANK.NS",0.241419129842472,0.274638409908918,0.62636750832147,0.870088411165829,11,9
"BAJFINANCE.NS",0.643567443514799,0.292562201015664,1.96256689409308,2.19169060200586,16,4
"BANKBARODA.NS",0.0993771451225317,0.348676845470727,0.0859896267089425,0.0862103453214063,11,9
"BANKINDIA.NS",-0.0809468793948978,0.480817029303983,-0.31267909323216,-0.305866249974798,8,12
"BEML.NS",0.360360103756275,0.628693771034597,0.462809660001882,0.4830739947328,15,5
"BHARATFORG.NS",0.345658706543975,0.340640432392627,0.811013981120999,1.1147728838501,12,8
"BHARTIARTL.NS",0.0459711139794083,0.271901863608543,-0.0861466672136042,-0.0783049505349853,11,9
"BOSCHLTD.NS",0.182606303390433,0.262924968661939,0.430585769880019,0.537880854823411,11,9
"BPCL.NS",0.270492058274564,0.232302299010124,0.865671608903651,1.00967262028455,14,6
"CADILAHC.NS",0.225298604621666,0.275627622432995,0.565632899587609,0.570065881532239,13,7
"CESC.NS",0.230213945243374,0.284498758047454,0.565272737950218,0.878699267219754,12,8
"CIPLA.NS",0.0880478381210601,0.25576873025215,0.0729302787100612,0.077301035045823,11,9
"COLPAL.NS",0.142145891568254,0.159908456643107,0.454956165277564,0.459977677371464,12,8
"CONCOR.NS",0.174988281686703,0.256141942243912,0.41224692615042,0.443890499557414,12,8
"CUMMINSIND.NS",0.144671578824914,0.276034877157918,0.272708384757468,0.307992738276645,10,10
"DABUR.NS",0.218384857497821,0.194390036163385,0.766450313503428,0.939935350351202,13,7
"DCBBANK.NS",0.239456684124648,0.46903041811613,0.362582306429621,0.342933575121775,11,7
"DISHTV.NS",0.0696846339442291,0.312920626881165,0.000927010177207029,0.00105963933891783,8,12
"DIVISLAB.NS",0.207043619038436,0.375006245050952,0.367058062409818,0.280033872891451,14,6
"DLF.NS",0.120988516167792,0.459160706509365,0.112365805910457,0.119354246742815,10,10
"DRREDDY.NS",0.0159894084199671,0.238575423732943,-0.223850152219644,-0.18501893727713,11,9
"EICHERMOT.NS",0.417178323284058,0.306569268697754,1.13443781049197,2.19467678461689,12,8
"ASHOKLEY.NS",0.438509835443331,0.346088516656392,1.06653432385146,1.58333884148133,13,7
"APOLLOTYRE.NS",0.275212237914828,0.389021168757786,0.529065513924571,0.62667500148132,13,7
"ENGINERSIN.NS",0.100340557089503,0.426124794328467,0.0726219271042868,0.0764579592276546,10,10
"EXIDEIND.NS",0.171131224538475,0.208759848519486,0.487338307253688,0.645250368877839,10,10
"FEDERALBNK.NS",0.221598705512601,0.373080558133185,0.407965917430126,0.584204110777378,9,11
"GRANULES.NS",0.427630630984108,0.562077461610899,0.637342896865071,0.982604281195029,11,9
"HAVELLS.NS",0.359927576514551,0.280110371575303,1.03720908848244,1.03966521328523,15,5
"HEXAWARE.NS",0.28310256863826,0.313840921462156,0.680943754256651,0.812094144613843,13,7
"HINDPETRO.NS",0.398843027927015,0.305348607490595,1.07892574751208,1.14644967851371,14,6
"HINDUNILVR.NS",0.226523873734869,0.181191909671694,0.867198324037334,1.00093232174431,14,6
"HINDZINC.NS",0.229075030697019,0.243776881814333,0.655027155036725,0.847250748330438,12,8
"ICIL.NS",0.546291752526943,0.749552788071775,0.636242312453148,0.75491189848711,13,7
"IDBI.NS",0.0190044985081295,0.482651771249171,-0.104402506800931,-0.101108301545128,9,11
"BRITANNIA.NS",0.427353408902137,0.258683046186493,1.3837739304555,1.50288900638603,16,4
"IDEA.NS",-0.24257974130458,0.357631998686689,-0.87233328054726,-0.847994800742478,4,16
"INDUSINDBK.NS",0.333108027031998,0.174859958441794,1.50814100634325,2.65658188418369,15,5
"INFRATEL.NS",0.157880462534544,0.26399159908218,0.335184564598762,0.36307572423211,11,9
"INFY.NS",0.158326026688729,0.190689056970326,0.466369044785386,0.599533876089241,10,10
"BHEL.NS",-0.0170991152644639,0.388012934838257,-0.222914394951733,-0.208247332436679,10,10
"JETAIRWAYS.NS",-0.0479769204889916,0.739622021882991,-0.158691156232247,-0.186556219541966,8,12
"CAPF.NS",0.270094017950987,0.348698145311184,0.575567915434213,0.714705538828531,12,8
"JINDALSTEL.NS",-0.0118676361855233,0.630528825890408,-0.128879420237798,-0.0984143884463738,13,7
"CENTURYTEX.NS",0.287712051180147,0.424415790943943,0.514395322935875,0.528881539050436,13,7
"ADANIPORTS.NS",0.208128927428861,0.248921694204143,0.557341434357392,0.594114664895802,13,7
"JSWENERGY.NS",0.117474692496618,0.377936263800207,0.127217586041394,0.138068637067795,11,9
"JUSTDIAL.NS",-0.0819086794446202,0.497238291457553,-0.304287170522523,-0.366769058321135,6,14
"KOTAKBANK.NS",0.267496528078973,0.182676519253115,1.08444136964331,1.40276333061894,15,5
"KSCL.NS",0.164154725585593,0.496192058819957,0.190974785998187,0.163531591335589,13,7
"L&TFH.NS",0.214035937973791,0.272653296783725,0.530495638019267,0.878925514556077,10,10
